promo_title,promo_start_dt,promo_end_dt,banner_title,banner_desc,promo_contents,promo_catgs,banner_link
W CARE💜,23.03.10,23.03.31,W CARE,"

W CARE
그날에필요한 제품올영이 알려줘요
웹드와 함께 W케어 시작해요


",[],"['전체', '월경 시작 직전 몸도 마음도 무거울 때', '예민해지고 찝찝한 월경날', '월경 끝! 홀가분한 순간']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103120001&trackingCd=Home_Planshop1_1_PROD
아벤느 시칼파트 클렌징 젤의 탄생,none,none,쇼케이스,"

쇼케이스
예민한 피부,시카 클렌저로피부 다스리기
시칼파트 젤 클렌저 단독 기획 론칭


","[' SHOWCASE vol.21 MY VERY FIRST CLEANSER ', ' 환절기, 미세먼지 등 외부 자극으로 인해 연약해진 피부를 맑게 씻어내 줄 아벤느 시칼파트 + 시카 클렌징 젤의 탄생, 올리브영에서 최초로 소개합니다. ', ' SHOWCASE IS 쇼케이스는 지금까지 어디에서도 선보인 적 없는 브랜드의 신상 아이템을 최초로 공개하는 자리입니다. benefit 1 아벤느 시칼파트 + 시카 클렌징 젤 최초 발매, 올리브영 단독 기획 세트 론칭 benefit 2 시칼파트 + 시카 클렌징 젤 기획 세트 포함 아벤느 제품 5만원 이상 구매 시 클리낭스 라인 KIT 3명 추첨 증정 (10만원 상당) benefit 3 시칼파트 + 시카 클렌징 젤 기획 세트 포함 아벤느 제품 3만원 이상 구매 시 스타벅스 5만원 상품권 10명 추첨 증정 benefit 4 시칼파트 + 시카 클렌징 젤 기획 세트 포함 아벤느 제품 구매 시 올리브영 1만원 상품권 20명 추첨 증정 아벤느 15% 장바구니 쿠폰 APP 5만원 이상 구매 시 최대 1만 5천원 할인 행사기간 : 2023. 3. 20 ~ 2023. 3. 21 APP에서 다운 받으세요. ', '응모하기', '꼭 알아두세요', ' Brand New Cleansing Gel for sensitive skin \t\t\t\t\t봄의 시작은 미세먼지 농도로 가늠할 정도로 짙어진 먼지와 꽃가루 때문에 피부 손상이 심해지죠. \t\t\t\t\t환경에 의한 자극뿐만 아니라 마스크 착용으로 인해 세안마저 자극이 되는 예민해진 피부를 경험한 적 있을 거예요. \t\t\t\t ', ' Part 1. Cleansing is Everything 미세먼지와 외부 자극으로 약해질 대로 약해진 피부를 위한 솔루션, 아벤느 시칼파트 + 시카 클렌징 젤이 선사하는 순한 세정력 아린 Says \t\t\t\t\t""자극에 금세 반응하는 예민한 피부라 클렌징 선택도 쉽지 않아요. \t\t\t\t\t한데 시칼파트 + 시카 클렌징 젤은 98% 자연 유래 성분에 인공 향료 색소 무첨가인 점이 맘에들어요. \t\t\t\t\t무엇보다도 세안 후에도 당김 없이 촉촉했어요."" \t\t\t\t 말갛게 떠오를 당신의 Bare-Skin, 세안부터 시작하는 피부 관리 \t\t\t\t\t스킨케어의 첫단계인 클렌징부터 민감해진 피부를 달래볼까요? \t\t\t\t\t아벤느 시칼파트 + 시카 클렌징 젤과 함께라면 건강한 피부의 첫 단추 끼우기, 어렵지 않아요. \t\t\t\t ', '아벤느 시칼파트 + 시카 클렌징 젤 200ml 한정 기획 상품보기', ' Part 2. After Cleansing 클렌징 후 민감해진 피부 달래기 SKIN-CARE \t\t\t\t\t수북한 미세먼지와 갖은 자극을 씻어냈다면 이젠 피부 보호막을 올릴 차례. \t\t\t\t\t탄탄한 속보습은 물론 자극으로부터 편안하게 도와줄 시칼파트 라인으로 스킨케어 마무리하기 \t\t\t\t \t\t\t\t\t\tstep 1. ""세안 후 건조함이 느껴지기 전에 오 떼르말 미스트를 뿌려주세요. \t\t\t\t\t\t온천수 성분이 안개처럼 은은히 분사돼 피부 속까지 촉촉하게 채워줄 거예요. "" \t\t\t\t\t \t\t\t\t\t\tstep 2. ""민감한 피부에 적격인 시칼파트 S.O.S 크림을 발라줍니다. \t\t\t\t\t\t취침 전에 나이트 크림처럼 여러 번 덧발라주면 다음 날 건강해진 피부를 만날 수 있죠."" \t\t\t\t\t \t\t\t\t\t\tstep 3. ""마지막으로 시칼파트의 재생 성분이 들어간 립밤을 크림 처럼 두둑이 올려주면 입술까지 피부 장벽 세우기, 완료!"" \t\t\t\t\t 아벤느와 함께 속부터 탄탄해진 피부, 올봄은 클렌징부터 마무리까지 시칼파트 라인과 함께해 보세요. ', ' EDITOR 김지은, 한수연 DESIGN 신유나 PUBLISHER 유지성 PHOTOGRAPHER 윤보람 MAKE UP 박수연 HAIR 박규빈 STYLING 장보영 FILM 김상은 MODEL 이아린 ', '닫기']","['전체', '단독선런칭✨아벤느 시카 클렌징젤', '아벤느와 함께하는 피부진정 A to Z💙', '아벤느 스테디 셀러 추천💫']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102030019&trackingCd=Home_Planshop1_2_PROD
수지 PICK! 숨37 올리브영 런칭🤍,23.03.20,23.03.26,숨37,"

숨37
숨37도올리브영에서만나요
입점 기념 전품목 19%할인


",[' 숨37 입점 기념 단 7일 최대 혜택 전품목 19% 할인 + 입점 기념 GIFT'],"['전체', '전 상품 19% 할인+증정✨🤍', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102780030&trackingCd=Home_Planshop1_3_PROD
"이번주, 오설록 최대 46%+증정!",23.03.20,23.03.26,오설록,"

오설록
몸이가벼워지는달콤한 시간
최대 46%할인


",['03.20-03.26 내 몸에 즐거움 한 잔! 오설록 브랜드 WEEK 최대 46% 세일'],"['전체', '쟁여놓기 구매 시 고블렛잔 증정', '오설록 이번주 특가!', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102820061&trackingCd=Home_Planshop1_4_PROD
"유트루 픽, 에스쁘아 반질광쿠션",23.03.20,23.03.26,에스쁘아,"

에스쁘아
여러 번 덧발라도촉촉하고 얇아요
에스쁘아X유트루 최대 21%할인


","["" 유트루'S PICK #반질광 비내추럴 쿠션 정품 립밤 증정 이벤트""]","['전체', '에스쁘아 NEW 쿠션', '에스쁘아 메이크업 NEW ', 'BEST 제품 한눈에 보기']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102750060&trackingCd=Home_Planshop1_5_PROD
"내추럴 메이크업의 정석, 오브제",23.03.20,23.03.26,오브제,"

오브제
화면 속 매끈한 그의 피부 만들기
최대 33%할인


",[' OBgE 현규 PICK! 오브제 단독 기획전'],"['전체', '오브제 맨즈 메이크업✨', '오브제 맨즈 스킨케어💧', '오브제 맨즈 헤어스타일링🌟']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102710025&trackingCd=Home_Planshop1_6_PROD
"슬로에이징, 앰플로 시작하자! ✨",23.03.20,23.12.31,슬로에이징 기획전,"

슬로에이징 기획전
피부 나이만큼은내가 정해요
최대 47%할인


","['SLOW AGING 시작은 앰플부터 피부야 조금은 천천히, 작은 고민부터 확실하게!']","['전체', '탄력앰플', '광채앰플', '잡티앰플', '모공앰플', '\xa0', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102700035&trackingCd=Home_Planshop1_7_PROD
정샘물 전 상품 15% 할인💜,23.03.20,23.03.27,정샘물,"

정샘물
오늘따라달라보여요
최대 15%할인


",[' BE ORIGINAL BE BEAUTIFUL 3월 정샘물데이 UPTO 15% OFF'],"['전체', '정샘물 BEST 할인🤍', '정샘물 전 상품 15% 할인💜', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102780031&trackingCd=Home_Planshop1_8_PROD
금손되는 지름길 필리밀리💖,23.03.20,23.03.27,필리밀리,"

필리밀리
완성도의차이를만들어요
메이크업 브러쉬 최대 60% 할인


",[' 초보도 금손되는 메이크업 브러쉬 특가 베이스~립 최대 60% OFF'],"['전체', '3/20 단 하루! 이 가격🎁', '브러시 최대 60%할인', '필리밀리 best템 할인중💖', '무료배송조건채우기👍', '\xa0', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102770025&trackingCd=Home_Planshop1_9_PROD
작심삼일 다이어트 끝! 1AM 런칭💚,23.03.20,23.03.27,1am,"

1am
파우치 하나로든든한한끼
런칭기념 최대 28%할인


",['03.20-03.31 작심삼일 다이어트 끝 1am 식단관리 기획전 1am 오픈기념 최대 28%'],"['전체', '제로칼로리 스파클링', '데일리 샐러드', '하루하나 곤약젤리', '1AM 디저트', '\xa0', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102820059&trackingCd=Home_Planshop1_10_PROD
