promo_title,promo_start_dt,promo_end_dt,banner_title,banner_desc,promo_contents,promo_catgs,banner_link
올리브영 서울뷰티,none,none,서울뷰티,"

서울뷰티
트렌드력끌올하고 싶다면서울뷰티
BEST&NEW 8일특가 ~ 35%


","[' Make Up My SEOUL ', ' 트렌드가 시작되는 곳, 서울서울의 다양한 무드를 만들고 바꾸고 조합해 당신을 빛나게 해줄 서울뷰티를 만들어 보세요. 나만의 서울, 나만의 뷰티 APP에서 만나보세요! ']","['전체', 'BASE & CHEEK', 'EYE', 'LIP', 'SKIN CARE', 'CLEANSING', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000104110041&trackingCd=Home_Planshop1_1_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=서울뷰티_1차&t_number=1
추석 기프트,24.09.06,24.09.18,추석기프트,"

추석기프트
마음이 따뜻해지는추석 선물
선물하기 2종 쿠폰증정


","[' 2024 추석 기프트 9.6(금) - 9.18(수)', '선물하기 2종 쿠폰부터 최대 43%할인 기프트까지! 지금 APP과 매장에서 확인해 보세요!']","['전체', '건강/푸드 선물', '뷰티 선물', '럭셔리 선물', '스페셜 선물', '2만원 미만 선물', '2-3만원대 선물', '3-5만원 선물']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000104110038&trackingCd=Home_Planshop1_2_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=추석 기프트&t_number=2
*헬스plus 9월FOCUS*,none,none,헬스+,"

헬스+
맛있는 음식마음껏 먹어도걱정 없어요
급찐급빠 BEST 모아보기


",[' 헬스 FOCUS '],"['전체', '슬리밍템', '식단관리', '에너지충전템', '건강식품', '푸드', '구강용품', '헬스건강용품', '여성위생용품', '컴포트웨어', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103960034&trackingCd=Home_Planshop1_3_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=PC_헬스전환_헬스 FOCUS&t_number=3
초간편 홈트레이닝 발란스핏,24.09.09,24.09.15,발란스핏,"

발란스핏
굳은 마음까지따뜻하게 풀어주는 손맛
장바구니 쿠폰&증정


","['09.09 - 09.15 하루 20분, 이제 입기만 하세요! #운동은 EMS 벨트 #초간편 홈트레이닝']","['전체', 'EMS 슬림 벨트', '마사지기', '압박 스타킹']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000104090120&trackingCd=Home_Planshop1_4_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=헬스에이드-902-4_신상로그온_이보미/주현선/김혜민&t_number=4
"추석 선물엔, 설화수 브랜드 위크",none,none,설화수,"

설화수
모두를 웃게하는선물을찾고 있다면
올리브영 단독 추석 사은품 증정


",[' 추석 선물 맛집 설화수 브랜드 위크 '],"['전체', '지함보 포장 한정기획', '설화수 BEST', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103880085&trackingCd=Home_Planshop1_5_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=프리미엄-902-2_브랜드위크_이유연/최주희&t_number=5
웨이크메이크 X 우알롱,none,none,웨이크메이크,"

웨이크메이크
다크닝과무너짐 없이쫀쫀한 피부표현
우알롱 볼캡 선착순 증정


",[],"['전체', '요즘 베이스 X 요즘 볼캡', '요즘 메이크업, 웨이크메이크', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103990039&trackingCd=Home_Planshop1_6_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=웨이크메이크-902-2_메인A_김희연&t_number=6
믿고먹는 오쏘몰,none,none,오쏘몰,"

오쏘몰
소중한 사람에게건강을선물해요
가을 맞이 올리브영 단독 기획전


",['09.09 - 09.16 orthomol 국내 판매 1위 비타민 오쏘물 가을 맞이 올영 단독 기획전'],"['전체', '믿고먹는 오쏘몰', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103750140&trackingCd=Home_Planshop1_7_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=건강식품-902-3_메인B_김진주/박진희&t_number=7
추석선물도 올리브영에서!,none,none,건강 식품,"

건강 식품
고마운 이들에게건강 담은안부를 전해요
추석 선물 기획전 보러가기


",['A to Z 추석 선물 준비도 올영에서! 활력부터 이너뷰티까지 소중한 분에게 건강을 선물해요!'],"['전체', '활력을 선물해요', '슬리밍을 선물해요', '장/간겅강을 선물해요', '이너뷰티를 선물해요', '\xa0', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103750142&trackingCd=Home_Planshop1_8_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=건강식품-902-5_김진주/박진희&t_number=8
손상피부장벽엔? 라로슈포제,24.09.09,24.09.16,라로슈포제,"

라로슈포제
피부장벽 세우고탄력은끌어올려요
쿠폰 & 베스트셀러 샘플 증정


",[' 손상된 피부장벽엔? 라로슈포제 라로슈포제 손상 장벽 & 탄력 루틴'],"['전체', '라로슈포제 손장장벽케어 루틴', '라로슈포제 9월 올영픽', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103930105&trackingCd=Home_Planshop1_9_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=더모-902-4_김가은/이지은&t_number=9
올영 P!CK 헤라 베스트 메이크업,none,none,헤라,"

헤라
나답게더 아름답게가을 메이크업
2개 이상 구매시 추가 할인 혜택


","[' 9월 올영 P!CK 헤라 Best 메이크업 More You, Effortlessly']","['전체', '헤라 베스트셀러', '함께쓰면 좋은 아이템', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103880086&trackingCd=Home_Planshop1_10_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=프리미엄-902-3_이유연/최주희&t_number=10
