promo_title,promo_start_dt,promo_end_dt,banner_title,banner_desc,promo_contents,promo_catgs,banner_link
혜택 가득! 💙올-쇼핑위크💙,24.07.15,24.07.21,올-쇼핑위크,"

올-쇼핑위크
단 7일 간의여름맞이득템 찬스
랜덤 쿠폰 증정, 최대 할인


","[' 단 7일, 올 여름 쇼핑 타이밍! 올-쇼핑 Week 이벤트 기간 : 7월 15일 ~ 7월 21일', '혜택 1 최대 7천원 올-쇼핑 쿠폰 매일 00시 선착순 랜덤쿠폰 놓치지마세요 올-쇼핑위크 랜덤쿠폰 APP 4만원 이상 구매 시 사용기간 : 발급당일 23:59까지 사용 가능 APP에서 다운받으세요! ', '혜택 2 10만원 행운쿠폰 도전! 내가 행운의 주인공이 될 수도? 매일 10만원 즉시 할인 쿠폰에 도전하세요! 100,000원 100,001원 이상 결제 시 10만원 할인, 당일 사용 필수 APP에서 도전하세요! ', ' 매일 찾아오는 최대 7천원 쿠폰부터 트렌디한 여름 특가까지 올리브영 APP에서 만나보세요! ']","['전체', '🧊쿨링&진정🧊', '🌞선케어🌞', '☀️썸머뷰티☀️', '✨제모&바디👙', '💸초특가템💸', '👑상반기 BEST템👑', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000104110033&trackingCd=Home_Planshop1_1_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=올-쇼핑 위크&t_number=1
🖤럭스에디트 1st Anniversary🖤,24.07.15,24.07.21,LUXE EDIT,"

LUXE EDIT
럭스에디트1주년을함께 축하해요
헤라, 프리메라 최대할인


","[' Luxe Edit 1st Anniversary 7.15 ~ 7.21 ', ' 1주년 Luxe Edit 최고의 혜택을 만나보세요 #1.DISCOVER 데이터로 보는 LuxeEdit 1주년 결산 #2.SELECT 매일 달라지는 브랜드 릴레이 특가 & 선착순 쿠폰 혜택 #3.EDIT 나만의 장바구니 담기 챌린지 ', ' Luxe Edit 1주년 결산 모아보기 럭스에디트 1주년 결산 TMI 리포트 APP에서 확인하세요 데이터 집계 기준 : 2023.7.17 ~ 2024.6.30 1주년 기념 최대 44% 특가 + 선착순 쿠폰까지!       브랜드데이       15월 헤라 프리메라       16화 설화수       17수 빌리프, 더후, 숨37,오휘            글로벌 럭셔리 데이터       18목 19금       에스티로더, 바비브라운, 크리니크, MAC, 아베다, 달팡, 랩시리즈            메이크업데이       20토       정샘물, 어반디케이            헤어케어데이       21일       모로칸오일, 올라플렉스      ', ' 장바구니 눈치 매치 참여방법 : 상품 3개를 선택하여 장바구니에 담아주세요! 11만원에 가까울수록 당첨 확률이 올라가요! APP에서 참여하기 ', ' 1주년 기념 최고의 혜택! 지금 바로 APP에서 만나보세요 ']","['전체', '럭스에디트 오늘의 특가💛', '오늘의 브랜드 💛헤라💛', '오늘의 브랜드 💛프리메라💛', '럭스에디트 💛BEST💛', '\xa0', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000104110029&trackingCd=Home_Planshop1_2_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=럭스에디트&t_number=2
올리브영이 제안하는 7월의 트렌드,none,none,올스킨올케어,"

올스킨올케어
헤어와바디를 위한산뜻쾌적 솔루션
단 5일, 특가로 만나세요


",[' APP에서 만나보세요! '],"['전체', '샴푸 추천템✨', '트리트먼트 추천템✨', '앰플/토닉/케어 추천템⭐', '샤워/클렌저 추천템✨', '바디로션 추천템⭐', '바디스크럽 추천템⭐', '바디미스트/오일 추천템⭐', '트라이얼 위크~42%💙', '\xa0', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000104110026&trackingCd=Home_Planshop1_3_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=<스키니피케이션> 트렌드리딩&t_number=3
럭키 7월에는 행운 선물하기 🍀💚,24.07.12,24.07.31,선물하기,"

선물하기
행운부적 받고선물 쿠폰까지!
기프트카드 추첨 증정


","[' 행운 선물하기 럭키 7월에는 행운만 가득 행운을 받으면 쿠폰이 지급돼요! 이벤트 기간 : 7월 12일 ~ 7월 31일 ', ' COUPON 행운받고 쿠폰 혜택까지! 선물하기 전용 2,000원 쿠폰 APP 2만원 이상 선물하기 시 사용기간 : 24년 7월 12일 ~ 7월 31일 APP에서 발급 가능해요! ']","['전체', '🎁 생일 선물 🎁', '🎁 결혼/집들이 선물 🎁', '🎁 출산/육아 선물 🎁', '🎁 합격 선물 🎁', '\xa0', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000104110028&trackingCd=Home_Planshop1_4_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=선물하기&t_number=4
"일본 직구 대란템, 세잔느 입점💫",24.07.15,24.07.21,세잔느,"

세잔느
직구 대란의영롱함이왔어요
장바구니 쿠폰 증정


",[' 일본 직구 대란템! 세잔느 올리브영 상륙 장바구니 쿠폰 + 스탠드 미러 증정'],"['전체', '영롱하고 은은한, 아이 완성✨', '여름 필수, 보송 뽀용 베이스 완성✨', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103810194&trackingCd=Home_Planshop1_5_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=색조-703-4_신상로그온_도지현/박희수&t_number=5
셀퓨전씨 X 산리오캐릭터즈,24.07.15,24.07.21,셀퓨전씨,"

셀퓨전씨
자외선 철벽차단산리오와함께해요
스페셜 굿즈를 드려요


",[' 산리오캐릭터즈 셀퓨전씨와 함께해썬 #스페셜굿즈 #썬25ml #추가증정'],"['전체', '셀퓨전씨 X 산리오 썬 3종💕', '여름에는 역시 셀퓨전씨🤍', '셀퓨전씨 쿨링케어 BEST💙']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103910050&trackingCd=Home_Planshop1_6_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=썬케어-703-1_브랜드위크_신상아/최다정&t_number=6
라보에이치X산리오캐릭터즈의 만남!,24.07.15,24.07.22,라보에이치,"

라보에이치
두피장벽튼튼프로젝트
#산리오캐릭터즈 보냉백증정


",[' 산리오캐릭터즈 콜라보 두피장벽강화 프로젝트! #산리오캐릭터즈 보냉백 증정'],"['전체', '두피 장벽을 튼튼하게!', '라보에이치 BEST 더보기', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103770101&trackingCd=Home_Planshop1_7_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=헤어-703-1_메인A_김수진/김보은&t_number=7
"시원하게 수분충전, 아비브 7일특가",24.07.15,24.07.21,아비브,"

아비브
여름엔 시원하게수분초로수분충전
#1+1기획#물냉이키트 증정


",[' 10초 속수분 충전 아비브 수분초 케어 #7일특가 #물냉이씨앗키트증정'],"['전체', '여름엔 수분초로 수분충전💦', '진정부터 잡티까지, 아비브', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103890094&trackingCd=Home_Planshop1_8_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=스킨케어-703-1_메인B_김소현/이희평&t_number=8
무결점 바디로 빛내줄 아로마티카💜,24.07.15,24.07.22,아로마티카,"

아로마티카
거친 바디 피부를매끈하게
바디워시 & 스크럽 할인


",[' 무결점 바디로 빛내줄 아로마티카 바디 케어 #20분급속진정 #여드릅기능성'],"['전체', '💜무결점 바디루틴💜', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103760087&trackingCd=Home_Planshop1_9_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=바디-703-3_이수형/박수민&t_number=9
아임비타 에너지충전✨,none,none,아임비타,"

아임비타
지친 일상에에너지 더해주는여름 면역 한샷
보조배터리 증정 이벤트


",['07.15-07.22 하루 한샷으로 바뀌는 에너지 #2병증정기획 #보배증정'],"['전체', '아임비타 에너지충전✨', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103750117&trackingCd=Home_Planshop1_10_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=건강식품-703-3_김진주/박진희&t_number=10
