promo_title,promo_start_dt,promo_end_dt,banner_title,banner_desc,promo_contents,promo_catgs,banner_link
올영세일 커밍순!!💖,23.08.28,23.08.30,올영세일 커밍쑨,"

올영세일 커밍쑨
올영세일 D-3강력한사전혜택
세일쿠폰 100%지급, 천만원 경품


","[' 올영세일 COMING SOON ', ' 01 APP PUSH 수신 동의하고 올영세일 쿠폰 미리받기 02 카카오톡 공유하고 총 천만원 경품 응모 ', ' 01 올영세일 사전쿠폰 미리 받아서 올영 세일에 사용해 보세요! APP PUSH 수신 동의 시 2,000원 쿠폰 APP|매장 2만원 이상 구매시 사용기간: 2023.08.31 02 사전혜택 공유하기 카톡 공유하고 총 천만원 혜택에 응모해보세요 추첨 100명 올리브영 기프트카드 10만원 추첨 100명 스타벅스 아이스 아메리카노 APP에서 확인하세요 ', ' 올영세일 미리보기 ', ' 데일리 래플 누구나 응모하는 황금연휴 럭키템 올영세일 쿠폰받기 APP에서 올영세일 쿠폰 미리받기! ']",[],https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102920023&trackingCd=Home_Planshop1_1_PROD
8월 클린뷰티,23.08.01,23.08.30,올리브영 클린뷰티,"

올리브영 클린뷰티
다정력테스트참여하고경품 응모해요
100% 쿠폰당첨, 100만원권 응모


",[],"['전체', 'TEAM ALL 진정', 'TEAM LIVE 수분', 'TEAM YOUNG 미백']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103190003&trackingCd=Home_Planshop1_2_PROD
8월 올영pick,23.08.01,23.08.30,올영p!ck,"

올영p!ck
올리브영이p!ck한이 달의 브랜드
베스트 아이템 한정특가


",[' 올영p!ck 8월 '],"['전체', '🌿클린뷰티🌿', '말끔세정 깔끔토닝💧', '여름철 피부 구하기🧊', '싱그러운 여름향기💙', '셀프 홈 케어😁', 'GO VEGAN🌳', '쿨링프로젝트💦', '헤어케어 게임체인저🎮', '썸머 메이크업🤍', '올리브키트상품 특가로 만나기🤗', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102910009&trackingCd=Home_Planshop1_3_PROD
B.READY FOR NICE WEATHER,23.08.21,23.08.30,비레디,"

비레디
개성 넘치는그를 위한기분 좋은 만남
나이스웨더 콜라보 굿즈 운영


",['비레디X나이스웨더 콜라보 기획전 비레디X나이스웨더 콜라보 굿즈 운영'],"['전체', '비레디X나이스웨더 ', '비레디 BEST', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102710065&trackingCd=Home_Planshop1_4_PROD
비건 이너감으로 건강한 Y존 케어,23.08.21,23.08.30,이너감,"

이너감
Y존과 닮아가장 편안한 비건 케어
최대 32%할인


",['08.21-08.30 건강하고 소중한 나를 위한 이너감 비건 Y존케어 런칭 기념 비건 페미닌 클렌징바 20g 증정'],"['전체', '산뜻한 이너감 청결제 & 청결티슈 🤍', '지구와 함께 건강해지는 클렌징바🤍', '이너감 화이트닝 크림 🤍']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102860082&trackingCd=Home_Planshop1_5_PROD
💙두피 쿨링케어 기획전,23.08.21,23.08.30,두피 쿨링,"

두피 쿨링
두피는열 받지말아요
최대 43%할인


",[' 더위에 지친 두피 COOKING CARE 매일 30도를 넘는 날씨를 기록하는 요즘 달아오르는 자극 받은 두피를 진정시켜줄 수 있는 제품을 소개해요!'],"['전체', '쿨링샴푸', '스케일러', '두피토닉&스프레이']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102850106&trackingCd=Home_Planshop1_6_PROD
코스노리 블랙틴팅 속눈썹영양제 출시,23.08.21,23.08.30,코스노리,"

코스노리
영양제만발라도눈매가 또렷해요
최대 35%할인


",[' 코스노리 신상 블랙 틴팅 세럼 신상출시 최대 35% #속눈썹케어'],"['전체', '(NEW) 강쥐 PICK! 블랙틴팅세럼', '올영픽! BEST OF 코스노리', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102750184&trackingCd=Home_Planshop1_7_PROD
"탄력 치트키, 바이오던스",23.08.21,23.08.30,바이오던스,"

바이오던스
팩 속 마지막 앰플 한방울까지흡수시켜요
최대 24%할인


",[' 34g 앰플 한 병 그대로 화제의 콜라겐 마스크팩 역대급 할인에 증정까지'],"['전체', '내가 찾던 탄력 치트키, 바이오던스', '바이오던스 더 알아가기', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102720090&trackingCd=Home_Planshop1_8_PROD
상쾌함 픽! 아쿠아픽 런칭💨,23.08.21,23.08.30,아쿠아픽,"

아쿠아픽
칫솔이 닿지 않는 곳까지상쾌하게
최대 27%할인


",['8.21-8.30 상쾌함을 픽! 아쿠아픽 런칭이벤트 최대 27% 할인'],"['전체', '1인용 아쿠아픽', '다함께 아쿠아픽', '농축가글&코세정기']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102870106&trackingCd=Home_Planshop1_9_PROD
아티스트 김우석의 마이프레셔스,none,none,마이프레셔스,"

마이프레셔스
반전매력을 가진김우석의인생템 엿보기
폴라로이드 증정 이벤트


","[' KIM WOO SEOK \t\t\t\t\t\t\tmy precious things 소년미에서 나오는 진중한 눈빛으로 \t\t\t\t\t\t\t다양한 색깔을 뽐내고 있는 \t\t\t\t\t\t\t가수 겸 배우, 김우석의 \t\t\t\t\t\t\t열다섯 번째 ＜마이프레셔스＞ 시작합니다. \t\t\t\t\t\t\t폴라로이드 사진 이벤트도 기대해 주세요. ', ' #1 The Ordinary 솔직하고 털털한 성격답게 뭐든 편한 스타일을 \t\t\t\t\t\t\t선호해요. 제가 잘 입는 사복들만 봐도 편한 \t\t\t\t\t\t\t트레이닝복이 많죠. 그래도 친구들이랑 놀러 가면 \t\t\t\t\t\t\t하루 정도는 열심히 꾸미는 거 같아요. 나름 니트에 \t\t\t\t\t\t\t슬랙스, 요즘 유행하는 카고 바지도 입고요. 쉴 때에는 게임을 하거나 영화 보는 걸 좋아해요. \t\t\t\t\t\t\t최근엔 ‘헤어질 결심’이 가장 기억에 남아요. \t\t\t\t\t\t\t옳고 그름의 경계선을 흐리게 하는 영화를 \t\t\t\t\t\t\t되게 좋아하는데요. 제가 옳다고 믿는 것들이 다르게 \t\t\t\t\t\t\t느껴질 때 신선한 자극을 받아요. ', ' Q. 요즘 김우석의 플레이리스트가 궁금해요. 요즘에는 데이식스의 \t\t\t\t\t\t\t\t‘마치 흘러가는 바람처럼’, \t\t\t\t\t\t\t\t615의 ‘편지’ 많이 들어요. Q. 데뷔 때부터 최근 앨범까지 꾸준히 작곡에 \t\t\t\t\t\t\t\t참여하고 있는데 영감을 어떻게 받아요? 각 잡고 곡을 만들기 보다는 친구들이랑 \t\t\t\t\t\t\t\t놀면서 나오는 곡이 많아요. \t\t\t\t\t\t\t\t자연스럽게 흥얼거리며 멜로디를 쓰고 \t\t\t\t\t\t\t\t서로 살을 붙여주면서 즐겁게 작업을 \t\t\t\t\t\t\t\t자주 하다보니 실력도 늘더라고요. ', ' Q. 최근 활동하는 모습을 보면 \t\t\t\t\t\t\t\t‘자연스러운’, ‘편안한’ 이런 표현이 김우석과 \t\t\t\t\t\t\t\t점점 더 가까워지고 있는 느낌이에요. 예전에는 연예인이라는 직업이 무언가를 계속 \t\t\t\t\t\t\t\t덧대야 사랑받을 수 있다고 생각했어요. \t\t\t\t\t\t\t\t어느 순간 본연의 저를 그대로 드러내는 것이 \t\t\t\t\t\t\t\t더 매력 있다고 느껴졌고 보이는 이미지와 \t\t\t\t\t\t\t\t실제의 제 모습의 간극을 허문지 \t\t\t\t\t\t\t\t1년 정도 됐어요. 저도 점점 편해지고 \t\t\t\t\t\t\t\t그런 모습에 팬분들도 더 좋아해 주시더라고요. ', ' 일상에서 편하게 자주 쓰는 제품들을 골랐어요. \t\t\t\t\t\t\t제가 옷은 아주 편하게 입지만 향에는 \t\t\t\t\t\t\t관심이 많아요. 향수는 우디한 향을 좋아하는데요. \t\t\t\t\t\t\t바디 워시는 조금 더 가벼운 시트러스 향을 선호해요. 치약은 사실 가격은 배신하지 않는다 주의여서 \t\t\t\t\t\t\t덴티스테 쓰고 있어요. \t\t\t\t\t\t\t주변에서 추천도 많이 했고요. 최근에 할인할 때 \t\t\t\t\t\t\t사서 24개 쟁여놨습니다. ', ' 슬리퍼는 제 일상에서 거의 항상 \t\t\t\t\t\t\t함께하는 아이템이죠. \t\t\t\t\t\t\t친구를 만날 때, 촬영 갈 때 \t\t\t\t\t\t\t없어서는 안돼서 골랐어요. ', ' #2 Dive In 꾸밈없는 인간 김우석의 매력도, \t\t\t\t\t\t\t다양한 캐릭터를 연기하는 아티스트로서의 \t\t\t\t\t\t\t김우석도 모두 보여주고 싶어요. ', ' 최근 앨범 활동과 해외 팬미팅을 마치고 \t\t\t\t\t\t\t‘밤이 되었습니다’라는 드라마를 준비하고 있어요. \t\t\t\t\t\t\t18살 고등학생 역할인데 저랑 딱 10년 차이네요. \t\t\t\t\t\t\t불가살과 또 다른 모습을 보여줄 수 있어서 설레요. ', ' Q. 앞으로 더 해보고 싶은 연기가 있나요? 지금까지 착한 캐릭터를 많이 했는데요. \t\t\t\t\t\t\t\t소위 말해 양아치 역할이나 극한까지 우울한 \t\t\t\t\t\t\t\t캐릭터도 도전해 보고 싶어요. \t\t\t\t\t\t\t\t확실히 캐릭터성이 보이는 역할에 욕심이 나요. 드라마 미팅이 있을 땐 혼자서 메이크업도 해요. \t\t\t\t\t\t\t샵 가는 걸 귀찮아하거든요. \t\t\t\t\t\t\t지베르니 파데는 예전에 제가 직접 올리브영에 \t\t\t\t\t\t\t가서 메이트분께 추천받은 제품이에요. \t\t\t\t\t\t\t피부 톤에 잘 맞고 자연스럽게 보정돼서 \t\t\t\t\t\t\t잘 쓰고 있어요. \t\t\t\t\t\t\t립밤은 수시로 발라주는 편인데 잘 잃어버려서 \t\t\t\t\t\t\t보일때 마다 사는 것 같아요. ', ' Q. 어디서도 말하지 않은, \t\t\t\t\t\t\t\t최근에 진짜 좋아하거나 \t\t\t\t\t\t\t\t하고 싶은 게 있나요? 어디서도 진지하게 이 말은 꺼내본 적이 없는데, \t\t\t\t\t\t\t\t저 연기하는 게 너무 좋습니다. \t\t\t\t\t\t\t\t최근 들어 연기에 대한 마음이 많이 커졌어요. \t\t\t\t\t\t\t\t일상생활에서 해볼 수 없는, 감정을 쏟아내는 \t\t\t\t\t\t\t\t과정이 너무 재밌어요. 감정 표현을 안 하는 사람인데 \t\t\t\t\t\t\t\t연기라는 매개체를 통해 또 다른 김우석을 \t\t\t\t\t\t\t\t꺼내 볼 수 있어서 더 매력적으로 다가오는 거 같아요. 마지막으로 팬들에게 하고 싶은 말 저의 팬, 냐냐들은 항상 저보다 \t\t\t\t\t\t\t\t조금 더 행복하시길 바랍니다. ', ' Editor 신혜정 Hair&Makeup PRANCE Model 김우석 Photographer 이재돈 Stylist 방혜림 Designer 윤진 ', ' 폴라로이드 EVENT 하단 이벤트에 참여해주신 다섯 분을 추첨해 \t\t\t\t\t\t\t김우석의 폴라로이드 사진을 선물로 드립니다. 이벤트 기간 23.08.23 (수) - 8.29 (화) 참여 방법 1. 마이프레셔스 vol.15 김우석편을 보기 2. 댓글로 감상평 남기기 당첨자 발표 23.9.7 (목) ', '닫기', '닫기']","['전체', '아티스트 김우석의 #인생템', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102330015&trackingCd=Home_Planshop1_10_PROD
