promo_title,promo_start_dt,promo_end_dt,banner_title,banner_desc,promo_contents,promo_catgs,banner_link
슈퍼브랜드위크❤️푸드올로지❤️,23.08.07,23.08.13,푸드올로지,"

푸드올로지
단 7일푸드올로지최대 혜택
최대 30%할인, 선착순 쿠폰


","[' SUPER BRAND WEEK 8.7 - 8.13 ', ' 단 7일! 푸드올로지 역대급 혜택 혜택 1 매일 08시, 선착순 쿠폰 혜택 2 오늘만 슈퍼 할인! 오늘의 특가 혜택 3 월/수/금/일 12시, 선착순 특가 혜택 4 UP TO 30% 7일 특가 혜택 5 경품 가득 이벤트 ', ' FOODOLOGY ""건강한 다이어트의 시작, 푸드올로지"" \t\t\t\t\t다이어트 성공은 서현의 빨간젤리 다이어트로 슬기로운 체지방 관리하세요! \t\t\t\t ', ' 01 Coupon 선착순, 매일 오전 8시 최대 5천원 추가 할인 (당일 발급 & 사용) 푸드올로지 장바구니 쿠폰 10% APP 3만원 이상 구매시 최대 5,000원 할인 APP에서 다운 받으세요 ', ' 02 - 04 Benefit APP에서만 만날 수 이쓴 역대급 혜택! 오늘만 슈퍼할인! 오늘의 특가 월/수/금/일 12시 오픈런! 선착순 특가 최대 30# 단독 특가까지! ', "" 05 Event 도전 리뷰왕 푸드올로지 제품 리뷰하고 경품에 도전하세요. \t\t\t\t\t\t응모방법 \t\t\t\t\t\t STEP.1 행시기간 동안 제품 구매하기 STEP.2 ~8/31까지 리뷰 작성 완료하기 \t\t\t\t\t\t경품 콜레올로지 티 7포 + 콜레올로지 컷팅젤리 10포 + 콜레올로지 30점 \t\t\t\t\t 05 Event 도전 구매왕 푸드올로지 제품 구매하고 경품에 도전하세요, 실 결제 금액의 10배 리워드 혜택을 드립니다. \t\t\t\t\t\t응모방법 \t\t\t\t\t\t STEP.1 행시기간 동안 제품 구매하기 STEP.2 하단 '응모하기' 누르면 응모 완료! \t\t\t\t\t\t경품 안내 올리브영 기프트카드 (최대 50만원) \t\t\t\t\t APP에서 확인하세요 "", ' APP에서만 만날 수 있는 최대 혜택! ', ' [제조원/판매원] 헤이구미 프로 구미 제조원 : (주)서흥 오송2공장 판매원 : 주식회사 어댑트 콜레올로지 컷팅 젤리 제조원 : 코스맥스바이오(주) 판매원 : 주식회사 어댑트 콜레올로지 티 하비탈출 제조원 : (주) 비오팜 판매원 : 주식회사 어댑트 버닝올로지 디데이 제조원 : (주)노바렉스 판매원 : 주식회사 어댑트 콜레올로지 제조원 : (주)비엘헬스케어2공장 판매원 : 주식회사 어댑트 * 해당 제품들은 건강기능식품입니다. * 적절한 운동과 식이조절을 함께 병행하면 더욱 좋습니다. ']","['전체', '오늘의 특가👀', '최대30% 특가🛒', '함께 먹으면 좋아요👍']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103030005&trackingCd=Home_Planshop1_1_PROD
올형들이 직접 써 본 수직상승 여름템💙,23.08.01,23.08.27,맨즈케어,"

맨즈케어
고민 많은그를 위한모든 것
최대 35%할인, 선착순 쿠폰


","[' 올형들이 직접 써 본 삶의 질 수직상승 여름템 한줄요약:덕분에 여름 광명 찾았습니다 ', ' 올형들이 직접 써 본 삶의 질 수직상승 여름템 한줄요약:덕분에 여름 광명 찾았습니다 ', ' 유병재 트리오가 직접 고민해봤다! 여름 삶의 질 수직 상승하는 형들의 리얼 스토리, 리얼 솔루션 유병재 트리오 COMING SOON 라이브 8월 4일(금) 영상 업로드 8월 14일 (월) ', ' 직접 고민한 형들의 리얼스토리, 리얼솔루션 ', ' 유병재 트리오가 직접 고민해봤다! 여름 삶의 질 수직 상승하는 형들의 리얼 스토리, 리얼 솔루션 유병재 트리오의 영상을 확인해보세요! ', ' 올리브영 APP에서 첫구매라면? 역대급 첫 구매 혜택 100원/990원 초특가딜 신규가입 쿠폰 카카오페이 쿠폰 APP에서 확인하세요! ', ' 여름철 남자의 고민 해결 리얼맨즈 베스트셀러 남자의 고민별 삶의 질 수직상승하는 여름템을 APP에서 확인해보세요! ', ' 여름철 남자의 고민 해결 리얼맨즈 베스트셀러 APP에서 만나는 기간한정 상품 혜택 매일매일 초특가 도전 오늘의특가와 한정수량 증정 최대 38% 여름 삶의 질 수직 상승 할인상품 만나기! ', ' 선착순 쿠폰 매일 08시, 여름 쇼핑을 위한 준비 남자의 여름템 솔루션 쿠폰 APP 행사상품 3만원 이상 구매 시 ', ' 용서도 허락도 필요없다! 럭키드로우 구매할수록 커지는 경품에 도전하세요! 구매만 해도 OY기프트카드 3만원권(100명) 5만원 이상 구매 시 헬리녹스 캠핑체어(15명) 10만원 이상 구매 시 닌텐도 스위치 oleds(7명) 15만원 이상 구매 시 플레이스테이션5(3명) APP에서 확인하세요! ', ' 용서도 허락도 필요없다! 럭키드로우 구매할수록 커지는 경품에 도전하세요! 구매만 해도 OY기프트카드 3만원권(100명) 5만원 이상 구매 시 헬리녹스 캠핑체어(15명) 10만원 이상 구매 시 닌텐도 스위치 oled(7명) 15만원 이상 구매 시 플레이스테이션5(3명) APP에서 확인하세요! ']","['전체', '번들거리지 않는 가벼운 스킨케어💙', '꿉꿉함과 냄새없는 상쾌함🌊', '여름을 이기는 스타일링😎', '땀에도 무너지지 않는 커버💦', '옷핏 살리는 여름관리🌞', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103140003&trackingCd=Home_Planshop1_2_PROD
8월 올영pick,23.08.01,23.08.30,올영p!ck,"

올영p!ck
올리브영이p!ck한이 달의 브랜드
베스트 아이템 한정특가


",[' 올영p!ck 8월 '],"['전체', '🌿클린뷰티🌿', '말끔세정 깔끔토닝💧', '여름철 피부 구하기🧊', '싱그러운 여름향기💙', '셀프 홈 케어😁', 'GO VEGAN🌳', '쿨링프로젝트💦', '헤어케어 게임체인저🎮', '썸머 메이크업🤍', '올리브키트상품 특가로 만나기🤗', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102910009&trackingCd=Home_Planshop1_3_PROD
"클렌징 선두, 녹두는 비플레인",23.08.07,23.08.13,비플레인,"

비플레인
모공속까지개운해요
1+1, 굿즈 증정


","['모공 피지 진정 세정 녹두니까 되네? 클렌징 선두, 녹두']","['전체', '비플레인 BEST 모음', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102730070&trackingCd=Home_Planshop1_4_PROD
홍현희 PICK! 구달 잡티세럼💛,23.08.07,23.08.13,구달,"

구달
대용량으로돌아온잡티세럼
최대 32%할인, 장바구니 쿠폰


",['2주 잡티 이별 세럼 대용량 리필에디션 런칭 단 7일간 구달 단독 UP TO 32%'],"['전체', '❤올리브영 단독런칭❤', '★구달 BEST 청귤라인★', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102700087&trackingCd=Home_Planshop1_5_PROD
라엘 질세정기로 데일리 안심 Y존케어,23.08.07,23.08.13,라엘,"

라엘
나를 위한스페셜 케어가필요할 때
최대 35%할인


","['08.07-08.13 라엘 질 세정기로 데일리 안심 Y존케어 올리브영 선런칭 기념 MAX 35%, 파우치 증정']","['전체', '라엘 질세정기로 데일리 안심 Y존케어', '라엘 생리대 BEST ', 'Y존에 자극없이 순한 라엘 청결제 ']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102860075&trackingCd=Home_Planshop1_6_PROD
"여름날, COOL하게 시원한 음료 한잔🍹",23.08.07,23.08.13,음료/드링크,"

음료/드링크
가장 짜릿한여름을만나요
최대 31%할인


","[' 속시원한, Cool한 음료 더운 날, 올리브영이 추천하는 음료와 함께']","['전체', '🥤탄산수/탄산음료', '🧉콤부차/차', ' 💪 에너지/스포츠드링크', '🧊물/주스/커피', '\xa0', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102820146&trackingCd=Home_Planshop1_7_PROD
피부 진정엔 아비브 어성초 케어,23.08.07,23.08.14,아비브,"

아비브
더 넓어진패드로진정해요
최대 52%할인


",[' Abib 한여름 피부 진정엔 아비브 어성초 케어 아비브 어성초 제품 - 52% 할인'],"['전체', '아비브 진정을 완성하다', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102720085&trackingCd=Home_Planshop1_8_PROD
오에니르X희주 듀잇 틴트 출시💖,23.08.07,23.08.13,오에니르,"

오에니르
바르는 순간차오르는물빛 광채
최대 20%할인


",[' 희주 PICK 오에니르 듀잇 틴트 런칭 촉촉 탱글 빛나는 글로우립 오픈 단독 특가!'],"['전체', 'NEW 촉촉탱글 탕후루 립 완성💖', '오에니르 BEST ✨', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102750173&trackingCd=Home_Planshop1_9_PROD
미프로 남자 피부 고민 해결! ,23.08.07,23.08.14,미프,"

미프
관리하는 남자의 첫 단계
최대 37%할인 및 장바구니쿠폰


","["" 김지훈's PICK! 자신감 UP! 생기 UP! #클렌징폼 선착순 증정""]","['전체', '미프 그루밍 컬렉션', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102710060&trackingCd=Home_Planshop1_10_PROD
