promo_title,promo_start_dt,promo_end_dt,banner_title,banner_desc,promo_contents,promo_catgs,banner_link
9월 올리브 데이,24.09.25,24.09.27,올리브 데이,"

올리브 데이
단 3일간만나는올리브 멤버스
등급별 쿠폰 혜택


","[' 올리브 멤버스를 위한 OLIVE DAY 9.25(수)~9.27(금), 단 3일간 ', ' 올리브 멤버스 등급별 혜택! 4만원 이상 구매 시 GOLD OLIVE 7천원 할인 BLACK OLIVE 6천원 할인 3만원 이상 구매 시 GREEN OLIVE 4천원 할인 PINK OLIVE 3천원 할인 BABY OLIVE 2천원 할인 BABY OLIVE 등급의 경우 9/23(월)까지 신규 가입한 고객 한정 쿠폰 발급 쿠폰은 자동발급 되었어요 ']","['전체', 'Luxe Edit', 'FALL IN MOOD 데이', '올리브 특가']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000104140001&trackingCd=Home_Planshop1_1_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=올리브데이_권서희&t_number=1
가을에도 선물하기에서!,24.09.23,24.09.30,선물하기,"

선물하기
풍성한가을 담은마음 표현하기
2천원 선물 쿠폰 증정


","[' 가을맞이 선물하기로 놀러와요 09.23 - 09.30', 'COUPON 쿠폰 받고 선물하자! 선물하기 전용 쿠폰 2,000원 APP 2만원 이상 선물하기 시 사용기간 : 24.09.23 - 09.30 APP에서 발급 가능해요! ']","['전체', '메이크업템', '환절기템', '건강템']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000104110044&trackingCd=Home_Planshop1_2_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=선물하기 활성화_권서희&t_number=2
단 한겹으로 끝! 오브제 커버로션,24.09.23,24.09.29,오브제,"

오브제
로션처럼티안나게 바르는초간편 커버
올리브영 단독 기획세트 런칭


",[' 단 한겹으로 끝! 오브제 커버로션 #올리브영 단독 기획세트'],"['전체', '남성 메이크업 1위', '오브제 BEST 더보기!', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103940105&trackingCd=Home_Planshop1_3_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=남성-904-1_신상로그온_박선정/조은경&t_number=3
"답이 되는 마그네슘, 마그랩",none,none,마그랩,"

마그랩
일상의 에너지맛있게 채우는활력 한 모금
론칭 1주년 기념 쿠폰&증정


","[' BRAND WEEK PLUS HAPPY MgLAB DAY ', 'CREATED BY OLIVEYOUNG MAGAZINE for STRESS & ENERGY 여러분의 활기찬 하루를 위해 쉼 없이 달려온 1등 마그네슘 브랜드, 마그랩이 벌써 탄생 1주년을 맞이했어요! 에너지 넘치는 일상을 새롭게 응원하는 마음으로 마그랩의 베스트셀러를 소개합니다. 스트레스로 인한 피로를 개선하는 ‘포 스트레스’와 에너지를 채워줄 ‘포 에너지’를 만나보세요. ', ' APP에서 다운 받으세요! BENEFIT 01 브랜드 위크 기간 중 마그랩 제품 구매 시 사용 가능한 10% 장바구니 쿠폰을 드립니다. APP 최대 5천원 할인 행사기간 : 2024. 9. 23 ~ 9. 29 BENEFIT 02 행사 기간 중 마그랩 상품 3.5만원 이상 구매 시 마그랩 X 샤이니 키 pleasure 카드 지갑 증정 BENEFIT 03 마그랩 제품 1개 구매시 마그랩 젤리푸푸 1입 증정 BENEFIT 04 마그랩 제품 1개 구매시 마그랩 슬림피치 1입 증정 ', '1st anniversary 웃음을 되찾아줄 마그랩 포 스트레스 스트레스로 인한 피로는 풀고 활력은 채워요. 글루콘산 마그네슘을 액상 앰플 타입에 담아 신체 흡수율을 높였어요. ', ' 정상적 면역 기능까지 한 번에 케어할 수 있죠! 상큼한 자몽허니맛이라 맛있게, 기분까지 산뜻하게! ', '마그랩 포 스트레스 12입 선물세트 (12일분) 보러가기', '마그랩 포 스트레스 12입 선물세트 (12일분)', '장바구니 담기', ' 활동이 많은 날엔 ‘마그랩 포 에너지’로 활력을 채워보세요. 마그랩 포 에너지는 에너지 충전부터 근육 건강까지 한 번에 케어해 주니까 활동적인 일상을 위한 최고의 친구가 되어줄 거예요. ', '마그랩 포 에너지 기획세트 25ml*10+2 (12일) 보러가기', '마그랩 포 에너지 기획세트 25ml*10+2 (12일)', '장바구니 담기', ' 마그랩의 1주년! 함께 축하해 주실 거죠? 지친 일상, 맛있게 채우는 활력 한 모금 흡수가 빠른 액상 타입 마시는 마그네슘 마그랩으로 시작하세요! ', '마그랩 브랜드관 바로가기', ' CREATED BY OLIVEYOUNG MAGAZINE Editor 송명경 Photographer 박아름 Model 다은 Hair 우소라 Makeup 박수지 Fashion Stylist 손승희 Designer 현승환 ']","['전체', '답이 되는 마그네슘, 마그랩', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103110023&trackingCd=Home_Planshop1_4_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=마그랩_브랜드위크플러스_김진주/박진희&t_number=4
"부드러움 그 이상, 수퍼소프트",24.09.23,24.09.29,좋은느낌,"

좋은느낌
민감한 날일수록피부에 닿는 건더 부드럽게
수퍼소프트 올영 단독 런칭


","['09.23 - 09.29 부드러움의 새로운 기준, 좋은느낌 수퍼소프트 올리브영 단독 런칭']","['전체', '좋은느낌 수퍼소프트', '좋은느낌 BEST', '좋은느낌 더보기']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103710142&trackingCd=Home_Planshop1_5_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=W케어-904-1_메인A_임진희/서혜림&t_number=5
맑게 차오르는 NEW 볼륨 광채 쿠션,24.09.23,24.09.30,에스쁘아,"

에스쁘아
바르는 순간부터맑게 차오르는볼륨광
비글로우 구매 시 파우치 증정


",[' espori 빛으로 더 맑게 차오르는 NEW 볼륨 광채 쿠션 컬러 측색 데이터 기반의 8컬러 단독선런칭'],"['전체', '맑은광채 베이스 메이크업', '맑은컬러 립 메이크업', '하이코어텍스처 아이 메이크업', '에스쁘아 BEST', '\xa0', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103810272&trackingCd=Home_Planshop1_6_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=색조-904-6_메인B_하주영/윤지영&t_number=6
에뛰드 NOT BAD 컬렉션 출시,24.09.26,24.09.30,에뛰드,"

에뛰드
긱시크감성 담은가을 메이크업
Not Bad 컬렉션 5일 특가


",[],"['전체', '긱 시크 감성 EYE', '맑은 광택&시크 무드 LIP', 'Y2K 사이버 빔 BASE', '에뛰드 BEST템 모아보기', '\xa0', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103810270&trackingCd=Home_Planshop1_7_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=색조-904-4_도지현/박희수&t_number=7
컴포트웨어 FW,none,none,컴포트웨어,"

컴포트웨어
편안한하루를 위한작은 변화
F/W BEST&NEW 특가


",['가을 겨울에도 COMFORT WEAR '],"['전체', '사각팬티 & 팬티', '나시 & 이너웨어', '파자마', '스타킹', '\xa0', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000104220066&trackingCd=Home_Planshop1_8_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=잡화-805-1_박은수/김서영&t_number=8
"톤, 결, 광 개선 아로셀 콜라겐마스크",24.09.23,24.09.30,아로셀,"

아로셀
피부를변화시키는콜라겐의 힘
콜라겐 마스크 최대할인


","[' 콜라겐으로 채워 완성하는 톤, 결, 광 ']","['전체', '콜라겐으로 채워 완성하는 톤, 결, 광!', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103900132&trackingCd=Home_Planshop1_9_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=마스크팩-904-1_정유빈/김진영&t_number=9
향기맛집 트리헛 스크럽,24.09.23,24.09.30,트리헛,"

트리헛
기분까지 좋아지는살결 관리
바디스크럽 & 립케어 할인


",[' 올리브영 7년연속 1위 트리헛 바디스크럽 '],"['전체', '살냄새인 듯 은은한 향기', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103760119&trackingCd=Home_Planshop1_10_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=바디-904-3_이수형/박수민&t_number=10
