promo_title,promo_start_dt,promo_end_dt,banner_title,banner_desc,promo_contents,promo_catgs,banner_link
"최대 70%할인, 올영세일✨",23.11.30,23.12.06,올영세일,"

올영세일
올해를빛낸 히어로올영세일
최대 70% 할인혜택


","[' 올영세일 마지막날 ', ' 올영세일 11.30~12.06 ', ' 매일 00시, 12시에 만나요 선착순 쿠폰 ', ' APP에서 구매가 처음이라면? APP 첫구매 쿠폰 5,000원 ', ' 나의 최애템 투표하고 어워즈&페스타 가요\u200b 올리브영 어워즈 국민투표 투표자 혜택 2023 올리브영 AWARDS & FESTA 티켓 2매 - 30명 올리브영 기프트카드 3만원권 - 100명 스타벅스 아메리카노 - 300명 ', ' 올해를 빛낸 히어로, 올영세일 매일받는 선착순 쿠폰 100가지 상품 한정특가\u200b 100개 특가\u200b 첫만남 강력혜택\u200b 신상특가\u200b 1, 7일차 10시\u200b 선착순 특가 온라인몰 단독\u200b 베스트키워드\u200b ']","['전체', '최대 70% 특가💖', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102920024&trackingCd=Home_Planshop1_1_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=12월 세일 인덱스_특가_박슬기&t_number=1
네이버페이 결제혜택 💚💸,23.11.30,23.12.06,올영세일,"

올영세일
7일간놓칠 수 없는결제혜택
네이버페이 결제시 포인트 적립


",[],"['전체', '프리미엄추천템✨', '선물추천템🎁', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103270013&trackingCd=Home_Planshop1_3_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=결제/제휴_허성문&t_number=3
올영세일 신상특가✨,23.11.30,23.12.06,올영세일,"

올영세일
지금 주목 받는신상을특가로 만나요
최대 50%할인


",[],"['전체', '스킨케어✨', '메이크업💄', '헤어&바디🧼', '헬스케어🏃\u200d♂️', '\xa0', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102920025&trackingCd=Home_Planshop1_4_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=12월 세일 신상특가_유태환&t_number=4
✨2023 메이크업 연말결산✨,23.11.30,23.12.06,올영세일,"

올영세일
화려하게그리는연말
색조 최대 55%할인


",['2023 메이크업 연말결산 BEST & TREND '],"['전체', '12/4 오늘의 특가', '올영세일 단 7일간의 백개특가!', 'NEW 신상특가', '✨BEST 베이스 메이크업✨', '✨BEST 립 메이크업✨', '✨BEST 아이 메이크업✨', '✨BEST 네일 메이크업✨']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103160050&trackingCd=Home_Planshop1_9_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=2312_색조_권세희&t_number=9
2023 바디케어 BEST 특가✨,23.11.30,23.12.06,올영세일,"

올영세일
칼바람이불어도촉촉해요
바디 최대 51%할인


",['2023 올리브영 1등 바디케어 BEST 특가 '],"['전체', '⏰12/4 오늘의 특가', '바디 BEST&TREND✨', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103160052&trackingCd=Home_Planshop1_10_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=2312_바디용품_서지민&t_number=10
깔끔세정💧 완벽차단⚔️,23.11.30,23.12.06,올영세일,"

올영세일
매일 쓰는아이템든든하게 챙기기
클렌징/썬 최대 53%할인


",['2023 올리브영 BEST 클렌징&썬케어 '],"['전체', '12/4 오늘의 특가', '100개 특가! 올영세일 기간만!', '완벽세정 클렌징 최대특가💦', '완벽차단 썬케어 최대특가🌞', '\xa0', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103160048&trackingCd=Home_Planshop1_11_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=2312_클렌징&썬케어_윤다슬&t_number=11
🏆2023 헬시푸드 연말결산🏆,23.11.30,23.12.06,올영세일,"

올영세일
건강하게연말을즐겨요
건강/일반식품 최대 50%할인


",[' 헬시푸드 연말결산 '],"['전체', '12월 4일 오늘의 특가💎', '푸드 BEST of BEST👑', '건강식품 BEST of BEST😎', '헤비한 연말에도 가볍게 식단관리✨', '히터에 뺏긴 수분 재충전하기🥤', '달달한 12월을 위한 간식/디저트🧁', '간편식으로 홈파티 준비 끝🎉', '슬리밍템으로 몸도 마음도 가볍게💖', '이너뷰티 루틴 만들어보기🍀', '쫄깃 건강구미 활력 샷까지💪', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103160056&trackingCd=Home_Planshop1_12_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=2312_식품_신상아&t_number=12
✨23년을 빛낸 건강/위생 BEST✨,23.11.30,23.12.06,올영세일,"

올영세일
빈틈없는일상을위해
구강/위생 최대 60%할인


",['2023 건강위생 BEST & TREND'],"['전체', '⏰12/4 오늘의 특가⏰', '✨생리용품 BEST✨', '🤍구강청결템🤍', '✨Y존 케어 BEST✨', '🤍가글&치약🤍', '✨LOVE BEST✨', '🤍패치🤍', '🤍마사지🤍', '🤍발관리용품🤍', '🤍압박스타킹&보호대🤍', '✨유아용 기저귀✨']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103160057&trackingCd=Home_Planshop1_13_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=2312_W케어&헬스에이드&구강_박수영&t_number=13
🎁브랜드 직배송 BEST&TREND🎁,23.11.30,23.12.06,올영세일,"

올영세일
온라인몰에서만만날 수 있는특별한 기회
베스트&트렌드 상품


",['온라인몰에서만 만나보는 브랜드사 직배송 BEST & TREND '],"['전체', '슬리밍', '식단관리', '물/음료', '라이프/홈', '건강가전', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103160059&trackingCd=Home_Planshop1_14_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=2312_위수탁 연합 기획전&t_number=14
MY 올영 프로필 꾸미기,23.12.01,23.12.31,MY 올영 프로필,"

MY 올영 프로필
프로필을 꾸미면할인 쿠폰을드려요
15% 쿠폰 즉시 증정


","[' MY올영 프로필 꾸미기 \t\t\t\tMY OLIVE PROFILE \t\t\t 프로필 만들고 즉시 할인쿠폰 받자! ', ' MY OLIVE PROFILE 나의 프로필을 꾸미기만 해도 할인 쿠폰 즉시 지급 (선착순 / 총 10만명) 장바구니 쿠폰 15% \t\t\t\t\t\tAPP 1만원 이상 구매 시, 최대 3천원 할인 \t\t\t\t\t\t처음으로 프로필을 모두 등록하면 할인쿠폰 지급! \t\t\t\t\t APP에서 응모하기 ', '프로필 등록하기', '프로필 등록하기', '꼭 알아두세요', ' HOW TO \t\t\t\t\t프로필 첫 등록하면 무조건 지급! \t\t\t\t\t지금 바로 할인쿠폰 받는 방법 \t\t\t\t STEP.1 탭바에서 셔터를 찾은 후 내 프로필을 눌러주세요. STEP.2 프로필 사진, 닉네임, 자기소개 문구, 피부 컨디션을 모두 등록해주세요. STEP.3 프로필을 공개 설정하고 셔터에서 소통해보세요! 프로필을 모두 등록하면 \t\t\t\t\t\t나와 같은 피부톤과 타입을 가진 사람이 \t\t\t\t\t\t나를 팔로우하고 \t\t\t\t\t\t’셔터’에서 서로 소통할수 있어요 \t\t\t\t\t 탑리뷰어 선정 확률이 올라가요! \t\t\t\t\t ', '닫기']",[],https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102970009&trackingCd=Home_Planshop1_15_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=12월 MY올영 프로필 꾸미기 이벤트_최세미&t_number=15
