promo_title,promo_start_dt,promo_end_dt,banner_title,banner_desc,promo_contents,promo_catgs,banner_link
슈퍼브랜드위크🖤헤라🖤,23.10.09,23.10.15,헤라,"

헤라
7일간 만나는헤라최대 혜택
매일 8시 선착순 쿠폰


","[' SUPER BRAND WEEK HERA 10.9 - 10.15 ', ' 단 7일! 헤라 역대급 혜택 혜택 1 매일 08시, 선착순 쿠폰 혜택 2 오늘만 슈퍼 할인! 오늘의 특가 혜택 3 매일 정오 12시, 선착순 증정 혜택 4 최대 혜택 단독특가 혜택 5 경품 가득 이벤트 ', ' HERA \t\t\t\t\tCOMTEMPORARY SEOUL BEAUTY \t\t\t\t\t가장 최신의 아름다움을 정의하고 \t\t\t\t\t창조해나가는 브랜드로 한국의 아름다움과 가치를 \t\t\t\t\t세계속에 전파하는 컨템포러리 서울 뷰티 브랜드입니다. \t\t\t\t 블랙쿠션 내 피부처럼 가볍게 - 벨벳티 스킨 글로우 래스팅 파운데이션(new) 수분 빛 글로우 파운데이션 실키 스테이 파운데이션 처음 바른 그대로 매끈한 실키 스킨 스킨 래디언트 글로우 쿠션 맑은 커버로 은은하게 빛나는 피부 센슈얼 파우더 매트 리퀴드 각질 부각 없는 소프트 벨벳 틴트 ', ' 혜택 1 선착순 쿠폰, 매일 08시 5천원 추가 할인(당일 발급 사용) 헤라 장바구니 쿠폰 APP 8만원 이상 구매 시 최대 5,000원 할인 APP에서 확인해주세요 ', ' 혜택 2~4 APP에서만 만날 수 있는 역대급 혜택! 오늘만 슈퍼할인! 오늘의 특가 정오 12시 오픈런! 선착순 증정 최대 혜택 단독 특가까지! ', ' 혜택 5 헤라 이벤트 1 테스트로 알아보는 나에게 맞는 베이스 메이크업 찾기 착붙 베이스 찾고 경품 받자 이벤트 참여 고객 대상 10명 헤라 글로우 래스팅 파운데이션(new) 경품 증정 \t\t\t\t\t\t- 70,000원 상당 \t\t\t\t\t \t\t\t\t\t\t- 이벤트 참여시 자동 응모 \t\t\t\t\t ', ' 헤라 이벤트 2 헤라 첫구매 이벤트 헤라 첫 구매 후 응모시 기프트카드 5,000원 100% 증정 혜택 APP에서 확인하세요 ', ' APP에서 모든 혜택을 만나보세요! ']","['전체', '오늘의 특가👀', '베이스 메이크업', '립/아이 메이크업', '선케어', '스킨케어', '헤라옴므', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103030007&trackingCd=Home_Planshop1_1_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=슈퍼브랜드위크_임예원&t_number=1
올리브영 슬로우에이징,none,none,슬로우에이징,"

슬로우에이징
오늘부터피부고민슬로우 다운
최대 50%할인


","[' 올리브영 슬로우 에이징 ', ' BENEFIT 슬로우에이징 상품 최대 50% 할인 키워드 찾고 응모하면 LG 프라엘당첨 지금 바로 올리브영 APP에서 만나보세요! ']","['전체', '어제보다 쫀쫀한 모공🧡', '어제보다 깨끗한 피부💙', '어제보다 탱탱한 피부💚', '어제보다 빛나는 피부💛', '슬로우에이징 짝꿍케어💜', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103190004&trackingCd=Home_Planshop1_2_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=슬로에이징 캠페인_정선일&t_number=2
10월 올영pick,none,none,올영p!ck,"

올영p!ck
올리브영이p!ck한이 달의 브랜드
베스트 아이템 한정특가


",[' 올영p!ck 10월 '],"['전체', '슬로우에이징🧡', '수분충전 3STEP💧', '촉촉함에 놀라지 마세요💙', '차오른다 수분광💦', 'GRWM💄', '가을바람, 스며드는 향기🍁', '무너지지 않는 손상장벽케어💚', '골라쓰는 바디보습🛁', '컨템포러리 브랜드 아떼💙', '헤어스타일링의 완성💛', '올리브키트상품 특가로 만나기🤗']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102910011&trackingCd=Home_Planshop1_3_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=올영픽_정선일&t_number=3
라로슈포제 NEW 히알루 아이세럼💦,23.10.09,23.10.15,라로슈포제,"

라로슈포제
눈가 피부를위한더모 솔루션
최대 30%할인


",[' 라로슈포제 히알루 B5 아이 세럼 출시 라로슈포제 브랜드 최대 30% 특가'],"['전체', '급건조해진 피부에 수분&탄력채우기💙', '민감피부 수분장벽보습 집중솔루션💙', '라로슈포제 BEST템 모음집💙']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102790120&trackingCd=Home_Planshop1_4_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=1002-0501_유선경&t_number=4
비레디 올영 단독기획 추가할인💙,none,none,비레디,"

비레디
커버력이필요한순간에
최대 34%할인


","[' 스킨케어부터 커버까지, 트루 톤 로션 하나로! 매력있는 남성들의 메이크업 시작 템']","['전체', '티벳동생 픽! 트루톤로션🤍', '비레디 BEST🤍', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102710077&trackingCd=Home_Planshop1_5_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=1002-2001_권수진&t_number=5
탄력의 답이 BOH이다!,none,none,바이오힐보,"

바이오힐보
탄탄해져서나 지금되게 신나
최대 39%할인, 1+1


",[],"['전체', '탄력의 답이 BOH이다!', '피부진정의 답이 BOH이다', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102990027&trackingCd=Home_Planshop1_6_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=102-5001_김슬기&t_number=6
민카롱X바닐라코 NEW 촉촉 쿠션,23.10.09,23.10.16,바닐라코,"

바닐라코
화이트 쿠션에촉촉함을더했어요
최대 25%할인


",[' 화이트 쿠션 모이스처 민카롱 공동개발 쿠션 런칭 올리브영 단독 리필 증정 기획 25% OFF'],"['전체', '민카롱 공동개발 NEW 쿠션', '바닐라코 BEST 화이트 쿠션', '바닐라코 메이크업 BEST']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102750224&trackingCd=Home_Planshop1_7_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=1002-1004_권세희&t_number=7
"보습의 매운맛, 더마비X와사비!",23.10.09,23.10.16,더마비,"

더마비
강력한 보습의매운맛
와사비베어 콜라보 최대 36%할인


",['10.09-10.16 더마비X와사비베어 한정판 콜라보 기획세트 출시 와사비베어 키링증정'],"['전체', '💜더마비X와사비베어💜', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102800116&trackingCd=Home_Planshop1_8_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=1002-3003_서지민&t_number=8
환절기는 이너뷰티 건강식품으로💝,23.10.09,23.10.15,이너뷰티,"

이너뷰티
덧발라도부족할 땐먹어볼까요
최대 52%할인


","['문득, 찬 바람이 코 이너뷰티 관리 지금부터 시작하기 끝에 느껴질 때 ']","['전체', '피부건강', '슬리밍', '스페셜케어']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102830098&trackingCd=Home_Planshop1_9_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=1002-4002_이수빈&t_number=9
"힘차게 차오르는 탄력, 아비브 부활초",23.10.09,23.10.16,아비브,"

아비브
부활초로 살아나는탄력 생기
최대 47%할인


",[' Abib 내 첫 번째 안티에이징 아비브 부활초 탄력 케어'],"['전체', '힘차게 차오르는 탄력, 아비브 부활초', '아비브 어성초, 진정의 완성하다', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102720103&trackingCd=Home_Planshop1_10_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=1002-0302_정유빈&t_number=10
