promo_title,promo_start_dt,promo_end_dt,banner_title,banner_desc,promo_contents,promo_catgs,banner_link
W CARE💜,23.03.10,23.03.31,W CARE,"

W CARE
주기관리와제품추천까지한번에
W CARE 서비스 런칭


",[],"['전체', '월경 시작 직전 몸도 마음도 무거울 때', '예민해지고 찝찝한 월경날', '월경 끝! 홀가분한 순간']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103120001&trackingCd=Home_Planshop1_1_PROD
1+1으로 더 촉촉하게 즐기는 바른생각,23.03.13,23.03.19,바른생각,"

바른생각
촉촉하게더가까워져요
1+1, 최대 38%할인


",['03.13-03.19 1+1으로 더 촉촉하게 즐기는 바른생각 젤 스탠다드 150ml+ 150ml'],"['전체', '1+1으로 더 촉촉하게', '바른생각 BEST', '촉촉한💙바른생각', '즐거운💞바른생각', '따뜻한🧡바른생각', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102860020&trackingCd=Home_Planshop1_2_PROD
구달 BRAND WEEK!,23.03.13,23.03.19,구달,"

구달
잡티케어가필요할 땐리필해요
최대 30%할인


",[' 이별도 리필이 되나요? 구달 잡티이별 리필기획 청귤 비타C UP TO 30%'],"['전체', '잡티케어엔 #청귤비타C', '수분진정엔 #어성초', '주름탄력엔 #살구콜라겐']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102700032&trackingCd=Home_Planshop1_3_PROD
"속부터 차오르는 탄탄함, 바이탈뷰티",23.03.13,23.03.19,바이탈뷰티,"

바이탈뷰티
탄탄한피부를 위한한 병
최대 20%할인


",[' 국내 1위 마시는 프리미엄 콜라겐 '],"['전체', '이너뷰티🌷', '영양제🔮', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?viewStdDate=20230313&viewMode=dispPreview&dispCatNo=500000102830024&trackingCd=Home_Planshop1_4_PROD
어뮤즈 듀파워쿠션 출시!.💟,23.03.13,23.03.19,어뮤즈,"

어뮤즈
60% 에센스로만든빛나는 피부
최대 15%할인


",[' 생기윤기 듀 파워 비건 쿠션 올리브영 단독 선런칭 포켓 쿠션 증정 & 장바구니 쿠폰 증정'],"['전체', '어뮤즈 NEW 윤결광쿠션', '어뮤즈 BEST 틴트 모음', '쿠션 맛집 어뮤즈']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102750053&trackingCd=Home_Planshop1_5_PROD
라로슈포제 시카밤 더블기획 출시✨,23.03.13,23.03.19,라로슈포제,"

라로슈포제
계절은 바뀌어도변함없는피부를 위해
최대 50%할인


",[' 시카플라스트 밤 B5+ 올리브영 더블기획 출시 '],"['전체', '울긋불긋 민감피부엔 시카케어💙', '민감피부를 위한 클렌징&썬케어✨', '민감피부가 추천하는 세럼 솔루션!']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102790028&trackingCd=Home_Planshop1_6_PROD
엘라스틴&벨먼 특가,23.03.09,23.03.20,헤어바디 기획전,"

헤어바디 기획전
봄맞이스타일링에과감해져요
최대 50%할인 및 쿠폰증정


","[' 엘라스틴 X 벨먼 헤어바디 기획전 단 7일, 특별 추가 할인!']","['전체', '집에서 살롱케어, 바이오본드', '1등 스크럽워시, 벨먼🛁', '엘라스틴&오가니스트🌿', '온가족 바디워시, 온더바디👪', '\xa0', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102850034&trackingCd=Home_Planshop1_7_PROD
상쾌한💦쾌변 건강식품 총집합❕❕,23.03.13,23.03.20,쾌변 건강식품,"

쾌변 건강식품
가벼운 몸을 위한간편한 습관
최대 46%할인


",[''],"['전체', '차전자피&식이섬유', '유산균', '슬리밍', '이너뷰티', '\xa0', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102830022&trackingCd=Home_Planshop1_8_PROD
FWEE NEW&BEST 모음_ZIP,23.03.13,23.03.20,퓌,"

퓌
꿈꾸던완벽한광채 피부
BEST&NEW 최대 30%할인


",[' 퓌 BEST & NES 아이템 최대 30% 할인 나만의 메이크업 무드 완성'],"['전체', '올리브영 단독 쿠션 기획', 'HOT 신상 모아보기', '나만의 무드 완성하기']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102750051&trackingCd=Home_Planshop1_9_PROD
헤라의 S/S 신상 출시 🤍,23.03.09,23.03.26,헤라,"

헤라
봄처럼사랑스러운소프트 뉴트럴룩
봄신상 컬러 최대 15%할인


",[' HERA 봄을 위한 S/S 소프트 뉴트럴룩 제안 파우더 매트 리퀴드 & 쿼드 아이 컬러 기획전'],"['전체', '헤라 S/S 신상 출시 ! 🤍', '헤라 색조 전 상품 15% 할인 ✨', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102780029&trackingCd=Home_Planshop1_10_PROD
"봄이니까, 나른하게",23.03.13,23.03.20,나른,"

나른
시원해지니까기분이 좋아요
맨살 트렁크 최대 66%할인


",['03.13-03.20 정은지가 선택한 맨살 트렁크 본품 증정 & 최대 65% 혜택'],"['전체', '봄은 더 나른하게', 'NAREUN', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102840035&trackingCd=Home_Planshop1_11_PROD
