promo_title,promo_start_dt,promo_end_dt,banner_title,banner_desc,promo_contents,promo_catgs,banner_link
9월 올영pick,none,none,올영p!ck,"

올영p!ck
올리브영이p!ck한이 달의 브랜드
베스트 아이템 한정특가


",[' 올영p!ck 9월 '],"['전체', '요즘 쿠션💕요즘 파데💕', '확실한 보습연구소💙', '강력진정💪꽉찬탄력⭐', '모(발)두(피) 지켜❗', '향기로 기억해💛', '건강, 올영에 다 있지💚', '화잘먹 최적화 아이템💖', 'FALL IN COLOR🍁', '밤하늘의 별⭐ 내 눈의 펄🎇', '도구빨로 메이크 UP🔼', '올리브키트상품 특가로 만나기🤗']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102910010&trackingCd=Home_Planshop1_1_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=올영픽_정선일&t_number=1
💝추석기프트💝,23.09.08,23.09.30,추석 기프트,"

추석 기프트
선물할 수록커지는혜택 즐기기
추석 선물하고 경품받기


","[' 2023 추석 기프트 ', ' 추석기프트 선물하기 첫구매 쿠폰 선물하기 첫구매 15% 할인 쿠폰 APP 선물하기 1개 이상 구매 시 최대 4천원 행사기간: 23년 9월 8일 ~ 9월 30일 지금 APP에서 만나보세요! ', ' 추석기프트 선물하기 쿠폰 2종 선물하기 첫구매 15% 할인 쿠폰 APP 선물하기 1개 이상 구매 시 최대 4천원 행사기간: 23년 9월 8일 ~ 9월 30일 선물하기 10% 할인 쿠폰 APP 선물하기 1개 이상 구매 시 최대 2천원 행사기간: 23년 9월 15일 ~ 9월 30일 매일 낮 12시 매장전용 선착순 쿠폰 매장 전용 선착순 최대 10,000원 할인 쿠폰 오프라인 매장에서 1만원 이상 구매 시 행사기간: 23년 9월 15일 ~ 9월 30일 지금 APP에서 만나보세요! ', ' 선물할수록 커지는 경품! 추석기프트 챌린지 다이슨 에어랩1명 네스프레소 커피머신5명 CGV IMAX관람권 2매50명 투썸플레이스 아메리카노500명 지금 APP에서 만나보세요! ']","['전체', '선물로 딱! 건강선물💪', '호불호 없는 뷰티선물💐', '이런 선물은 어때요? 센스선물💝', '작은 사치, 큰 기쁨! 스몰럭셔리💄', '맛도 건강도 모두 만족🎁', '부담 없이 가벼운선물🎀', '특별한 선물! 가전&잡화🤖', '마음도 선물도 빠르게! 빠른배송🚀', '\xa0', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102890003&trackingCd=Home_Planshop1_2_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=추석기프트(전사)_우종웅&t_number=2
헬로우 헬시리뷰📝,23.09.01,23.09.30,"헬로우, 헬시리뷰","

헬로우, 헬시리뷰
헬시리뷰 쓰면리워드를드려요
최대 100만원 리워드


",[],"['전체', '건강식품💪', '여성/위생용품💎', '푸드🥨', '구강/건강용품💊', '언더웨어🎀', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103460001&trackingCd=Home_Planshop1_3_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=9월 헬로우 헬시리뷰_천화영&t_number=3
모델 홍태준의 마이프레셔스,none,none,마이프레셔스,"

마이프레셔스
모델 홍태준의청춘미 화보 공개
페이스 워시 증정 댓글 이벤트


","['영상의 볼륨을 켜고 들어주세요 MY PRECIOUS MODEL HONG TAE JUN CREATED BY OLIVEYOUNG MAGAZINE MY PRECIOUS THINGS <마이 프레셔스>의 열여섯 번째 주인공으로 신인 모델 홍태준을 만났습니다. 순수하고 진지한 모습부터 장난기 가득한 얼굴까지 청춘 드라마의 한 장면처럼 풋풋한 그의 매력을 확인해 보세요. 기사 하단의 댓글 이벤트도 많이 참여해 주세요. ', ' Episode #01 FACE TO FACE 처음부터 모델을 꿈꿨던 건 아니었어요. 평소 친구들이 사진 찍어주는 것도 부끄러워하던 사람이니까요. 하지만 일로 접근해 보니 다르더라고요. 특히 카메라 앞에서 매번 다른 사람이 될 수 있다는 점이 매력적인 것 같아요. 이렇게 매력적인 페이스를 가졌으면서 모델을 하지 않았다면 지인들이 많이 서운해했을 것 같은데요. 화려해 보이는 직업이라 걱정이 앞섰던 것 같아요. 지금은 보이는 게 다가 아니라는 걸 어느 정도 알게 되었어요. 매번 다양한 사람들을 만나 새로운 경험을 하고 그렇게 보낸 시간들이 쌓여 멋진 결과물이 된다는 점이 뿌듯하고 즐거워요. 모델로 캐스팅되고 체중을 10kg 감량했다고 들었어요. 평소 관리는 어떻게 해요? 하루 두끼 일반식으로 먹고 운동을 많이 하는 편이에요. 먹는 걸 워낙 좋아해서 한 번 운동할 때 최대한 칼로리를 높게 소모하려고 하는데요. 요즘은 두세시간씩 복싱으로 체중을 관리해요. 비수기와 성수기가 확실히 다른가요? 아무래도 촬영이 많아지는 시즌에는 먹는 양 자체를 줄이려고 하는데 쉽지 않아요. 전날 야식을 먹거나 저녁을 많이 먹게 되는 경우가 있잖아요? 그럼 최대한 잠을 많이 자고 늦게 일어나요. 공복을 12시간에서 16시간 정도 최대로 유지한 다음 유산소 운동을 해요. ', ' MY PRECIOUS THINGS 음악과 빈티지를 사랑해요. 최근 구매한 뱅앤올룹슨 빈티지 헤드폰인데 귀엽지 않나요? 요즘 유행하는 디자인과 느낌이 달라서 더 좋아요. 그만의 멋이 있잖아요. 어떤 스타일에나 잘 어우러지는 무난한 아이템을 생각보다 찾기 어려운 것 같아요. 특히 저는 넥 라인이 드러나는 슬리브리스를 좋아하는데 기본에 충실하면서도 핏까지 예쁜 제품을 찾았을 때의 희열이란! 말로 다 못하죠. ', ' Episode #02 DREAMING DAYS 모델을 시작할 때부터 긴 머리를 유지해왔어요. 촬영 결과물마다 비슷비슷한 제 모습에 질려 이미지 변신도 할 겸 과감히 짧게 잘랐는데요. 그런데 왜 그런 말 있잖아요. 사람들은 자기에게 없는걸 가지고 싶어 한다고 하죠? 전 장발로 다시 돌아가는 중이에요. 얼굴에서 가장 마음에 드는 곳은 어디예요? 큰 눈이 가장 마음에 들고 그다음으로는 눈썹과 점이요. 눈썹이 진한 편인데 사진에서 기억에 남는 인상을 줄 수 있어 좋아해요. 얼굴의 점은 살면서 특별하다고 생각해 본 적은 없지만 모델이 되고 트레이드 마크처럼 자리 잡아 남다른 의미가 생겼죠. \xa0 MY PRECIOUS THINGS 모델은 언제나 최상의 컨디션으로 준비되어 있어야 한다고 생각하기에 세안만큼은 특별히 신경 쓰고 있어요. 촬영 전후로 얼굴에 붙은 먼지와 노폐물, 메이크업을 꼼꼼하게 닦아내죠. 그다음으로 챙기는 게 있다면 입술 보습이에요. 번들거림 없이 촉촉하게 스며드는 립밤을 좋아해요. \xa0 쉬는 날 뭐해요? 아침에 동네 카페에서 친구들과 만나 수다를 떨어요. 그리고 운동! 여기까지가 쉬는 날의 평범한 루틴이에요. 필리핀에 다녀온 이후로 피부가 새까매져서 화이트 태닝도 주기적으로 받고 있어요. 모델 말고도 장기적으로 이뤄가고 싶은 꿈이 있나요? 저만의 공간을 가지고 싶어요. 그게 상업 공간이든 내 공간이든 지금은 상관없을 것 같아요. 그러려면 돈을 많이 벌어야겠죠? 전 아직 젊고 꿈은 크게 가지라고 하잖아요. ', '크리니크 포맨 페이스 워시 오일리 스킨 포뮬라 보러가기', '프레시안 센슈얼 비건 립밤 보러가기', ' Episode #03 FALL BREEZE 길거리에서 처음 사진을 찍혔을 때가 제 인생의 첫 패션쇼를 서러 가는 길이었어요. 외국인 포토그래퍼 분께서 사진을 요청하셨죠. 이런 일은 먼 세상 이야기인 줄만 알았는데 얼떨떨했어요. 기분이 좋기도 하고 머쓱하기도 해서 표정 관리를 못하고 찍은 게 그대로 사진에 남아 더 기억에 남아요. \xa0 MY PRECIOUS THINGS 가볍지만 멋스러워서 요즘 어딜 가나 저와 함께하는 이세이미야케 백팩이에요. 좋아하는 브랜드의 빈티지 제품을 아카이빙 하는 걸 좋아하는데 이 브랜드가 그중 하나죠. \xa0 모델이란 직업은 선천적으로 타고난 하드웨어가 필수적이라 생각해요. 하지만 저는 비주얼적인 부분 외에도 내세울 게 있는 모델이 되고 싶어요. 할 수 있는 노력은 저만의 개성을 살린 홍태준 스타일을 꾸준히 보여드리는 일인 것 같아요. 어떤 분야든 간에 꽤 깊이 있게 공부해서 제 것으로 만들고 싶기도 해요. 해외 활동도 염두에 두고 있어 외국어 공부도 열심히 할 계획이고요. 그렇게 되면 스스로에게 더 확신이 생기고 여유도 생겨 현재와 미래에 긍정적인 영향을 가져다줄 거라고 생각해요. ', ' Editor 이혜리 Photographer 김태선 Model 홍태준 Videographer 김상은 Stylist 현국선 Hair&Makeup 정지은 Designer 배혜원 ', ' 댓글 EVENT 모델 홍태준에 대해 새롭게 알게 된 사실을 댓글로 남겨주세요. 크리니크 포맨 페이스 워시를 선물로 드립니다. 8명 이벤트 기간 23.09.27 (수) - 10.03 (화) 참여 방법 1) 마이프레셔스 vol.16 홍태준 인터뷰&화보 감상하기 2) 기사 하단에 홍태준에 대해 알게된 사실을 댓글로 남기기 당첨자 발표 23.10.9 (월) ', '이벤트 참여하러 가기', '꼭 알아두세요 기한 내 ID당 1회 참여 가능합니다. 이벤트 페이지 하단의 댓글 작성을 완료한 고객을 대상으로 선정합니다. 이벤트 당첨자에 한해 별도 당첨 고지 및 개인정보 수집 예정입니다. 이벤트 종료 시점 개인정보로 안내됩니다. (이벤트 기간 이후 수정된 연락처 / 주소로 경품 지급 불가) 경품은 당첨자 발표 후 순차적으로 발송 예정입니다. 참여 조건 미충족 등 부적절한 방법으로 참여 시 임의로 당첨이 취소됩니다. ']",[],https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102330016&trackingCd=Home_Planshop1_4_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=마이프레셔스16_이혜리&t_number=4
구달 흑당근 레티놀 라인 런칭! ✨,23.09.25,23.09.30,구달,"

구달
레티놀을 더한제주 흑당근으로탄력 지키기
최대 23%할인


",[' 구달 흑당근과 함께 일상 속 슬로우에이징! 한정기획 런칭 MAX23% 할인'],"['전체', '모공탄력, 흑당근!', '잡티이별, 청귤!', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102700106&trackingCd=Home_Planshop1_5_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=0904-0101_최아형&t_number=5
EVERY SUMMER AFTER💙,none,none,브랜드위크 플러스,"

브랜드위크 플러스
거친 피부결을다독이고촉촉하게 해요
최대 48% 할인


","[' Every Summer After   뜨거운 여름이 내게 남긴 피부 자극.   진정과 보습을 통해 효과적으로 피부를 진정시키는 방법,   지금 소개합니다.  ', 'BENEFIT', 'EDITORIAL', ' Coupon Benefit 01 브랜드위크 행사 기간 중 3만 원 이상/5만 원 이상 구매 시 사용 가능한 할인 쿠폰을 드립니다. 라로슈포제 장바구니 쿠폰 10%     APP 3만 원 이상 구매 시 최대 5천 원 할인     행사기간 : 2023. 9. 25 ~ 9. 30     라로슈포제 장바구니 쿠폰 15%     APP 5만 원 이상 구매 시 최대 1만 원 할인     행사기간 : 2023. 9. 25 ~ 9. 30     ', '라로슈포제 장바구니 쿠폰 10%', '라로슈포제 장바구니 쿠폰 15%', '꼭 알아두세요', ' Free Gift Benefit 02 브랜드위크 행사 기간 중 5만 원 이상 구매 시 증정품을 드립니다. 라로슈포제 헤어 밴드 200개 한정    5만 원 이상 구매 시 추첨을 통해 헤어 밴드를 선물로 드립니다.    라로슈포제 베스트 샘플 키트 200개 한정    5만 원 이상 구매 시 추첨을 통해 베스트 샘플 키트를 선물로 드립니다.    (똘러리앙 토너 15ml*2개, 똘러리앙 포밍클렌저 15ml*2개,에빠끌라 세럼 3ml*2개) ', ' Up to 48% Benefit 03 브랜드위크 행사 기간 중 라로슈포제 제품을 최대 48% 할인된 가격으로 만날 수 있습니다. ', '라로슈포제 히알루 B5 세럼 30ml 기획(+세럼 1.5ml+똘러리앙로션 15ml)', '라로슈포제 시카플라스트 밤 B5+100ml 기획(+시카밤 3ml*2개)', '라로슈포제 시카플라스트 크림 B5 100ml 기획(+시카 크림 15ml)', '라로슈포제 시카플라스트 크림 B5 100ml 기획(+시카 세럼 30ml)', ' 지난, 여름이 남긴 흔적 오랜만에 즐긴 여름 페스티벌과 피크닉, 즐긴 만큼 건조하고 자극된 피부. 중요한 건 진정, 피부 장벽 강화, 보습, 탄력. 뜨거운 열과 습도 때문에 피부는 수분을 뺏겨 거칠어졌어요. 지금 진정과 보습이 필요한 때. ', ' 첫번째, 진정과 피부 장벽 강화 그리고 보습    가장 먼저 메마른 피부를 수분으로 채워야 해요.    여기에 피부를 진정시키고 장벽을 강화하는    성분이 있는 제품이라면 더할 나위 없이 좋아요.       다음으로는 시카 밤을 바르는데,    자극된 피부 장벽을 강화하는데 매우 효과적이에요.    스킨케어의 기본인 피부 장벽 케어 효과가 느껴지는 기분.       이렇게 첫 단계,수분 장벽 케어 끝.    히알루 B5 세럼과 시카플라스트 밤 B5+    두 가지만 있다면 지친 피부에 생기를 줄 수 있어요.   ', '라로슈포제 시카플라스트 밤 B5+', '라로슈포제 히알루 B5 세럼', '라로슈포제 히알루 B5 세럼 30ml 기획(+세럼 1.5ml+똘러리앙 로션 15ml)', '장바구니 담기', '라로슈포제 시카플라스트 밤 B5+ 100ml 기획(+시카밤 3ml*2개)', '장바구니 담기', ' 두 번쨰, 수부 진정과 보습 그리고 탄력    진정과 피부 장벽 강화에서 더 나아가 보습,    탄력에 초점을 맞출게요.    아까 함께 바른 세럼을 한 번 더 발라    보습과 탄력 케어를 한 번에 해결해요.       바쁜 일상 속, 언제 보습과 탄력 그리고 주름 개선 케어를    다 따로 하나요? 여러 기능을 갖춘 시카 크림 하나만 있으면 끝.    피부에 편안하게 흡수되는 산뜻한 제형이에요.       히알루 B5 세럼과 시카플라스트 멀티 리페어 크림으로    마지막 보습 탄력 케어까지 마무리.    탄력으로 채우고 보습으로 덮어 지친 피부를 케어해요   ', '라로슈포제 시카플라스트 멀티 리페어 크림', '라로슈포제 히알루 B5 세럼', '라로슈포제 히알루 B5 세럼 30ml 기획(+세럼 1.5ml+똘러리앙 로션 15ml)', '장바구니 담기', '라로슈포제 시카플라스트 크림 B5 100ml 기획(+시카 크림 15ml)', '장바구니 담기', ' 즐거웠던 여름이 끝난 뒤 피부에 생긴 자극    ‘잘’ 놀았다고 인정이라도 받은 듯 피부에 생긴 자극,    ‘잘’ 관리하는 방법 다시 한 번 정리합니다.    피부 겉과 속 모두 수분으로 채우기 위해 보습 탄력 세럼을 발라요. 촉촉하고 탄탄한 피부 바탕을 완성할 수 있어요 세럼으로 촉촉해진 피부 위에 피부 장벽을 강화할 수 있도록 손상* 장벽 케어 시카 밤을 발라요. 지친 피부에 진정은 물론, 보습과 탄력까지 집중하고 싶다면 시카 멀티 리페어 크림을 발라요.     * 32-65세 여성 26명을 대상으로 피부 각질층에 손상 유발 후,     제품 도포 1시간 후 제품 도포 부위의 피부 장벽 수분 손실량을     무도포 부위와 비교하여 얻은 결과, 개인차 있을 수 있음     뜨거운 여름 놀이로 지친 피부, 라로슈포제로 다독여 보세요. ', ' EVENT    해당 기간에 라로슈포제 제품 5만 원 이상 구매 시    추첨을 통해 선물을 드립니다.    자세한 내용은 이벤트 페이지에서 확인하세요.    이벤트기간 2023.9.25 - 2023.9.30 이벤트경품 라로슈포제 헤어 밴드(200명), 라로슈포제 베스트 샘플 키트(200명) 응모기간 2023.9.25 - 2023.9.30 당첨자발표 2023.10.9 ', '이벤트 바로가기', 'BRAND SHOP 바로가기', '닫기', '닫기']","['전체', '수분탄력 채우고 진정보습 마무리🤍', '라로슈포제 BEST&NEW🤍', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103110008&trackingCd=Home_Planshop1_6_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=브랜드위크 플러스 라로슈포제_한수연&t_number=6
카즈하P!CK🧡아도르 헤어 퍼퓸오일,23.09.25,23.09.30,아도르,"

아도르
찰랑이는머릿결에향기 한 스푼
~20%, 카즈하 에디션 증정


",['09.25-09.30 카즈하 PICK 아도르 퍼퓸헤어오일 #사라지지_않는_향기_윤기 #향수대신_헤어오일'],"['전체', '카즈하 포카 증정🤍퍼퓸헤어오일', '함께 쓰면 더 좋은 아도르 BEST✨', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102850117&trackingCd=Home_Planshop1_7_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=0904-3101_윤지은&t_number=7
"작고 간편하게,해피문데이 디지털탐폰",23.09.25,23.09.30,해피문데이,"

해피문데이
내 몸을 위해깐깐하게골랐어요
최대 20%할인


","['9.25-9.30 작다, 간편하다 디지털 탐폰 하다 최대 20% 할인']","['전체', 'NEW! 작고 간편하게, 디지털탐폰', '해피문데이 BEST', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102860091&trackingCd=Home_Planshop1_8_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=0904-5001_박수영&t_number=8
작은 기미잡티부터 확실하게!,23.09.25,23.09.30,이지듀,"

이지듀
오늘 밤엔기미와이별해요
최대 30%할인


","[' 이지듀 기미잡티앰플 200만병 판매돌파 기념! 단 6일간, 추가 5% 할인']","['전체', 'NEW 이지듀 기미잡티케어✔', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102790114&trackingCd=Home_Planshop1_9_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=0904-0503_유선경&t_number=9
구효민 공동개발 듀이멜팅립스틱💗,23.09.25,23.09.30,하트퍼센트,"

하트퍼센트
슥-녹아드는탱글함
최대 20%할인


",[' 도트 온 무드 듀이 멜팅 립스틱 하트퍼센트 X 구효민 공동개발 맑고 투명한 글로시 립 끝판왕'],"['전체', '구효민 공동개발 듀이 립스틱✨', '오버립 치트키 하트퍼센트💖', '하트퍼센트 베이스 BEST✨']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102750213&trackingCd=Home_Planshop1_10_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=0904-1004_하주영&t_number=10
