promo_title,promo_start_dt,promo_end_dt,banner_title,banner_desc,promo_contents,promo_catgs,banner_link
🖤올영 블랙프라이데이🖤,23.11.01,23.11.07,올영 블프,"

올영 블프
일년에 단 한번올영블랙프라이데이
최대 60%할인


","[' 올영BLACK FRIDAY 1년에 단 한번! ', ' 매일 오전 10시, 선착순!최대 2만원올!블랙 랜덤 쿠폰 최대 20,000원 APP 쿠폰 APP 5만원 이상 구매 시 발급당일 23:59까지 사용 가능 최대 12,000원 매장 쿠폰 매장 4만원 이상 구매 시 발급당일 23:59까지 사용 가능 네이버 페이 포인트 적립 3,000P 최종 결제금액 7만원 이상 적용 혜택 소진 시 행사 조기 종료될 수 있습니다. ', ' 하이앤드 뷰티트랜드 Luxe Edit 오직 블프에서만! 일주일특가 마지막 득템 찬스!최대 70% 올!블랙 LastPick ', ' 지금 바로 도전!올!블랙 타자왕 도전하시겠습니까? APP에서 만나요 ', ' 검색창에 ‘블프’를 검색하고 더 많은 상품을 확인 해보세요! ']","['전체', '럭스에디트👑', '스킨케어✨', '메이크업💄', '바디&헤어☁️', '헬스케어 💪', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103450001&trackingCd=Home_Planshop1_1_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=블랙프라이데이 인덱스_조홍주&t_number=1
올!블랙 일주일특가🖤,23.11.01,23.11.07,올영 블프,"

올영 블프
일주일간만나는블랙프라이데이
카테고리별 맞춤템 추천


","[' 올!블랙 일주일특가 11월 1일 ~ 11월 7일 ', ' 단 7일! 득템을 위한 블프 요약zip 01 카테고리별 맞춤템 추천 02 지금 많이 구매 중인 인기템 확인! APP에서 다양한 추천템을 만나보세요! ', "" 검색창에 '블프'를 검색하고 더 많은 상품을 확인 해보세요! ""]","['전체', '스킨케어✨', '메이크업💄', '헤어&바디☁️', '헬스케어💪', '\xa0', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103450005&trackingCd=Home_Planshop1_2_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=올!블랙 일주일특가_임민경&t_number=2
올!블랙 Luxe Edit ✨,23.11.01,23.11.07,올영 블프,"

올영 블프
프리미엄도블랙프라이데이
최대 50%할인


","[' 올! 블랙 Luxe Edit 프리미엄 뷰티 럭셔리 뷰티의 새로운 정의 11.01(수) ~ 11.07(화) 단 7일간 만나보는 특별 혜택 ', ' Luxe Edit 전용 쿠폰 프리미엄 전 브랜드 대상 최대 6천원 할인! Luxe Edit 10% 할인 쿠폰 APP Luxe Edit 브랜드 상품 5만원 이상 구매 시 사용기간 : 2023.11.01 ~ 2023.11.07 APP에서 만나보세요!', ' Special Deal 매일 바뀌는 Luxe Deal Up to 50% 특별한 특가 APP에서 만나보세요!']","['전체', '럭스에디트 BEST !', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103450003&trackingCd=Home_Planshop1_3_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=올!블랙 럭스에디트_임민경&t_number=3
올!블랙 LAST PICK💜,23.11.01,23.11.07,올영 블프,"

올영 블프
마지막기회를잡아요
라스트픽 최대 70%할인


","[' 올! 블랙 LAST PICK 최대 70% 할인 ', ' 최대 70% 할인 올! 블랙 LAST PICK ONLY 온라인 클리어런스 ', "" 검색창에 '블프'를 검색하고 더많은 상품을 확인 하세요! ""]","['전체', '🎈990원~', '🎈4,900원~', '🎈9,900원~']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103450004&trackingCd=Home_Planshop1_4_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=올!블랙 LASK PICK_조홍주&t_number=4
단 7일 힌스 FW 팔레트 최대특가,23.11.06,23.11.12,힌스,"

힌스
나만의분위기로 시선을끌어봐요
최대 26%할인


",[' 독보적인 가을 분위기 힌스 New #올라운드팔레트 #최대 26% OFF #단독 증정 한/정/수/량'],"['전체', '올가을 독보적 무드의 EYE', '메이크업 필수 LIP & BASE', 'All about 힌스 메이크업']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102750246&trackingCd=Home_Planshop1_5_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=1102-1002_도지현&t_number=5
"질레트랩스, NEW에디션!",23.11.06,23.11.12,질레트,"

질레트
깔끔함에서 느껴지는클라스 차이
최대 39%할인


",['질레트랩스 화이트&네온 에디션 질레트랩스 면도기 추가 증정 '],"['전체', '질레트랩스/NEW에디션!', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?viewStdDate=20231106&viewMode=dispPreview&dispCatNo=500000102710085&trackingCd=Home_Planshop1_6_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=1102-2001_권수진&t_number=6
💛✨빛나는 슈퍼레티놀C✨💛,23.11.06,23.11.12,바이탈뷰티,"

바이탈뷰티
생기를 되찾아줄먹는 레티놀
최대 27%할인


","['11.06-11.12 이젠, 먹는 레티놀의 시대! 속광속결, 슈퍼레티놀C #피부과전문의공동개발 #올영단독기획']","['전체', '먹는 레티놀💛', '깜찍 포챠코🤍', '탱탱 콜라겐🧡', '필수 인기템💜', '\xa0', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102830113&trackingCd=Home_Planshop1_7_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=1102-4002_김진주&t_number=7
"낮과 밤 빈틈없이, 라엘로 편안하게",23.11.06,23.11.12,라엘,"

라엘
편안함 밤을 위한빈틈없는 준비
최대 50%할인


","['11.6-11.12 낮과 밤 빈틈없이 라엘 입오버로 편안하게 1+1, MAX 40%']","['전체', '11월 올영P!CK, 최대 1+1으로 쟁이기💖', '라엘 BEST 💖', 'MADE BY 라엘, 믿고 쓰는 청결제 💖']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102860111&trackingCd=Home_Planshop1_8_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=1102-5001_박수영&t_number=8
에스쁘아가 제안하는 메이크업!,23.11.06,23.11.13,에스쁘아,"

에스쁘아
손으로 발라도예쁜피부 표현
최대 21%할인


",[' espoir 에스쁘아 신상 파데로 끝내는 F/W 얇은 커버 메이크업'],"['전체', '💖베이스💖', '💖아이💖', '💖립💖']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102750248&trackingCd=Home_Planshop1_9_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=1102-1004_권세희&t_number=9
슬로우에이징 첫걸음💨,23.11.06,23.11.12,피지오겔,"

피지오겔
피지오겔의보습이 필요한계절이예요
최대 49%할인


",[' 슬로우에이징의 첫 걸음 비타민C 항산화 케어 피지오겔 최대 49% 할인 & 추가 할인 쿠폰'],"['전체', '기적같은 광채 피부 ✨', '가을겨울엔 피지오겔이지🤎', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102790139&trackingCd=Home_Planshop1_10_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=1102-0502_유선경&t_number=10
