promo_title,promo_start_dt,promo_end_dt,banner_title,banner_desc,promo_contents,promo_catgs,banner_link
슈퍼브랜드데이 🖤헤라🖤,24.04.15,24.04.18,슈퍼브랜드데이,"

슈퍼브랜드데이
봄의 절정에만나는헤라
단 4일간! 역대급 혜택


","[' SUPER BRAND DAY HERA 4.15 - 4.18', ' 단 4일! 헤라 역대급 혜택 SUPER EXCLUSIVE BENEFIT 전상품 단독 특가최대 20% 할인 최대 8천원 할인선착순 5% 쿠폰 매일 달라지는오늘의 특가 헤라 첫 구매시100% 리워드 지급 ', ' 선착순 쿠폰 매일 최대 8천원 추가 할인 헤라 장바구니 쿠폰 5% APP에서 발급받고 사용하세요! ', ' 헤라 첫구매 이벤트 헤라 첫 구매 후 응모 시 기프트카드 5천원 100% 증정! 올리브영 기프트카드 5,000원 100%증정 APP에서 참여해보세요! ', ' 슈퍼브랜드데이에서만 만날 수 있는 헤라 역대급 혜택! ']","['전체', '🤍4/15 오늘의 특가🤍', '🤍블랙쿠션 특가 더보기🤍', '🤍파운데이션 특가 더보기🤍', '🤍센슈얼립 특가 더보기🤍', '🤍UV프로텍터 특가 더보기🤍', '🤍스킨케어 특가 더보기🤍', '🤍헤라옴므 특가 더보기🤍', '🤍메이크업 특가 더보기🤍', '\xa0', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000104110018&trackingCd=Home_Planshop1_1_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=슈퍼브랜드데이_헤라&t_number=1
Change your Vibe,24.04.01,24.04.30,메이크업 트렌드,"

메이크업 트렌드
나만의색조 바이브는무엇일까?
색조 최대 28%할인


","[' 색조 트렌드리딩 캠페인 ', ' Change Your Vibe VIEW VIBE LOOK BOOK 나만의 바이브 찾고, 특가템 만나보기! 하이틴 Vibe 투쿨포스쿨 프로타주 펜슬 투크 워터프루프 슬림 아이라이너 코링코 톡톡하라 속눈썹 컬러그램 탕후루 탱글 틴트 VIEW VIBE LOOK BOOK 나만의 바이브 찾고, 특가템 만나보기! 클린 Vibe 롬앤 베러 댄 치크 롬앤 글래스팅 멜팅 밤 컬러그램 틴토리 잼 VIEW VIBE LOOK BOOK 나만의 바이브 찾고, 특가템 만나보기! 클래식 Vibe 롬앤 베러 댄 팔레트 투쿨포스쿨 바이로댕 쉐이딩 투쿨포스쿨 픽싱 듀 쿠션 APP VIBE CHANGE YOUR VIBE 다양한 혜택과 이벤트를 지금 바로 매장과 APP에서 만나보세요! ']","['전체', '하이틴 바이브', '클린 바이브', '클래식 바이브']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000104110009&trackingCd=Home_Planshop1_2_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=4월 색조 트리캠 (PPW)&t_number=2
4월 올영픽,none,none,올영PICK,"

올영PICK
올리브영이PICK한이 달의 브랜드
베스트 아이템 한정특가


",[' 올영PICK 4월 올리브영 APP과 매장에서 만나보세요! '],"['전체', '내추럴 윤광커버&아이돌Eye템✨', '메이크업 MOOD 큐레이션💄', '처음부터 1등 세럼, 아이소이💚', '스킨컨디션 부스트템 모음💙', '진정 맞춤 크림 큐레이션💛', '건강 두피를 위한 스페셜 케어💖', '향기로 가득 채우는 봄🌷', '구강의 A to Z, 세상의 모든 구강🍃', '간편하게 건강 원샷💪', '빌리프로 채우는 탄탄한 피부🎁', '메이크업 찰떡궁합 대공개🎀', '올리브 키트 상품 특가로 만나기👑', '\xa0', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103650004&trackingCd=Home_Planshop1_3_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=올영픽&t_number=3
트임맛집 메리몽드 7일간의 특가💘,24.04.15,24.04.21,메리몽드,"

메리몽드
슥- 그어달라진눈매
트임 아이라이너 할인


",[' 핫한 트임맛집 메리몽드 단 7일만 글리터 증정 추가 장바구니 쿠폰까지'],"['전체', '음영부터 트임까지 화제의 라이너💘', '소장욕구 뿜뿜 갖고싶은 쿠션💘', '촉촉립? 보송립? 원하는 무드로💘']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103810093&trackingCd=Home_Planshop1_4_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=색조-403-2_신상로그온_도지현&t_number=4
웨이크메이크X샵사이다 상큼 콜라보,24.04.15,24.04.24,웨이크메이크,"

웨이크메이크
팔레트 하나로만드는트렌디 메이크업
온라인 단독혜택


",[],"['전체', '민카롱 프리따 추천템💛💚', '4월 웨이크메이크 추천템🧡', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103990020&trackingCd=Home_Planshop1_5_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=웨이크메이크-403-1_메인A_김희연&t_number=5
11년간 1위 아이소이,24.04.15,24.04.21,아이소이,"

아이소이
성분과 피부에 진심써보면 알아요
스페셜위크 단독특가


",[' ISOI 올리브영 11년간 1위 혜택을 담은 아이소이 SPECIAL WEEK'],"['전체', '11년간 1등 잡티케어', 'NEW! 모공올킬', '100시간 속보습 장수진', '자연유래 로즈립밤', '365일 민감피부 응급케어', '속부터 잡아주는 탄력케어', '마스크팩도 아이소이', '맨즈케어 올인원', '\xa0', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103890045&trackingCd=Home_Planshop1_6_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=스킨케어-403-1_메인B_김소현&t_number=6
CHANGE YOUR VIBE! #CLEAN GIRL,24.04.15,24.04.22,메이크업 트렌드,"

메이크업 트렌드
클린걸메이크업이쉬워져요
최대 23%할인


","[' Change Your Vibe! 매일 똑같은 나, 재미 없잖아? 오늘의 바이브는 #Clean Girl']","['전체', '자연스러운 혈색과 화사함🤍', '투명하고 깔끔한 무드 연출🤍', '요즘 HOT한 메이크업 트렌드🤍']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103810096&trackingCd=Home_Planshop1_7_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=색조-403-5_황하영&t_number=7
메디힐 브랜드위크,24.04.15,24.04.22,메디힐,"

메디힐
성난 피부다독이는마스크 솔루션
장바구니 쿠폰 증정


",[' 환절기 필수 관리 진정하고 수분 충전! 봄 맞이 민감 피부 필수 아이템'],"['전체', '골라쓰는 모델링 팩🌈', '트러블 진정엔 티트리🌿', '매끈 깐달걀 피부 완성✨']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103900048&trackingCd=Home_Planshop1_8_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=마스크팩-403-1_정유빈&t_number=8
💝쿤달 데미지X바비 한정기획세트 ,24.04.15,24.04.22,쿤달 x 바비,"

쿤달 x 바비
바비머릿결어렵지 않아요
한정기획, 우든브러쉬 증정


",[' 쿤달 데미지X바비 콜라보 한정 기획세트 출시 증정 & 추가 할인'],"['전체', '쿤달 데미지X바비 기획세트', '쿤달 BEST 더보기 ', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103770055&trackingCd=Home_Planshop1_9_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=헤어-403-3_김수진&t_number=9
맥 NEW 매트 립스틱 론칭 ✨,24.04.15,24.04.22,맥,"

맥
미끄러지듯발리는맥시멀 실키립
신상 매트립스틱 론칭특가


",[' NEW 맥시멀 실키 매트 립스틱 런칭 기념 전 제품 15% 할인 + 증정 혜택'],"['전체', 'NEW 립스틱 론칭 💜', 'MAC 메이크업 베스트💜', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103880043&trackingCd=Home_Planshop1_10_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=프리미엄-403-1_이유연&t_number=10
