promo_title,promo_start_dt,promo_end_dt,banner_title,banner_desc,promo_contents,promo_catgs,banner_link
6월 올리브 데이🩵,24.06.25,24.06.27,올리브 데이,"

올리브 데이
단 3일간만나는올리브 멤버스
등급별 쿠폰 혜택을 만나보세요


","[' 올리브 멤버스를 위한 OLIVE DAY 6.25(화)~6.27(목), 단 3일간 ', ' 올리브 멤버스 등급별 혜택! 4만원 이상 구매시, 최대 2만원 할인 GOLD OLIVE 15% BLACK OLIVE 12% 3만원 이상 구매시 GREEN OLIVE 10%, 최대 2만원 할인 PINK OLIVE 3천원 할인 BABY OLIVE 2천원 할인 BABY OLIVE 등급의 경우 6/23(일)까지 신규 가입한 고객 한정 쿠폰 발급 쿠폰은 자동발급 되었어요 ']","['전체', 'Luxe Edit 어반디케이💜', 'SUMMERFUL DAY🌊', '올리브 특가🎁']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000104140001&trackingCd=Home_Planshop1_1_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=올리브 데이&t_number=1
자기관리 공략집 THE FACT 🖤,24.06.14,24.07.14,맨즈케어,"

맨즈케어
팩트로보장하는역대급 혜택
침착맨도 사용하는 그 제품


",[' 자기 관리 좀 하는 올형들을 위한 THE FACT 침착맨X주우재 올리브영을 만나다 영상에 언급된 상품을 만나보세요 280만 올형을 위한 공략 초특가 팩트 혜택 APP에서 모든 혜택을 만나보세요! '],"['전체', '💚Lv. 스타터💚', '💚Lv. 부스터💚', '💚Lv. 마스터💚', '팩트인증 공략템✅ ', '\xa0', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000104110024&trackingCd=Home_Planshop1_2_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=남성 포커싱&t_number=2
6월 올영PICK 🎈,none,none,올영PICK,"

올영PICK
올리브영이PICK한이 달의 브랜드
베스트 아이템 한정특가


",[' 올영PICK 6월 올리브영 APP과 매장에서 만나보세요! '],"['전체', '여름철 피부 고민 해방템💚', '우리가 원하던 진정🍃', '매끈 당당 피부\U0001fa75', '골라쓰는 핫썸머템✨', 'HOT템 큐레이션🌷', '모발&두피고민 해결🎈', '세상에 없던 요즘 베이스❤️', 'SLIM SUMMER🐋', '언더웨어의 신세계🥰', '자유로운 하루의 끝💜', '한 번에 ALL CLEAR🖤', '올리브 키트 상품 특가로 만나기👑', '\xa0', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103650006&trackingCd=Home_Planshop1_3_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=올영픽&t_number=3
아멜리의 보라빛 베이스💜,24.06.24,24.07.01,아멜리,"

아멜리
보라빛으로청아한 피부톤을완성해요
보라쿠션 보라필터 특가


",[' 아멜리의 (보라빛)베이스 보라 쿠션 & 보라 필터 올리브영 입점!'],"['전체', '기다려온 아멜리 BEST💌', '코덕인생템 아멜리섀도우💜', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103810168&trackingCd=Home_Planshop1_4_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=색조-604-4_신상로그온_하주영/김예은&t_number=4
"달콤한 다이어트, 딥트3일🎆",none,none,딥트 3일,"

딥트 3일
일상이 된다이어트더 달콤하게
일주일 한정 특가


","[' BRAND WEEK PLUS DEEPTE CREATED BY OLIVEYOUNG MAGAZINE 딥트 3일 피치맛 번 & 딥트 3일 스트롱 플러스        지신 다이어트 속 달콤함을 주는        딥트 3일 피치맛 번과 더 풍부해진        식이섬유로 찾아온 딥트 3일 스트롱 플러스로        건강한 일상 만들어요.       ', ' BENEFIT         브랜드 위크 기간 중 딥트 3일 제품 구매 시         사용 가능한 5% 장바구니 쿠폰을 드립니다.        ', '꼭 알아두세요', "" DEEPTE 3DAYS         꾸준한 운동, 식단과 함께하는         다이어트 속         달콤한 복숭아 맛 하나.                일상이 된 다이어트,         달콤하게 바꿔요.                '딥트 3일 피치맛 번'만의 신소재 성분,         액티포닌(Actiponin)이         체지방 감소에 도움을 줄 수 있어요.                복숭아 맛과 향이 느껴지는         딥트 3일 피치맛 번         덕분에 맛있게 매일         관리할 수 있죠.                체지방 감소는 물론         비타민B1R, B2, C, D등 활력 비타민을         가득 담아 체내 에너지 대사에 도움을 줍니다.                잠들기 전, 1알로 충분합니다.         딥트 3일 피치맛 번으로 섭취         간편하고 맛있게 다이어트 시작해요.        "", '딥트 3일 피치맛 번 30정', '딥트 3일 피치맛 번 30정', '장바구니 담기', ' LIGHT UP 다이어트 식단 중 장 건강을 챙기고 싶다면 충분한 물과 함께 식사 전 한포.         딥트 3일 스트통 플러스에는 탄수화물의         지방 합성을 억제하는 HCA가 들었어요.         풍부한 식이섬유, 차전자피도         기존보다 더 많이 5,000mg 담았죠.                물과 만나면 40배 팽창하여         배변활동 원활에 도움을 줄 수 있어요.        ', '딥트 3일 스트롱 플러스', '딥트 3일 스트롱 플러스', '장바구니 담기', ' DEEPTE 3DAYS SWEET BURN ', '닫기']","['전체', '달콤한 다이어트, 딥트3일🎆', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103110020&trackingCd=Home_Planshop1_5_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=건강식품-604-2_브랜드위크_김진주/박진희&t_number=5
필리밀리 미용가전 신상 출시,24.06.24,24.06.30,필리밀리,"

필리밀리
아무에게도알려주고 싶지 않은
뷰티스킬 끌올 미용가전


",[],"['전체', '6/25 하루특가', '집에서도 관리하는 뷰티케어템', '6월 필리밀리 BEST 상품모음']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000104010024&trackingCd=Home_Planshop1_6_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=필리밀리-604-1_메인A_김용한&t_number=6
퓌 쿠션으로 투명한 속광 표현💜,24.06.24,24.07.01,퓌,"

퓌
더 얇고 깨끗해진투명 속광
베이스 BEST 특가


",[' 더 얇고 깨끗해진 투명한 속광 표현 퍼프 2매 추가 증정 기획'],"['전체', 'BEST 베이스💜', 'BEST 립&아이💜', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103810169&trackingCd=Home_Planshop1_7_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=색조-604-5_메인B_하주영/김예은&t_number=7
품절대란 스튜디오17 BEST🤎,24.06.24,24.06.30,스튜디오17,"

스튜디오17
미용소품에오롯이 담은30년 노하우
고체클렌저 & 대왕퍼프 할인


",['06.24-06.30 30년 노하우 스튜디오17 미용소품 최대 할인 혜택 #고체클렌저 #미용소품위생'],"['전체', '전용 툴클렌저로 개운하게💙', '왕크니까, 왕부드러운 대왕 퍼프💙', '아이 브러쉬 고민 끝-✨브러시세트', '스튜디오17 BEST 💙', '\xa0', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103830050&trackingCd=Home_Planshop1_8_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=미용소품-604-1_홍지현/이민영&t_number=8
"선케어 장인, 아떼 💗",none,none,아떼,"

아떼
여름이면생각나는선케어 맛집
무기자차 & 선에센스 특가


",['여름철 붉어진 피부 선케어 장인 아떼의 처방 뷰드름 유튜버 인씨 PICK '],"['전체', '💗BEST썬케어💗', '💗Trendy/New💗', '💗함께 쓰면 좋은💗']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103880065&trackingCd=Home_Planshop1_9_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=프리미엄-604-1_이유연/최주희&t_number=9
💛편안한 Y존을 위한 좋은느낌💛,24.06.24,24.06.30,좋은느낌,"

좋은느낌
편안한그날을 위한유기농생리대
장바구니 쿠폰 증정


",[],"['전체', '🧡좋은느낌&라네이처🧡', '💙썸머생리대💙', '🧡Y존 관리템🧡']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103710087&trackingCd=Home_Planshop1_10_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=W케어-604-4_임진희/김혜민&t_number=10
