promo_title,promo_start_dt,promo_end_dt,banner_title,banner_desc,promo_contents,promo_catgs,banner_link
오늘의 W CARE 루틴💜,23.09.18,23.09.24,W CARE,"

W CARE
나만의W케어 루틴을시작해요
매일 달라지는 990원 선착순 특가


",[],"['전체', '컴포트 루틴🏃\u200d♀️', 'Y존 루틴🤍', '에코 루틴🌿', '더 많은 루틴템 보기💜', '\xa0', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103470001&trackingCd=Home_Planshop1_1_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=오늘의 W CARE 루틴_김서현&t_number=1
9월#힐링칠링#환절기#가을패치,23.09.15,23.09.21,이달의 해시태그,"

이달의 해시태그
다가오는 가을9월엔힐링에 진심
최대 50%할인


","[' 9월, 가을맞이 힐링 아이템을 만나보세요! 힐링에 진심 9.15(목) - 9.21(목) 최대할인 50% ', ' 9월의 태그박스 하단 행사상품 1.5만원 이상 구매 시 체험분 13~16종, 선착순 랜덤 증정 * 소진 여부는 올리브영 APP에서 확인해주세요. ']","['전체', '간편하게 피부 힐링🧡패드&마스크팩', '하루 피로🤎사르르 아이마스크,패치', '건강한 간식🍂딜라이트프로젝트', '태그박스 상품 만나기❤', '\xa0', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102910017&trackingCd=Home_Planshop1_2_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=이달의 해시태그_김선영&t_number=2
💝추석기프트💝,23.09.08,23.09.30,추석 기프트,"

추석 기프트
선물할 수록커지는혜택 즐기기
추석 선물하고 경품받기


","[' 2023 추석 기프트 ', ' 추석기프트 선물하기 첫구매 쿠폰 선물하기 첫구매 15% 할인 쿠폰 APP 선물하기 1개 이상 구매 시 최대 4천원 행사기간: 23년 9월 8일 ~ 9월 30일 지금 APP에서 만나보세요! ', ' 추석기프트 선물하기 쿠폰 2종 선물하기 첫구매 15% 할인 쿠폰 APP 선물하기 1개 이상 구매 시 최대 4천원 행사기간: 23년 9월 8일 ~ 9월 30일 선물하기 10% 할인 쿠폰 APP 선물하기 1개 이상 구매 시 최대 2천원 행사기간: 23년 9월 15일 ~ 9월 30일 매일 낮 12시 매장전용 선착순 쿠폰 매장 전용 선착순 최대 10,000원 할인 쿠폰 오프라인 매장에서 1만원 이상 구매 시 행사기간: 23년 9월 15일 ~ 9월 30일 지금 APP에서 만나보세요! ', ' 선물할수록 커지는 경품! 추석기프트 챌린지 다이슨 에어랩1명 네스프레소 커피머신5명 CGV IMAX관람권 2매50명 투썸플레이스 아메리카노500명 지금 APP에서 만나보세요! ']","['전체', '선물로 딱! 건강선물💪', '호불호 없는 뷰티선물💐', '이런 선물은 어때요? 센스선물💝', '작은 사치, 큰 기쁨! 스몰럭셔리💄', '맛도 건강도 모두 만족🎁', '부담 없이 가벼운선물🎀', '특별한 선물! 가전&잡화🤖', '마음도 선물도 빠르게! 빠른배송🚀', '\xa0', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102890003&trackingCd=Home_Planshop1_3_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=추석기프트(전사)_우종웅&t_number=3
피부 결속 보습을 채워요,none,none,SHOWCASE,"

SHOWCASE
오일의 보습이 필요한계절이 왔어요
바이오더마 선런칭 30% 할인


","[' SHOWCASE vol.32 ', ' SHOWCASE IS 23.09.20 - 09.21     지금까지 어디에서도 소개한 적 없는     브랜드의 신상 아이템을 최초로 공개합니다.     단 이틀! 오직 바이오더마 쇼케이스 기간에만     만날 수 있는 특별한 혜택을 놓치지 마세요.    ', ' BENEFIT 1       ONLY SHOWCASE      쇼케이스 특가 쇼케이스 기간 동안 아토덤 투인원 오일을 특별한 구성에 만나보세요. 바이오더마         아토덤 투인원 오일 150ml 기획 (한정수량)         (+립스틱 1ea+오일 5ml*3ea+울트라 크림 8ml)         최종행사가 34,000원  BENEFIT 2       ONLY SHOWCASE      쇼케이스 특가 쇼케이스 기간 동안 아토덤 울트라 크림을 특별한 구성에 만나보세요. 바이오더마         아토덤 울트라 크림 500ml 기획         (+울트라 크림 200ml +립스틱 1ea + 오일 5ml*2ea)         최종행사가 28,900원  BENEFIT 3       THANK YOU GIFT      바이오더마 제품을 구매하신 분들께 한정수량으로 준비한 선물을 드려요.      바이오더마 전 제품 구매시 1:1 증정 아토덤 결속보습 듀오키트 (오일5ml+크림8ml) 아토덤 오일 포함 바이오더마 제품 6만원 이상 구매시,        하이드라비오 토너 250ml 증정 선착순 증정  BENEFIT 4       SPECIAL EVENT      쇼케이스 메인 제품 구매 후 인증을 하면 당첨자를 뽑아 특별한 선물을 드려요. 메인 제품 : 아토덤 오일 / 크림 / 아토덤 립스틱 / 센시비오 850ml ) 1등 50만원 상당 구찌반지 (1명) 2등 신세계백화점 상품권 10만원권 (5명) 3등 아토덤 투인원 오일 정품 1ea 추가 증정(20명)  ', ' SPECIAL COUPON     바이오더마 제품 4.5만원 이상 구매 시     적용 가능한 쿠폰을 사용해보세요     ( 최대 1만원 할인 ) COUPON 15% 사용기한 : 2023. 09. 20 - 09. 21     신제품 아토덤 오일 기획 구매 시     적용 가능한 추가 쿠폰을 사용해 보세요.    COUPON 2,000원 사용기한 : 2023. 09. 20 - 09. 21 ', '꼭 알아두세요', '     BIODERMA        온가족이 함께 쓸 수 있는 모두의 보습,     바이오더마 아토덤 라인.     환절기 피부 고민을 종결 시켜줄     신상 아토덤 2-in-1 오일을 처음 소개합니다.     바이오더마 베스트 제품들과 함께     피부 결, 속 모두 탄탄한 보습 케어 시작해요.    ', ' 건조주의보     선선해진 날씨로 행복한 것도 잠시,     환절기로 찾아온 건조주의보.    ', '     Dry Weather        옷을 입을 때마다     까칠한 피부가 신경쓰이고     건조함에 가려워     잠에서 깨기도 합니다.    ', '     My perfect FALL DAY        이번 환절기는 무사히 지나갈 수 있도록     보습이 필요한 모든 순간에     아토덤 투인원 오일을 더해요.    ', '     NEW ARRIVAL    바이오더마 아토덤 투인원 오일     끈적이는 제형에 모공을 막아     트러블을 유발한다는 오일의 편견을 깼어요.     아토덤 오일은 피부 친화적인 식물성 오일로     자극 걱정 없이 영유아부터 예비맘도 쓸 수 있죠.     *말릭애씨드에스터 ', '바이오더마 아토덤 투인원 오일 상품보기', '아토덤 투인원 오일 150ml 쇼케이스 한정 기획 (+립스틱 1ea+ 오일 5ml*3ea+울트라 크림 8ml) 상품보기', '아토덤 투인원 오일 150ml 쇼케이스 한정 기획 (+립스틱 1ea+ 오일 5ml*3ea+울트라 크림 8ml) 장바구니 담기', '     아토덤 오일은 저자극 AHA 성분*이     들어있어 더 특별해요.     덕분에 각질 턴오버 주기 활성화를 도와     수분이 더 잘 채워질 수 있도록 보습 길을 열어줍니다.     *말릭애씨드에스터     끈적임이 없는 워터리한 텍스처로     건조함을 느끼는 부위 어디든 활용할 수 있어요.     빠르게 흡수되어 아침 샤워 후 사용해도 부담 없죠.     특히 얼굴에 여러 번 얹어도 무겁지 않아요.    ', '     거친 피부결 개선 페이스 50%, 31% 바디        단, 2시간만에 +41% 보습력 증가         *인체적용시험결과(2022)/ 일반, 극건성피부 피시험자 32명 대상/ 28일간      페이스&바디피부 사용결과          ** 인체적용시험결과(2022) / 피시험자 10명 대상, 24시간 사용     ', ' 결이 다른 보습     메마른 피부를 구원해 줄     결이 다른 보습감.     속까지 보습이 차오를 수 있는 바탕을 만들어요.        외출하기 전 항상 신경 쓰였던 바디 각질이     잠재워졌어요. 오일이 끈적이지 않아     바로 옷을 입어도 괜찮아요.     까칠하게만 느껴졌던 니트가 부드러운     피부 결과 만나 기분 좋은 촉감만 남았어요.    ', '     Night Care 겉+속 보습듀오        고된 하루를 보낸 뒤에는 더 탄탄한     보습 관리가 필요해요. 결보습을 도와주는     오일과 함께 피부 깊숙히 속보습까지 채워 줄     아토덤 울트라 크림으로 결속 보습을 완성해요.    아토덤 울트라 크림     촉촉한 로션 타입의 텍스처로 산뜻하지만     속보습만큼은 확실해요.     아토덤 라인의 근본답게 신생아부터     온 가족이 쓸 수 있는 보습크림이에요.     부위 상관없이 모든 피부의 속보습와     피부장벽을 책임지죠.    ', '아토덤 울트라 크림 쇼케이스 한정 기획 (+울트라 크림 200ml+립스틱 1ea+오일 5ml*2ea) 상품보기', '아토덤 울트라 크림 쇼케이스 한정 기획 (+울트라 크림 200ml+립스틱 1ea+오일 5ml*2ea) 장바구니 담기', ' step1. Atoderm 2-in-1 oil step2. Atoderm Creme Ultra     건조한 페이스와 바디에 오일을 먼저     꼼꼼히 발라준 뒤, 울트라 크림으로 마사지를     해주며 보습 케어를 마무리해요.     오일의 감각적인 향이 무향의 크림과 만나     더 은은하게 감싸줍니다.    ', '     SPECIAL TIP        추가로 집중 보습이 필요할 땐     아토덤 오일과 크림을 섞어서 사용해 보세요.     결속 보습의 시너지를 느낄 수 있어요.    ', '     특히, 아침 스킨케어때 활용하면     들떴던 메이크업이     피부에 착- 붙을 거예요.    ', '아토덤 투인원 오일 바이오더마 제품바로가기', '아토덤 크림 울트라 바이오더마 제품바로가기', '     결속보습 듀오 루틴으로 다음날 아침,     촉촉하고 매끈한 피부로 맞이해요.    ', ' EVERYDAY WIDTH. BIODERMA     일상에 틈틈이 멀티 드라이오일과 함께     바이오더마 베스트 아이템으로 보습을 채워요.        얼굴, 바디 뿐 아니라 건조한 헤어도     멀티 오일로 케어해요.     신경 쓰이는 정전기와도 이별이에요.    BEST ITEM     바이오더마하면 빼놓을 수 없는 베스트 아이템     아토덤 립밤과 미셀라 클렌징 워터라면 건조할 틈이 없죠.        입술 각질이 부쩍 늘어나는 환절기에     파우치 속 립밤은 필수예요.     특히 잦은 메이크업으로 예민해진 입술일수록     저자극의 고보습 아토덤 립밤을 찾게 될 거예요.     클렌징 워터는 아침 물세안 대신 사용해 보세요.     닦을수록 건강해지는 장벽 강화 클렌저로     스킨케어 전 촉촉한 피부를 만들 수 있어요.    ', '바이오더마 아토덤 립스틱 제품이동', '바이오더마 클렌징워터 제품이동', '바이오더마 아토덤 립스틱 1+1 제품 바로가기', '바이오더마 아토덤 립스틱 1+1 제품 장바구니담기', '바이오더마 센시비오 H2O 850ml 제품 바로가기', '바이오더마 센시비오 H2O 850ml 제품 장바구니담기', '바이오더마 아토덤 립스틱 1+1 제품 바로가기', '바이오더마 아토덤 립스틱 1+1 제품 장바구니담기', '바이오더마 센시비오 H2O 850ml 제품 바로가기', '바이오더마 센시비오 H2O 850ml 제품 장바구니담기', '34% 장바구니 쿠폰 다운받기', '     메마른 일상 속 결이 다른 보습 바이오더마와 함께하세요    Dr.G ', '바이오더마 브랜드관 바로가기', ' EDITOR 이주은 DESIGNER 김보영 Photography 더마토리 제공 ', '닫기']","['전체', '탄탄하게 채우는 결속보습💙', '민감피부를 위한 클렌징 솔루션💗', '바이오더마 기간 한정 초특가🚨']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102030032&trackingCd=Home_Planshop1_4_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=쇼케이스 바이오더마_마지막날 신혜정&t_number=4
바이오가 올리브영 런칭!,23.09.18,23.09.24,바이오가,"

바이오가
예민한 피부어디든촉촉하게
바이오가 올리브영 런칭


",['온 가족 바디케어의 시작 바이오가 #올리브영 신규입점'],"['전체', '바이오가 올리브영 런칭!', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102800104&trackingCd=Home_Planshop1_5_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=0903-3001_서지민&t_number=5
"이니스프리X나이스웨더, 가방증정!",23.09.18,23.09.24,이니스프리,"

이니스프리
무너진 피부컨디션을 구해줄나이스한 솔루션
최대 25%할인


",[' 이니스프리 X 나이스웨더 레티놀 흔적 앰플 + 가방 증정 #브랜드위크 #최대25%할인'],"['전체', '이니스프리X나이스웨더', '이니스프리 BEST 모음', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102700103&trackingCd=Home_Planshop1_6_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=0903-0102_최아형&t_number=6
클리오 F/W 신상 추가 할인&증정,none,none,클리오,"

클리오
환절기를타지 않는글로우 쿠션
최대 38%할인, 포토카드 증정


","[' CLIO 역대급 신상품 안유진 미공개 포토카드 증정 단 일주일, 클리오 브랜드위크 추가 할인 혜택!']","['전체', '포토카드 증정 이벤트', 'F/W 베이스 신상', 'NEW F/W 립 신상', '클리오 NEW & BEST', '\xa0', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102750208&trackingCd=Home_Planshop1_7_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=0903-1004_권세희&t_number=7
"아이오페 레티놀, 밀도 탄력 세럼✨",23.09.18,23.09.24,아이오페,"

아이오페
아침저녁매일 만나는레티놀 탄력
최대 35%할인


",[' 슬로우에이징의 계절 레티놀 밀도탄력 세럼 아이오페 브랜드 최대 23% 특가 기획전'],"['전체', '아이오페 슬로우에이징✨', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102700104&trackingCd=Home_Planshop1_8_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=0903-0103_최아형&t_number=8
🎁추석 선물 연합 기획전🎁,23.09.18,23.09.24,추석선물 기획전,"

추석선물 기획전
늦기 전에풍성한마음 전해요
건강식품 최대 50%할인


",[' 건강식품 선물로 마음과 건강을 전해요 올해 추석 선물 고민은 여기서 해결! 추석 기프트 건강식품 최대 66% 할인 '],"['전체', '비타민 선물하기💛', '유산균 선물하기💙', '슬리밍/이너뷰티 케어하기💖', '스페셜케어 관리하기💚', '\xa0', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102830091&trackingCd=Home_Planshop1_9_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=0903-4002_이수빈&t_number=9
"추석맞이, 슬로우에이징 기프트 추천!",23.09.18,23.09.25,슬로우에이징,"

슬로우에이징
이번 추석엔탄력을선물해요
최대 35%할인, 쿠폰


","['오늘부터, 피부고민 슬로우다운 올 추석, 슬로우에이징 기프트템으로 건강한 피부를 선물하세요!']","['전체', '1~2만원대 선물', '3~4만원대 선물', '5만원 이상 선물']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102700102&trackingCd=Home_Planshop1_10_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=0903-0101_최아형&t_number=10
