promo_title,promo_start_dt,promo_end_dt,banner_title,banner_desc,promo_contents,promo_catgs,banner_link
1월 올영픽🍒,none,none,올영PICK,"

올영PICK
올리브영이PICK한이 달의 브랜드
베스트 아이템 한정특가


",[' 올영PICK 1월 '],"['전체', '피부전문가 더마케어🧂', '새해니까 GLOW MAKE UP💗', '새해맞이 피부텐션 UP💦', '겨울보습 꽉 잡은 크림光✨', '늙지않는 두피 비결💫', '꿀잠자는 바디케어🌙', '새해 건강관리 시작💪', '보습&향기는 라부르켓🥀', '예민피부 RESET💙', 'MUST HAVE ITEM🎈', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103650001&trackingCd=Home_Planshop1_1_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=올영픽_조성은&t_number=1
손상모를 위한 시카 프로틴 케어💜,none,none,쇼케이스,"

쇼케이스
집에서 하는프리미엄단백질 케어
미쟝센 신제품 최초 공개


","[' SHOWCASE IS 지금까지 어디에서도 선보인 적 없는 미쟝센의 신제품을 최초 공개합니다. 단 이틀 오직 쇼케이스 기간에만 만날 수 있는 특별한 혜택을 놓치지 마세요. 24.01.22 - 01.23 ', ' Beyond Ordinary, Chasing Dreams. 잦은 탈색과 펌으로 손상된 머릿결 집에서 어떻게 관리해야 할까요? 살롱10 프로페셔널 트리트먼트와 오일 세럼만 있다면 머릿결이 꿈처럼 완벽하게 찰랑일 거예요. ', ' BENEFIT 1. Coupon 쇼케이스 행사 기간 중 미쟝센 제품 2만 원 이상 구매 시 사용 가능한 할인 쿠폰을 드립니다. 미쟝센 10%할인 장바구니 쿠폰 APP 2만 원 이상 구매 시 최대 5천 원 할인 행사기간 : 2024. 1. 22 ~ 2024. 1. 23 ', '꼭 알아두세요', ' BENEFIT 2. Free Gift 쇼케이스 행사 기간 내 구매 시 증정품을 드립니다. GIFT 1 살롱 10 프로 신제품 구매 시 한정판 뽀글이 파우치 증정 선착순 2,000개 / 주문번호당 1개 GIFT 2 미쟝센 제품 구매 시 살롱 10 프로페셔널 시카 프로틴 트리트먼트 30ml 증정 선착순 10,000개 GIFT 3 미쟝센 제품 2만 원 이상 구매 시 살롱 10 3종 트라이얼 키트 증정 선착순 2,000개 / 주문번호당 1개 GIFT 4 미쟝센 제품 3만 원 이상 구매 시 퍼펙트 노워시 워터 트리트먼트 215ml 본품 증정 선착순 900개 / 주문번호당 1개 ', ' BENEFIT 3. Top Shopper Event 쇼케이스 행사 기간 중 미쟝센 제품을 구매한 구매왕 10명에게 선물을 드려요. 1명 디올 카드 지갑 (49만 원 상당) 4명 코스 퀼티드 패딩 구름백 마이크로 라일락 퍼플 (6만 원 상당) 5명 샤넬 레드 까멜리아 립앤치크밤 (5만 원 상당) ', ' To Dream, and Beyond! 살롱10 프로페셔널 시카 프로틴 트리트먼트 / 세라마이드 오일 세럼 감기듯 밀착되는 미쟝센 살롱 10 쓸수록 좋아지는 가볍게 찰랑이는 머릿결. ', ' First Treatment Checkpoint 손상 개선 + 손상 방어 + 장벽 강화 미쟝센 살롱10 프로페셔널 시카 프로틴 트리트먼트 프리미엄 헤어 케어를 받기 위해 이제 더 이상 살롱에 가지 않아도 돼요. 살롱 제품에만 적용하던 모발 본딩 성분과 기술력을 그대로 담았습니다. 1. BONDING TOGETHER 모발 본딩 특허 성분 덕분에 살롱에서 단백질 클리닉을 받은 듯 건강하고 찰랑이는 머릿결이 돼요. 프리미엄 헤어 케어, 이제 집에서 매일 해보세요. 2. BETTER AFTER BETTER 잠깐이던 부드러움, 이제 그럴 일은 없어요. 쓰면 쓸수록 머릿결이 좋아지거든요. 인체 외 적용 테스트 결과가 증명해요. * 7일 누적 효능 인체 외 적용시험 검증 3. ABOUT CICA PROTEIN 모발을 튼튼하게 하는 단백질에 시카 성분을 더하면 어떨까요? 시카 프로틴TM을 담아 손상모의 개선, 방어, 장벽 강화를 한 번에 해결할 수 있어요. ', ' 미쟝센 살롱10 프로페셔널 시카 트리트먼트 기획 (215+70ml) 30% 20,000원 13,900원 ', '미쟝센 살롱10 프로페셔널 시카 트리트먼트 기획 (215+70ml) 상품보기', '장바구니 담기', ' Second Oil Serum Checkpoint 세라마이드 + 수분 장벽 + 수분 지속력 미쟝센 살롱10 프로페셔널 시카 세라마이드 오일 세럼 아모레퍼시픽 그룹의 모든 헤어 오일과 에센스 중 가장 많은 세라마이드를 함유한 헤어 세럼이에요. 유독 건조한 모발에 수분을 가득 채우기에 제격입니다. 살롱10 프로페셔널 시카 프로틴 트리트먼트 / 세라마이드 오일 세럼 감기듯 밀착되는 미쟝센 살롱 10 쓸수록 좋아지는 가볍게 찰랑이는 머릿결. 1. CERAMIDE MOISTURE LOCK 세라마이드가 가득 든 세럼으로 푸석한 모발에 수분을 더해요. 모발에 수분 장벽을 형성해 스킨케어처럼 섬세하게 머릿결 관리를 할 수 있어요. 2. SILKY, SLEEK 모발 끝이 Y자로 갈라지나요? 갈라진 모발 끝도 매끈하게 붙이기 때문에 ‘착붙세럼’이라는 별명까지 있어요. 3. RICH BUT LIGHT 영양감이 풍부한 제형, 하지만 사용한 뒤 끈적이지 않아요. 영양 크림을 바른 것 같으면서도 가볍게 찰랑이는 머릿결, 지금 바로 경험해 보세요. ', ' 미쟝센 살롱10 프로페셔널 시카 세라마이드 오일 세럼 (60+25ml) 31% 26,000원 17,900원 ', '미쟝센 살롱10 프로페셔널 시카 세라마이드 오일 세럼 (60+25ml) 상품보기', '장바구니 담기', ' Why Choose Dreamy Items SALON 10. 아래에 해당한다면 꼭 사용해 보세요. 매번 살롱을 찾아 클리닉 받을 시간이 없다면 홈 케어한 뒤 모발의 부드러움이 잠깐이라면 모발 끝이 갈라질 정도로 많이 상했다면 한 번의 스페셜 케어보다 매일 꾸준히 케어하고 싶다면 단 하나라도 고민이라면 미쟝센 살롱10 프로페셔널 시카 라인을 선택해 보세요. 꿈결같은 머릿결, 어렵지 않아요. ', '미쟝센 살롱10 프로페셔널 시카 세라마이드 오일 세럼 상품보기', '미쟝센 살롱10 프로페셔널 시카 트리트먼트 상품보기', '미쟝센 BRAND SHOP 바로가기', ' CREATED BY OLIVEYOUNG MAGAZINE Editor 한수연 Photographer 박아름 Videographer 조훈제 Model 연주 Hair 최은영 Makeup 박수지 Stylist 김민지 Designer 배혜원 ', '닫기']","['전체', '부드러움 논란종결,미쟝센 프로페셔널', '미쟝센 BEST 트리트먼트', '미쟝센 BEST 에센스&노워시 트리트먼트', '미쟝센 BEST 샴푸', '미쟝센 BEST 염색약', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102030039&trackingCd=Home_Planshop1_2_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=1월 쇼케이스 미쟝센-한수연&t_number=2
모공탄력과 피부결 케어를 동시에! ✨,24.01.22,24.01.28,테라로직,"

테라로직
비건 레티놀로느슨한 모공꽉 잡기
최대 29%할인


",[' theralogic 슬로우에이징 전문그룹 테라로직 NEW 레티놀 모공크림'],"['전체', '📍 모공탄력 개선엔 #레틴에이', '📍 피부 탄력엔 #피토세라', '📍 손상장벽개선엔 #마데셀']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103930012&trackingCd=Home_Planshop1_3_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=0104-0502_신상로그온_테라로직_유선경&t_number=3
"새 피부의 시작, 코스알엑스",none,none,코스알엑스,"

코스알엑스
스킨케어첫단계 부스터로매일 어려져요
최대 40%할인


","[' AESTURA SUPER CAPSULE BRAND WEEK PLUS COSRX The 6 pertide Skin Booster ', ' (FOR) OUR SKIN CARE 오직 성분으로 증명하는 ‘코스알엑스’.   좋은 성분은 최대로,   피부에 자극이 되는 성분은 최소로   피부 고민을 위한 최적의 솔루션을 제공합니다.   시작부터 다르게, 피부의 기능을 깨워주는   첫 단계 부스터로   새해 피부 나이는 매일 더 어려져요. 출시하자마자 베스트템으로   자리잡은 부스터 세럼을 특별한 혜택으로 만나보세요. ', ' (FOR) OUR SKIN CARE 오직 성분으로 증명하는 ‘코스알엑스’.   좋은 성분은 최대로,   피부에 자극이 되는 성분은 최소로   피부 고민을 위한 최적의 솔루션을 제공합니다.   시작부터 다르게, 피부의 기능을 깨워주는   첫 단계 부스터로   새해 피부 나이는 매일 더 어려져요. 출시하자마자 베스트템으로   자리잡은 부스터 세럼을 특별한 혜택으로 만나보세요. ', ' 01. BRAND COUPON 브랜드 위크 기간 중 코스알엑스 제품 3만 원 이상   구매 시 사용 가능한 2,000원 쿠폰을 드립니다. 코스알엑스 5%할인 장바구니 쿠폰 APP 3만원 이상 구매 시 최대 2,000원 할인 사용기간 : 2024. 01. 22 ~ 2024. 1. 28 ', '꼭 알아두세요', ' 02. SPECIAL GIFT 행사 기간 중 코스알엑스 기획전 상품 구매 시   코스알엑스 펩타이드세럼 30ml 증정 행사 기간 중 코스알엑스 기획전 제품 3만원 이상 구매 시   코스알엑스더 비타민C13 20g 증정 ', ' 다가온 새해, 한 살 더 먹었다고 우울해질 필요는 없죠 HELLO, 2024 ', ' Slow-Aging 코스알엑스와 함께 두 살 어려진   피부 나이로 새해를 즐겁게 맞이해요. ', ' ENOUGH ', ' 어려 보이는 피부의 키포인트는   매끈한 피부 결 잡기.   스킨케어 첫 단계에 ‘더 6 펩타이드   스킨 부스터 세럼’만 추가해요.   6가지의 펩타이드 성분이   탄력부터 피부 결, 모공 등   다양한 피부 고민을 케어해줍니다. ', ' 150ml 대용량의 물토너 제형이라   넉넉히 피부에 흡수시켜줘도 아깝지 않아요.   빠른 흡수력으로   다음 제품을 바를 준비는 벌써 끝났어요.   복잡한 성분 가이드는 따로 없죠. 첫 단계에    부스터 세럼을 바른 뒤,    원하는 기능성 제품을    더해주면 슬로우에이징 끝. ', ' 기능성 제품의   흡수와 효과는 배가 될 거예요.   민감한 피부도 낮밤 상관없이   매일 사용할 수 있어요. ', '코스알엑스 더 6 펩타이드 스킨 부스터 세럼 150ml', ' 코스알엑스 더 6 펩타이드 스킨 부스터 세럼 150ml 27% 23,000원 16,700원 ', '코스알엑스 더 6 펩타이드 스킨 부스터 세럼 150ml', '장바구니 담기', ' SYNERGY ', ' BRAND WEEK PLUS SYNERGY UP 더 6 펩타이드 스킨 부스터 세럼은    어떠한 성분이든 페어링 될 때    시너지를 발휘해요. 피부 고민에 맞는    다음 단계의 제품만 골라주세요.    1차로 수분을 채우며 고기능성 성분을    더 깊게 흡수할 피부 바탕을 만들어 줍니다. ', ' BRIGHT BOOSTER SKIN BOOSTING RECIPE 새해 화사한 생기를   단시간에 얻고 싶다면,   고함량의 비타민C를   피부에 충전해요.   펩타이드 스킨 부스터 세럼과   함께하면 자극도 걱정 없죠.   ', '코스알엑스 new 아토베리어 365 로션 150ml', '코스알엑스 new 아토베리어 365 로션 150ml', ' THE VITAMIN C 23 더 비타민 C 23 세럼은 순수 비타민C를    넣어 화사한 피부 톤은 물론    잡티 개선, 모공 탄력까지 케어해요.    바른 후 쫀쫀해진 피부를 느낄 수 있어요. Tip | 냉장 보관하여 사용하면 신선함이 유지돼요. ', ' 코스알엑스 더 비타민씨 23 세럼 20g 27% 23,000원 16,700원 ', '코스알엑스 더 비타민씨 23 세럼 20g', '장바구니 담기', ' 활짝 웃는 게 일상인 얼굴에   미세한 주름들이 보이기 시작해요. 세로 모공과 눈가 주름이 늘어났다면   탄력 케어로 유명한 레티놀 크림을 추가해요. ', ' YOUTH BOOST 펩타이드 스킨 부스터 세럼과   레티놀 크림의 조합이면   자극이 걱정인 레티놀 초보자도   효과를 온전히 누릴 수 있어요. ', '코스알엑스 더 6 펩타이드 스킨 부스터 세럼 150ml', '코스알엑스 더 레티놀 크림', ' THE RETINOL 0.1 고함량의 순수 레티놀 0.1%로   늘어진 모공에 탄력을 빠르게 채워줍니다.   첫 사용 땐 잔주름이 생기는 눈가 입가,   세로 모공이 돋보이는 볼, 처지는 턱 선을 위주로   쌀알 크기만큼 톡톡 올려주세요. 적응 후엔   얼굴 전체에 발라도 좋아요. ', ' 코스알엑스 더 레티놀 0.1 크림 20ml 더블기획(+펩타이드세럼 30ml 증정) 40% 50,000원 29,900원 ', '코스알엑스 더 레티놀 0.1 크림 20ml 더블기획(+펩타이드세럼 30ml 증정)', '장바구니 담기', ' COSRX 스킨케어에 시너지를 더해요 ', ' NEW YEAR COSRX 새 피부의 시작, 스킨 부스팅 케어 NEW SKIN ', 'BRAND SHOP 보러가기', ' CREATED BY OLIVEYOUNG MAGAZINE Editor 신혜정 Model 김보우 Stylist 백수지 Photographer 서원기 Hair 안형규 Fashion stylist 박수지 ', '닫기']","['전체', '새 피부의 시작, 스킨부스팅 케어', '겨울철 코스알엑스 스킨케어', '코스알엑스 더 알아가기']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103110015&trackingCd=Home_Planshop1_4_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=0104-0101_브랜드위크_코스알엑스_최아형&t_number=4
락토핏으로 장건강 챙기기💛,24.01.22,24.01.31,락토핏,"

락토핏
보장균수를2배높였어요
최대 47%할인


",['01.22-01.31 새해에도 장건강은 대한민국 1등 유산균 락토핏! 대한민국 1등 유산균1'],"['전체', '락토핏 올영P!CK 💖', '락토핏 베스트 상품 모아보기 👍', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103750016&trackingCd=Home_Planshop1_5_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=0104-4001_메인A_랏토핏_김진주&t_number=5
비레디 시카페인X스완 런칭!,24.01.22,24.01.28,비레디,"

비레디
시카와카페인이 만나모공을 케어해요
최대 31%할인, 쿠폰


",[' 비레디 시카페인 스완 공동개발 런칭 3세대 시카 성분과 카페인이 결합된 징정 모공 솔루션'],"['전체', '시카페인X스완 NEW런칭!', '비레디 BEST SELLER', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103940009&trackingCd=Home_Planshop1_6_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=0104-2001_메인B_비레디_박선정&t_number=6
마음을 전하는 설맞이 식품선물세트,24.01.22,24.01.31,선물 제안,"

선물 제안
선물하기 좋은식품베스트
베스트 아이템 확인하기


",[' 설 맞이 식품 선물세트'],"['전체', '스테디&베스트 기프트🎁', '부담스럽지 않은 가벼운 기프트🎁', '2024년 건강기원 기프트🎁']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102820220&trackingCd=Home_Planshop1_7_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=0104-4201_신상아&t_number=7
요즘 파데 VDL 커버스테인 ✨,24.01.22,24.01.31,VDL,"

VDL
화사함을더하는뉴이어 메이크업
최대 22% 할인


",[' 올해도 환하게 밝혀주는 커버스테인 파운데이션 '],"['전체', '밀착 맛집 VDL 파데&쿠션', '피부톤 맞춤 설계 프라이머', '생기 넘치는 뽀용 블러셔']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103810027&trackingCd=Home_Planshop1_8_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=0104-1007_권세희&t_number=8
새로 돌아온 셀퓨전씨 레이저 UV 썬!,24.01.22,24.01.31,셀퓨전씨,"

셀퓨전씨
UV에이징까지밀착차단하는스마트 썬
장바구니쿠폰, 증정 혜택


",[' 썬의 명가 셀퓨전씨 레이저 UV썬 런칭 6년 연속 어워즈 수상작의 대변신!'],"['전체', 'NEW 셀퓨전씨 레이저 UV 썬💘', '셀퓨전씨 썬케어 BEST✨', '셀퓨전씨 스킨케어 BEST✨']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103910001&trackingCd=Home_Planshop1_9_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=0104-0401_최혜민&t_number=9
💙새해에도 롱테이크 헤어케어,24.01.22,24.01.31,롱테이크,"

롱테이크
헤어에감각적인우디향을 입혀요
장바구니쿠폰, 키링 증정


",['01.22-01.31 새해에도 롱테이크 감각적인 우디향 헤어케어 럭키블루참 키링 증정'],"['전체', '감각적인 우디향 헤어케어', '롱테이크 향수로 더 향기로운 2024!', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103770011&trackingCd=Home_Planshop1_10_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=0104-3101_윤지은&t_number=10
