promo_title,promo_start_dt,promo_end_dt,banner_title,banner_desc,promo_contents,promo_catgs,banner_link
💛블랙프라이데이 커밍순💛,23.10.30,23.10.31,올영 블프,"

올영 블프
올리브영블랙프라이데이커밍순
역대급 혜택 미리 준비해요


","[' 올영 BLACK FRIDAY COMING SOON 11.1 ~ 11.7 ', ' 행사안내 1년에 단 한번 돌아오는 역대급 혜택 01 매일 오전 10시 선착순! 올! 블랙 랜덤쿠폰 02 매일 달라지는 초특가템 올! 블랙 하루특가 03 오직 블프에서만! 올!블랙 일주일특가 04 마지막 득템찬스 올!블랙 LAST PICK 05 럭셔리뷰티의 새로운 정의 올!블랙 Luxe Edit ', ' 올! 블랙 타자왕        총 1천만원 경품 득템 기회 10.30-31, 단 이틀 블프 전용 쿠폰까지!        *쿠폰은 11.1(수) 오전 10시 이후 지급 예정       쿠폰 3,000원 - 100% 지금 도전하시겠습니까? ']",[],https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103450006&trackingCd=Home_Planshop1_1_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=블프사전컴-임민경&t_number=1
같이 할래? 셔터브리티🙋🏻‍♀️,23.10.16,23.11.05,SHUTTER,"

SHUTTER
셔터브리티 되면매월 최대 9만포인트 드려요!
올영 인플루언서 지원해보세요!


","[' 같이할래? 셔터브리티 ', ' 셔터브리티 모집 SHUTTER ‘나’와 같은 피부톤과 타입을 가진 사람들을 찾아    팔로우 할 수 있고    일상 속 ‘나’를 사진을 통해 공유하는    커뮤니티 공간이에요 ', 'EVENT 바로가기', ' SHUTTERBRITY 셔터에서 활동하는    올리브영의 인플루언서예요. 나만의 고유한 색깔을    뽐내기를 좋아한다면    SNS에서 좋아요, 댓글로    소통하는 걸 즐긴다면    셔터브리티에 지원해보세요!    나와 비슷한 피부톤/타입을 가진 사람들과    좋아요, 댓글을 통해 소통하며    팔로워도 얻을 수 있어요! ', '혜택 자세히 보기', ' Shutterbrity Say 콘텐츠디자이너 # 건성 , 쿨톤    숏폼, 화보 촬영을 통해    다채로운 경험을 할 수 있어 좋았고,    다양한 사람들을 만나    영감을 얻을 수 있었어요! 막학기대학생 # 지성 , 쿨톤    관심사가 비슷한 사람들끼리 모여    소통할 수 있어 좋았고,    셔터브리티의 모델이 될 수 있어서    뜻깊었습니다. 영감을 얻을 수 있었어요 릴스공장장 # 수부지 , 웜톤    다양한 제품들로 숏폼 영상을 촬영하고    편집하는게 재미있었어요!    숏폼 영상 촬영과 편집 실력도    점점 늘었어요! 도자공예디자이너 # 복합성 , 웜톤    셔터브리티만의    다양한 행사들 덕분에 활동 기간 동안    특별한 날들이 많았어요!    정말 즐거웠습니다   헬스광연구원 # 수부지 , 쿨톤    헤메코를 받으며 화보촬영을 하는 순간,    잠시나마 셀럽이 된 것 같아    셔터브리티 하길 잘했단    생각이 들었어요!    ', ' howto 셔터브리티 지원 방법 01 모집 인원 300명 02 모집 기간 23년 10월 16일 - 11월 5일 03 대상자 발표 23년 11월 22일 - 11월 24일 이내 (문자 및 온라인몰 공지 발표) 04 활동 기간 24년 1월 1일 - 6월 30일 (6개월 간) 05 지원 필수 조건 프로필 정보 모두 등록 (프로필 사진, 닉네임, 자기소개문구, 피부컨디션) 셔터 게시물 3건 작성 ', '프로필 정보 모두 등록', '셔터 게시물 3건 작성', '프로필정보 등록하러 가기', '지원하기', '수정하기', '꼭 알아두세요', ' 24년 상반기 셔터브리티 지원서 1. 인스타그램 프로필 링크 (공개 계정에 한하여 기재)    ※ 셔터브리티 선정 시, 실제 활동할 계정을 입력해주세요. 2. 인스타그램 외 다른 SNS가 있다면 적어주세요. (블로그, 유튜브, 틱톡 등) 3. 휴대폰 번호    ※ 셔터브리티로 선정 시 문자로 안내할 예정이니, 정확하게 입력해주세요 지원해주셔서 감사합니다.    이벤트 기간 내에,    - 프로필 네 가지 모두 등록하고    - 셔터 게시물 3건 이상 작성해주세요! ', '제출하기', '수정하기', ' ""너의 색깔""을 보여줘\u200b 미뇽씨 #봄웜톤, 민감성 Heepy #쿨톤, 복합성 잰히 #쿨톤, 민감성 혜깡 #봄웜톤, 민감성 ', '닫기', '닫기', '닫기', '등록하러 가기', '닫기']",[],"https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102970007&trackingCd=Home_Planshop1_2_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=같이 할래, 셔터브리티?-고영은&t_number=2"
10월 올영pick,none,none,올영PICK,"

올영PICK
올리브영이p!ck한이 달의 브랜드
베스트 아이템 한정특가


",[' 올영p!ck 10월 '],"['전체', '슬로우에이징🧡', '수분충전 3STEP💧', '촉촉함에 놀라지 마세요💙', '차오른다 수분광💦', 'GRWM💄', '가을바람, 스며드는 향기🍁', '무너지지 않는 손상장벽케어💚', '골라쓰는 바디보습🛁', '컨템포러리 브랜드 아떼💙', '헤어스타일링의 완성💛', '올리브키트상품 특가로 만나기🤗']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102910011&trackingCd=Home_Planshop1_3_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=올영픽-정선일&t_number=3
크리에이터 늘이농의 마이프레셔스,none,none,마이프레셔스,"

마이프레셔스
패러디 장인늘이농의진짜 얼굴
클리오 팔레트 증정 댓글 이벤트


","[' MY PRECIOUS creator @neul_e.nong My Precious Things Oliveyoung Magazine ', ' MY PRECIOUS \t\t\t\t열일곱 번째 <마이 프레셔스>의 주인공, \t\t\t\t크리에이터 늘이농은 어떤 캐릭터든 \t\t\t\t완벽하게 소화해 내죠. 카메라 앞과 뒤에서 \t\t\t\t180도 달라지는 그의 모습을 포착했습니다. \t\t\t\t기사 하단의 댓글 이벤트도 기대해주세요. \t\t\t ', "" Scene #1 \t\t\t\tON AIR \t\t\t \t\t\t\t크리에이터는 감독도, 작가도, 배우도 \t\t\t\t될 수 있어서 재미있어요. \t\t\t\t제가 되고 싶은 모든 것을 시도해 볼 수 있고, \t\t\t\t혼자서 하는 일이기 때문에 \t\t\t\t꼭 잘 해내야 한다는 부담도 없죠. \t\t\t\t조금 부족하더라도 무엇이든 \t\t\t\t해냈다는 것만으로도 의미가 있으니까요. \t\t\t '늘이농'이라는 닉네임의 의미가 궁금해요. \t\t\t\t\t늘이농의 ‘농’이 옷장을 의미하는 농이에요. \t\t\t\t\t원래 패션 콘텐츠를 주로 만들었기 때문에 \t\t\t\t\t‘하늘이의 옷장’을 줄여서 늘이농이라고 지었어요. \t\t\t\t\t이제는 SNS에 패션뿐만 아니라 \t\t\t\t\t다양한 콘텐츠를 올리고 있어 다양한 주제를 \t\t\t\t\t가득 담고 있는 큰 옷장이라고 생각하고 있어요. \t\t\t\t 공무원을 준비하다가 어쩌다 크리에이터가 되었나요? \t\t\t\t\t원래 유튜버가 되고 싶었어요. \t\t\t\t\t그런데 촬영만 하면 유독 재미 없어지는 제 모습을 \t\t\t\t\t보고 유튜버에는 재능이 없다고 생각했어요. \t\t\t\t\t그래서 전공에 맞춰 교도관 시험을 준비하기도 하고, \t\t\t\t\t패션 브랜드에서 디자이너로 일하기도 했죠. \t\t\t\t\t그런데 제가 진짜 하고 싶은 일이 무엇일까 \t\t\t\t\t스스로에게 계속 질문을 해보니 답은 하나 더라고요. \t\t\t\t \t\t\t\t\t연예인들 중에 I 성향인 사람이 생각보다 많다고 \t\t\t\t\t하잖아요. 저도 INFP라 생각보다 부끄럼이 많아요. \t\t\t\t\t콘텐츠를 만들겠다고 마음먹는데 시간과 용기가 \t\t\t\t\t많이 필요했어요. 하지만 촬영할 때만큼은 \t\t\t\t\t‘내가 최고’라고 생각하고 촬영을 해야 하는 것 \t\t\t\t\t같아요. \t\t\t\t MY PRECIOUS THINGS 1 \t\t\t\t나의 첫 명품 백, YSL 니키 미디엄 숄더백. \t\t\t\t원래 명품에 관심이 많지 않은데, 결혼식 \t\t\t\t같은 특별한 날을 위한 가방이 필요해 \t\t\t\t구매했어요. 로고가 튀지 않고 어떤 \t\t\t\t스타일에도 잘 어울려서 할머니가 되어도 \t\t\t\t매고 다닐 수 있을 것 같아요. \t\t\t "", ' Scene #2 \t\t\t\tGo Backstage \t\t\t \t\t\t\t15초의 짧은 영상이지만, 단 한 번도 영상을 \t\t\t\t대충 찍은 적이 없어요. 항상 열심히 찍는다 해도 \t\t\t\t반응은 천차만별이지만요. \t\t\t\t업로드 직전까지 재미가 없는 것 같아 ‘올리지 말까’ \t\t\t\t생각했었던 영상이 조회 수가 2천만 회가 \t\t\t\t나오기도 했어요. 아직도 영상을 업로드할 때마다 \t\t\t\t반응이 어떨까 긴장해요. \t\t\t 콘텐츠를 준비하는 데 얼마나 걸리나요? \t\t\t\t\t짧은 영상이지만, 그 과정이 짧지는 않아요. \t\t\t\t\t의상과 소품을 준비하는 것부터 촬영과 편집을 하는 \t\t\t\t\t시간까지 합치면 2주 정도 걸리죠. 촬영 시간은 보통 \t\t\t\t\t15시간 정도 걸리는데, 가장 오래 찍은 건 \t\t\t\t\t이틀이나 걸렸어요. \t\t\t\t 찍는 데 가장 힘들었던 콘텐츠는 무엇인가요? \t\t\t\t\t아무래도 커버 영상이 가장 힘들어요. \t\t\t\t\t의상과 메이크업을 비슷하게 따라 하고, 연기와 \t\t\t\t\t춤까지 연습해야 해요. 특히 <스트릿 우먼 파이터 2> \t\t\t\t\t바다님을 커버했을 땐 안무를 3일 내내 연습했는데 \t\t\t\t\t결과는 처참했어요. 그래도 저는 최선을 다했기 때문에 \t\t\t\t\t후회는 없습니다. 무엇이든 하지 않는 것보단 하는 게 \t\t\t\t\t나으니까요! \t\t\t\t ', ' \t\t\t\t촬영을 할 때나 평소에 가장 자주 쓰는 \t\t\t\t화장품들이에요. 휴학을 할 정도로 심했던 \t\t\t\t아토피 피부에도 유일하게 자극이 없었던 \t\t\t\t제품이라 사계절 내내 사용 중입니다. \t\t\t \t\t\t\t지금은 피부가 많이 회복되어서 화장도 \t\t\t\t즐기게 되었는데, 특히 속눈썹을 강조하는 \t\t\t\t걸 좋아하는 저한테 클리오 킬래쉬 \t\t\t\t마스카라는 인생템이죠. 데일리한 뮤트 톤 \t\t\t\t아이 메이크업 을 즐긴다면 프로 아이 \t\t\t\t팔레트 에어 03 뮤트 라이브러리도 강력 \t\t\t\t추천해요. \t\t\t ', '클리오 프로아이팔레트에어 싱글 섀도우 보러가기', '에스트라 아토베리어365 하이드로 수딩크림 보러가기', '클리오 클리오 킬래쉬 수퍼프루프 마스카라 보러가기', ' Scene #3 \t\t\t\tMe Time \t\t\t \t\t\t\t처음으로 알고리즘을 타게 해준 <더 글로리> 박연진 \t\t\t\t커버 영상으로 덕을 많이 봤어요. 꿈같은 일이지만, \t\t\t\t개인적으로 배우 임지연 님을 좋아해서 한 번쯤 꼭 \t\t\t\t만나고 싶어요. 임지연 님이 열심히 활동하시는 걸 \t\t\t\t보면서 저도 에너지를 많이 받았거든요. \t\t\t <더 글로리>에 이어 <마스크걸>, <나는 솔로> 등 핫한 캐릭터 커버 영상이 특히 인기가 많았죠. 혹시 지금 준비 중인 캐릭터가 있나요? \t\t\t\t\t댓글로 요청이 많았던 <꽃보다 남자> 하재경 \t\t\t\t\t메이크업을 해볼 예정이에요. \t\t\t\t\t감사하게도 닮았다는 말씀을 많이 해주시더라고요. \t\t\t\t\t또 남자 아이돌 메이크업도 해보고 싶어요. \t\t\t\t 촬영을 하지 않을 땐 무엇을 하나요? \t\t\t\t\t일상 자체가 영상이 소재이다 보니, 일과 일상이 \t\t\t\t\t구분이 잘 안돼요. 모든 일상을 콘텐츠로 바라보게 \t\t\t\t\t되어버렸어요. \t\t\t\t\t유튜브를 봐도 “다음에 따라 해볼까?”란 생각이 들고, \t\t\t\t\t쇼핑을 해도 “이걸 추천해 볼까?” 싶죠. \t\t\t\t\t그런데 강아지랑 놀 때는 이런 생각을 하지 않고 \t\t\t\t\t하염없이 귀여워만 할 수 있어요. 강아지랑 교감하는 거 \t\t\t\t\t자체가 힐링이 돼서 카메라를 들지 않을 땐 주로 \t\t\t\t\t강아지랑 시간을 보냅니다. \t\t\t\t 크리에이터로서 힘든 점이 있나요? \t\t\t\t\t무엇이든 혼자 해야 한다는 점이요. \t\t\t\t\t좋으면서도 힘든 점이죠. 제가 모든 것을 결정할 수 \t\t\t\t\t있지만, 거기에 따른 책임 역시 제가 모두 혼자 져야 \t\t\t\t\t하니까요. 많은 사람들에게 보이는 직업이지만 \t\t\t\t\t모두를 만족시키지 못한다는 점도 힘든 것 같아요. \t\t\t\t\t칭찬이든 비판이든, 다양한 평가에 익숙해져야 하는 것 \t\t\t\t\t같아요. \t\t\t\t MY PRECIOUS THINGS 5 \t\t\t\t크리에이터가 되기 전, ‘하이스쿨디스코’ \t\t\t\t라는 브랜드에서 일했어요. 론칭 시기에 \t\t\t\t브랜드 디렉팅을 맡았죠. 그 시기에 잡았던 \t\t\t\t무드가 계속되는 것 같아 뿌듯합니다. \t\t\t\t이 슬립은 이 브랜드에서 가장 좋아하는 \t\t\t\t옷이에요. \t\t\t 크리에이터로서 이루고 싶은 꿈이 있나요? \t\t\t\t\t누군가에게는 스크롤 하나로 끝나는 짧은 시간인 \t\t\t\t\t15초의 콘텐츠로 길게 여운을 남기고 싶어요. \t\t\t\t\t광고처럼 짧게 지나가는 숏폼이 또 하나의 장르이자 \t\t\t\t\t전문 분야로 인정받고 있지만, 더 다양한 콘텐츠로 많은 \t\t\t\t\t사람들을 감동시키는 크리에이터가 되고 싶습니다. \t\t\t\t \t\t\t\t\t저는 사실 잘 꾸미지도 못하고, 낯도 많이 가리는 \t\t\t\t\t사람이에요. 무언가를 만드는 게 재미있어 계속하다 \t\t\t\t\t보니 어느새 직업이 되어 있네요. \t\t\t\t\t‘나는 이런 사람이라 안돼’라며 포기하지 말고 한 번쯤 \t\t\t\t\t도전해 본다면, 새로운 내 모습을 발견할 수 \t\t\t\t\t있지 않을까요? \t\t\t\t ', ' Editor 하제경 Model 늘이농 Photographer 오아랑 Videographer 김상은 Hair & Makeup 정지은 Stylist 고태우 Designer 최우람 ', ' 댓글 EVENT \t\t\t\t크리에이터 늘이농에 대해 새롭게 알게 된 사실을 \t\t\t\t댓글로 남겨주세요. 클리오 프로아이팔레트에어 03 \t\t\t\t뮤트 라이브러리를 선물로 드립니다. \t\t\t 10명 이벤트 기간 23.10.25 (수) - 10.31 (화) 참여 방법 1) 마이 프레셔스 Vol.17 늘이농 인터뷰 & 화보 감상하기 2) 기사 하단에 늘이농에 대해 새롭게 알게된 사실을 댓글로 남기기 당첨자 발표 23.11.10 (금) ', '이벤트 참여하러 가기']","['전체', '늘이농의 인생템', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102330017&trackingCd=Home_Planshop1_4_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=마이프레셔스-하제경&t_number=4
비벨벳 플루이드 파운데이션 선런칭,23.10.29,23.10.31,에스쁘아,"

에스쁘아
도구 없이도결점없는피부 표현
선런칭 기념 최대 21%할인


",[' espoir 도구 없이 슥-얇은 커버 비벨벳 플루이드 파운데이션 선런칭'],"['전체', '비벨벳 플루이드 파운데이션 ', '🤍베이스 더보기🤍', '🤍아이🤍', '🤍립🤍', '\xa0', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102750232&trackingCd=Home_Planshop1_5_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=1004-1001-권세희&t_number=5
🍊락토핏&아임비타 BEST 특가🍋,23.10.23,23.10.31,락토핏/아임비타,"

락토핏/아임비타
이른 추위에면역력부터챙겨요
최대 40%할인


",['10.23-10.31 락토핏&아임비타 BEST 특가 기획 #올영단독기획 #장바구니쿠폰'],"['전체', '😍놓칠 수 없는 기획세트😍', '락토핏 골라보기💛', '아임비타 골라보기🧡']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102830104&trackingCd=Home_Planshop1_6_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=1004-4002-이수빈&t_number=6
none(기타),none,none,센텔리안24,"

센텔리안24
숨어있는기미까지케어해요
최대 55%할인


",[],none,https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102790132&trackingCd=Home_Planshop1_7_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=1004-0502-유선경&t_number=7
귀여운 몰랑이로 생리 스트레스 BYE!,23.10.23,23.10.31,예지미인,"

예지미인
그날의불쾌함까지흡수해요
최대 55%할인


",['10.23-10.31 생리짜증까지 흡수하는 예지미인 초특가 기획전 올영단독 몰랑이 띠부실/키링 굿즈 할인'],"['전체', 'NEW! 귀염뽀짝 몰랑이 키링&띠부씰 세트', '💖예지미인 BEST💖', '생리통엔 따뜻한 찜질용품💖', '첫 시작을 위한 초경선물세트💖', '\xa0', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102860105&trackingCd=Home_Planshop1_8_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=1004-5003-박수영&t_number=8
🍁가을 염색약 추천,23.10.23,23.10.31,셀프염색,"

셀프염색
올드머니룩과어울리는컬러체인지
최대 47%할인


",[' 집에서 연출하는 트렌디한 헤어컬러 가을맞이 컬러 체인지! 최대 47% 할인'],"['전체', '2주마다 컬러체인지#자연이랑', '나에게 꼭맞는 헤어컬러#미쟝센', '19가지 트렌디한 헤어컬러#이지엔', '염색부터 케어까지 #로레알 ', '\xa0', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102850133&trackingCd=Home_Planshop1_9_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=1004-3103-윤지은&t_number=9
베네피트 NEW! 틴트 2종 출시🤍,23.10.23,23.10.31,베네피트,"

베네피트
가을 무드에생기한 스푼
신상틴트 최대 10%할인


",[' 베네피트 NEW 틴트 2종 출시 기념 신상품 10% 할인'],"['전체', '글로우 vs 벨벳, 원하는대로 P!CK', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102780129&trackingCd=Home_Planshop1_10_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=1004-2102-황하영&t_number=10
