promo_title,promo_start_dt,promo_end_dt,banner_title,banner_desc,promo_contents,promo_catgs,banner_link
슈퍼브랜드데이 빌리프,none,none,빌리프,"

빌리프
4일간 만나는특별한 할인,한정 수량 증정
슈퍼브랜드데이 역대급 혜택


","[' SUPER BRAND DAY 빌리프 10.7 ~ 10.10 ', ' 빌리프 x 슈퍼브랜드데이 역대급 혜택 릴레이 최대 1만원 쿠폰부터 기프트카드 리워드까지! 쿠폰, 선착순! 매일 추가 할인 하루 특가, 오직 단 하루 단독 특가, 최대 50% 첫 구매 이벤트, 5천원 증정 리워드 펀딩 이벤트, 1천원 증정 선착순 증정, 망설이면 소진, 매일 한정수량 증정 ', ' belif, believe in truth believe in truth, 빌리프. 뛰어난 성분과 효능을 안전하고 정직하게 전합니다. ', ' 선착순 쿠폰 매일 0시, 최대 1만원 추가 할인 APP에서 참여해보세요! ', ' 첫구매 이벤트 빌리프 첫 구매 후 응모 시 기프트카드 5천원 100% 증정 APP에서 참여해보세요! ', ' 리워드 펀딩 이벤트 목표 주문 달성 시 기프트카드 100% 증정 1. 빌리프 아쿠아 밤과 모이스춰 라이징 밤 최고 매출 5000개 달성 시, 구매 개수 x 1000원 리워드 증정 아쿠아 밤 2개 구매 + 5000개 달성 = 2000원 리워드 증정 2. 아쿠아 밤 또는 모이스춰라이징 밤 구매 후 응모하기 클릭하면 끝! APP에서 참여해보세요! ', ' 빌리프 X 슈퍼브랜드데이 최대 할인 및 혜택 QR 코드를 찍고 지금 바로 APP에서 만나보세요! ']","['전체', '오늘의 특가', 'BEST', '광채', '탄력', '수분쿨링', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000104110042&trackingCd=Home_Planshop1_1_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=빌리브 슈퍼브랜드데이&t_number=1
10월 선물하기,24.10.01,24.10.31,선물하기,"

선물하기
10월의 마음은선물하기로전해요
2천원 선물 쿠폰 증정


","[' 10월 선물하기로 놀러와.. 10.01 - 10.31', '쿠폰 쿠폰 받고 선/물/하/기 선물하기 전용 쿠폰 2,000원 APP 2만원 이상 구매 시 행사기간 : 2024. 10.01 - 2024.10.31 APP에서 발급 가능해요! ']","['전체', 'Step.1 색조낭낭템', 'Step.2 스킨뽀용템', 'Step.3 관리뿜뿜템']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000104110045&trackingCd=Home_Planshop1_2_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=선물하기_권서희&t_number=2
올리브영이 제안하는 슬로우에이징,none,none,슬로우에이징,"

슬로우에이징
맞춤성분으로피부 시계를 느리게
고민별 솔루션 찾고 경품 응모까지


","[' 슬로우 에이징 - 피부 고민별 성분 솔루션 ', ' 고민맞춤 성분 찾고 경품 응모까지! 나만의 성분 찾기 조금은 느리게 만들고 싶은 피부 나이! 현재 나의 피부 고민은? 모공 고민 GO - 모공이 넓고 거칠어요 미백 고민 GO - 화사한 안색을 원해요 흔적 고민 GO - 흔적,여드름 자국이 신경쓰여요 잡티 고민 GO - 울긋불긋 잡티가 신경쓰여요 내 고민에 맞는 슬로우에이징 성분을 찾고 39만원 상당의 뷰티 디바이스 응모하세요! 메디큐브 에이지알 부스터 프로 증정(5명) APP에서 참여하세요! ', ' 피부 시간을 느리게, 슬로우 에이징 피부 고민 맞춤 성분 ', ' APP에서 특가와 혜택을 만나보세요! ']","['전체', '모공 교정템', '맑은 안색템', '흔적 삭제템', '잡티 톤업템', '데일리 추천템', '뷰티 디바이스', '이너뷰티']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000104110046&trackingCd=Home_Planshop1_3_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=슬로우에이징 캠페인&t_number=3
바이컬러로 간편한 미백 홈케어,24.10.07,24.10.14,바이컬러,"

바이컬러
칫솔 하나바꿨을 뿐인데효과가 보여요
미백 부스터 장바구니 쿠폰 이벤트


","[' 미백 케어 왜 칫솔로 해? 바이컬러로 빈틈없이 해! 단, 8일간 최대 할인 혜택!']","['전체', 'NEW! 미백케어 폴리셔&키트 ', '칫솔&치약', '가글&스프레이']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000104090133&trackingCd=Home_Planshop1_4_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=구강-1002-1_신상로그온_이보미/오상균/주현선&t_number=4
"가을 피부관리, 아누아의 생기톤업!",24.10.07,24.10.13,아누아,"

아누아
푸석한 가을피부되살려주는핑크빛 광채
장바구니 쿠폰 이벤트 보러가기


","[' 가을철 피부관리 핵심! 생기톤업&광채 기획전 아누아 스페셜케어, 2주면 충분해요']","['전체', '10월의 올영픽, 아누아 BEST', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103890143&trackingCd=Home_Planshop1_5_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=스킨케어-1002-1_메인A_김소현/이희평&t_number=5
변우석 PICK! 크리니크,none,none,크리니크,"

크리니크
그가 선택한컬러로 만드는가을의 분위기
변우석PICK 메이크업 기획전


",[' 크리니크 변우석 PICK 메이크업 기획전'],"['전체', '변우석 PICK 한정기획', 'MD 추천 ITEM', '함께 담으면 좋은 아이템']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103880089&trackingCd=Home_Planshop1_6_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=프리미엄-1002-1_메인B_이유연/최주희&t_number=6
클렌징 정착은 아렌시아,24.10.07,24.10.14,아렌시아,"

아렌시아
모공을 비우면빛과 결이살아나요
떡솝 할인, 장바구니 쿠폰 증정


","[' 블랙헤드, 모공 세정 명품클렌저 그린 떡솝 아렌시아 프레시 그린 클렌저']","['전체', '아렌시아 10월 한정기획', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103920097&trackingCd=Home_Planshop1_7_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=클렌징-1002-1_강민경/구자경&t_number=7
피부 속부터 채우는 글로우 메이크업,24.10.07,24.10.14,라네즈,"

라네즈
글로우 스킨을 위한완벽한 조합
네오쿠션 & 세럼 최대할인


",[' 피부 속부터 채우는 글로우 메이크업 네오쿠션 글로우&글로이 세럼'],"['전체', '24시간 촉촉한 쿠션', '밀착 부스팅 세럼', '라네즈 BEST']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103810297&trackingCd=Home_Planshop1_8_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=색조-1002-7_하주영/윤지영&t_number=8
정샘물과 함께 빛나는 피부,24.10.07,24.10.14,정샘물,"

정샘물
타고난 결고급스러운 윤광 표현
쿠션 구매 시 립토퍼 증정


",[],"['전체', '이유있는 베스트셀러', '함께 쓰면 좋은 아이템', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000100010141&trackingCd=Home_Planshop1_9_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=프리미엄-1002-2_이유연/최주희&t_number=9
아비노 더멕사 아토라인 기획전,24.10.07,24.10.14,아비노,"

아비노
건조한 몸확실히 구원하는진정 보습템
더멕사 아토 크림 증정 기획


",[' 아비노 더멕사 아토라인 올리브영 단독 기획전 극악건성 해방크림'],"['전체', '고보습 극악건성 케어', '데일리 민감피부 케어', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103760125&trackingCd=Home_Planshop1_10_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=바디-1002-2_이수형/박수민&t_number=10
환절기 면역관리템 BEST,24.10.07,24.10.14,환절기,"

환절기
필수 체크!눈, 코, 입부위별 면역력
집중 관리 아이템


","[' #환절기 떨어지는 면역력 집중관리 아이템 눈, 코, 입 부위 별 기관지 집중관리 아이템']","['전체', '눈 면역 관리', '코 면역 관리', '입 면역 관리']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000104090134&trackingCd=Home_Planshop1_11_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=헬스에이드-1002-1_이보미/오상균/주현선&t_number=11
"홈 에스테틱 정석 에이지알, 7일특가",24.10.07,24.10.13,메디큐브 에이지알,"

메디큐브 에이지알
광채 케어부터탄력 관리까지내 손 안의
완벽한 홈 에스테틱


",[' 울트라 튠 X 부스터프로 완벽한 홈스테틱 조합 광채케어부터 콜라겐 생성까지'],"['전체', '윤곽 탄력 마스터, 프로&울트라튠', '부위별로 세심하게 케어', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103830054&trackingCd=Home_Planshop1_12_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=미용소품-1002-3_홍지현/이민영&t_number=12
