promo_title,promo_start_dt,promo_end_dt,banner_title,banner_desc,promo_contents,promo_catgs,banner_link
4월 올리브 데이,24.04.25,24.04.27,올리브 데이,"

올리브 데이
단 3일간만나는올리브 멤버스
등급별 쿠폰 혜택을 만나보세요


","[' 올리브 멤버스를 위한 OLIVE DAY 4.25(목)~4.27(토) ', ' 올리브 멤버스 등급별 혜택! 4만원 이상 구매시, 최대 2만원 할인 GOLD OLIVE 15% BLACK OLIVE 12% 3만원 이상 구매시 GREEN OLIVE 10%, 최대 2만원 할인 PINK OLIVE 3천원 할인 BABY OLIVE 2천원 할인 BABY OLIVE 등급의 경우 4/23(화)까지 신규 가입한 고객 한정 쿠폰 발급 쿠폰은 자동발급 되었어요 ']","['전체', '필리밀리 데이💚', 'Luxe Edit 빌리프✨', '올리브 특가🎁']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000104140001&trackingCd=Home_Planshop1_1_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=올리브 데이&t_number=1
❤가정의달 기프트❤,none,none,가정의 달 기프트,"

가정의 달 기프트
선물하기 좋은아이템을모았어요
선물하기 쿠폰 2종 증정


","[' 가정의달 기프트 ', ' 선물 쿠폰 사랑이 가득한 달, 마음을 전하는 날 APP에서 발급 가능해요! ', ' 특별한 선물 추천 선물로 전하는 마음 APP에서 모든 혜택을 만나보세요! ']","['전체', '럭셔리 선물✨', '뷰티 선물💖', '건강 선물💪', '스페셜 선물💙', '\xa0', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000104110015&trackingCd=Home_Planshop1_2_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=가정의달 기프트 1탄&t_number=2
Change your Vibe,24.04.01,24.04.30,메이크업 트렌드,"

메이크업 트렌드
오늘 룩에어울리는색조 아이템은?
셔터에 올리고 경품받기


","[' 색조 트렌드리딩 캠페인 ', ' Change Your Vibe VIEW VIBE LOOK BOOK 나만의 바이브 찾고, 특가템 만나보기! 하이틴 Vibe 투쿨포스쿨 프로타주 펜슬 투크 워터프루프 슬림 아이라이너 코링코 톡톡하라 속눈썹 컬러그램 탕후루 탱글 틴트 VIEW VIBE LOOK BOOK 나만의 바이브 찾고, 특가템 만나보기! 클린 Vibe 롬앤 베러 댄 치크 롬앤 글래스팅 멜팅 밤 컬러그램 틴토리 잼 VIEW VIBE LOOK BOOK 나만의 바이브 찾고, 특가템 만나보기! 클래식 Vibe 롬앤 베러 댄 팔레트 투쿨포스쿨 바이로댕 쉐이딩 투쿨포스쿨 픽싱 듀 쿠션 APP VIBE CHANGE YOUR VIBE 다양한 혜택과 이벤트를 지금 바로 매장과 APP에서 만나보세요! ']","['전체', '하이틴 바이브', '클린 바이브', '클래식 바이브']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000104110009&trackingCd=Home_Planshop1_3_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=4월 색조 트리캠&t_number=3
"새로운 바디 루틴, 비클리닉스!",24.04.22,24.04.28,비클리닉스,"

비클리닉스
거뭇한 피부밝히는비타로션
런칭기념 최대할인


",[],"['전체', 'NEW 비클리닉스 런칭 특가❤', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103760046&trackingCd=Home_Planshop1_4_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=바디-404-1_신상로그온_이수형&t_number=4
매끈한 피부 결을 위한 뾰족한 수,none,none,VT,"

VT
피부 결모공 잡는뾰족한 수
리들샷 최대 20% 할인


","[' BRAND WEEK PLUS VT CICA REEDLE Reedle Shot CREATED BY OLIVEYOUNG MAGAZINE', 'Need a Shot? Reedle Shot 100 혁신적인 피부 과학 테크놀로지로 근본적인 피부 고민을 해결해 주는 ‘VT’. 마이크로 사이즈 미세 입자 성분이 피부 속1)에 깊숙이 작용하여 매끄럽고 건강한 본연의 피부로 만들어 줍니다. 까다로운 환절기 피부, 오늘부터 뾰족하게 케어해요. ', ' BENEFIT 1 브랜드 위크 기간 중 VT 브랜드 위크 행사 상품 구매 시 사용 가능한 5% 장바구니 쿠폰을 드립니다. VT 장바구니 쿠폰 5% APP 5만원 이상 구매 시 최대 3천원 할인 행사기간 : 2024.4.22 - 2024.4.28 APP에서 확인하세요 BENEFIT 2 브랜드 위크 기간 중 VT 브랜드 위크 행사 상품 구매 시 VT 시카 레티-에이 STEP 사셰 샘플 키트 증정 한정수량 BENEFIT 3 브랜드 위크 기간 중 VT 브랜드 위크 행사 상품 5만원 이상 구매 시 VT 리들샷 시너지 클렌징 젤 150ml 증정 한정수량 ', '꼭 알아두세요', 'Deep Into 환절기로 유난히 거칠어진 피부 결과 늘어난 모공이 신경 쓰인다면 피부 속을 들여다 볼 때. 01ENERGY SHOT ', 'Touch here', ' 피부 겉만 건드리는 스킨케어 대신 첫 단계부터 피부 속1) 에너지를 깨워요. 마이크로 미세 입자 성분에 시카를 코팅하여 만든 VT만의 시카 리들이 유효성분의 깊은 흡수를 도와줍니다. 시카 리들 성분이 섬세하게 피부에 작용하여 피부 흡수와 묵은 각질 정돈을 도와 매끈한 피부 컨디션을 만들어요. 피부 컨디션을 깨워주는 부스팅 제품이라 첫 단계에 손가락으로 꾹꾹 누르듯 펴 발라주세요. 수분이 가득한 수딩 제형으로 유효성분이 흡수되는 과정 속 피부가 따끔거려요. 다음날 아침, 부드러워진 피부 결2)을 보며 이제 매일 따끔거림을 즐기게 되죠. ', ' 100샷의 따끔거림과 효과가 익숙해질 때쯤 리들샷 단계를 높여 보세요. 리들샷 300은 3일 주기 사용을 권장해요. 매끈해진 피부 결2)과 모공3) 덕분에 피부를 자세히 들여다봐도 자신 있어요. 본연의 피부가 좋아져 베이스 메이크업으로 두껍게 가릴 필요가 없죠. ', 'VT 리들샷 100 에센스 50ml 상품 보러가기', 'VT 리들샷 100 에센스 50ml 장바구니 담기', ' 02ALL IN ONE ROUTINE 2 STEP MASK 시카 리들 성분의 섬세한 작용 덕분에 다음 단계의 성분까지 더 깊게 흡수될 수 있도록 도와주죠. 리들샷 100 2스텝 마스크는 1단계 피부 결2)은 물론, 2단계 보습까지 어디서든 간편하게 관리할 수 있어요. HOW TO 1STEP 리들샷 100을 바른 뒤 2STEP 마스크를 붙이면 끝. 마스크 시트가 피부 표면에 덮여 더 효과적인 흡수를 도와줍니다. 마스크 에센스 성분의 깊은 흡수를 도와 거친 피부를 매끈하게 하고 수분 보호막을 부여해요. ', 'VT 리들샷 100 2스텝 마스크 상품 보러가기', 'VT 리들샷 100 2스텝 마스크 장바구니 담기', ' 03SHOOT SYNERGY PDRN 리들샷으로 피부 속1)에서부터 깨운 에너지에 PDRN 탄력 영양을 더해요. 3세대 스킨 부스터로 유명한 PDRN 성분을 산삼에서 추출하여 더 순하게 피부 생기와 탄력을 채워줍니다. 밀착력 있는 제형으로 리들샷과 시너지가 좋아요. 끈적임 없이 쫀쫀해지는 마무리감으로 피부 광채가 필요할 때 특별하게 케어해요. 매끈하고 탄력 있는 피부로 지금의 아름다움을 더 오래 유지해요. ', ' 둔감했던 피부 속1) 에너지를 깨워 본연의 건강한 피부로 다시 태어나 볼까요? ', 'VT PDRN 에센스 100 30ml 상품 보러가기', 'VT PDRN 에센스 100 30ml 장바구니 담기', 'VT COSMETICS BRAND SHOP 보러가기', ' Editor 신혜정 Photographer 서원기 Model 정원 Hair 박수정 Makeup 박수지 Fashion stylist 김영범 Designer 신유나 ', ' 1) 피부 각질층 2) 리들샷 100, 리들샷 300의 피부 결(거칠기) 개선에 대한 HALF TEST 인체적용시험 \t 연구 기관 ㈜KC피부임상연구센터 시험 기간 23.02.06~23.02.13 연구 대상 만 20~59세의 성인 여성 20명 3) VT 리들샷 100에 대한 인체피부 개선효과 평가시험 - (즉각적) 세로 모공(길이) 및 (즉각적) 모공 수 개선 \t 연구 기관 KSRC한국피부임상연구센터 시험 기간 2023.09.04~2023.09.19 연구 대상 만 20~59세의 성인 22명 ', '닫기', ' 피부 속1)에서 깨우는 에너지 CICA REEDLE™ 은 모공보다 14배 얇은 두께로 섬세하게 피부를 자극하여 피부 흡수를 도와줍니다. ', '닫기']","['전체', '매끈 피부결 VT', '2스텝 마스크팩', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103110018&trackingCd=Home_Planshop1_5_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=스킨케어-404-1_브랜드위크_김소현&t_number=5
💜김지영 P!CK 닥터그루트 두피케어,24.04.22,24.04.30,닥터그루트,"

닥터그루트
집에서 누리는두피클리닉효과
아쿠아 두피토닉 증정


",[' 떡지지 않는 두피영양케어 아쿠아 두피토닉 & 괄사 닥터그루트 아쿠아 두피 토닉 10ML 증정'],"['전체', 'NEW 닥터그루트 아쿠아', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103770056&trackingCd=Home_Planshop1_6_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=헤어-404-1_메인A_김수진&t_number=6
대웅제약 와다다곰 콜라보🐻,none,none,대웅제약,"

대웅제약
와다다곰과외쳐요오늘하루 화이팅
에너씨슬 와다다곰 콜라보


",['04.22-04.30 마시면 덜 지쳐요! 에너씨슬 퍼펙트샷 이뮨+ 대웅제약 에너씨슬 퍼펙트샷 X 와다다곰 콜라보'],"['전체', '대웅제약 X 와다다곰 🐻', '대웅제약 BEST🎁', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103750072&trackingCd=Home_Planshop1_7_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=건강식품-404-1_메인B_김진주&t_number=7
CHANGE YOUR VIBE! #CLASSIC,24.04.22,24.04.29,메이크업 트렌드,"

메이크업 트렌드
구관이명관인이유가 있어요
BEST 메이크업 아이템 할인


",[' Change Your Vibe 오늘의 바이브를 골라봐!'],"['전체', '깔끔한 피부 표현', '입체 윤곽 살리는 컨투어링', '깊은 눈매와 투명한 립 연출']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103810100&trackingCd=Home_Planshop1_8_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=색조-404-2_하주영&t_number=8
크리니크 BEST 만나보기✨,none,none,크리니크,"

크리니크
꽃잎의부드러운색감을 당신에게
베스트 상품 할인 행사


",[],"['전체', '크리니크 BEST 💜', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103880045&trackingCd=Home_Planshop1_9_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=프리미엄-404-2_이유연&t_number=9
가정의달 선물 미리준비하기,none,none,가정의 달 선물하기,"

가정의 달 선물하기
향긋한일상을선물해요
식품 선물 추천리스트 확인


",['2024 Family Day 가정의 달 선물 고민 끝! 센스있는 식품 선물로 5월 미리 준비해요'],"['전체', '1만원 미만', '1만원~2만원대', '3만원~4만원대', '5만원 이상', '\xa0', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103680071&trackingCd=Home_Planshop1_10_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=일반식품-404-4_최혜민&t_number=10
