promo_title,promo_start_dt,promo_end_dt,banner_title,banner_desc,promo_contents,promo_catgs,banner_link
11월 올영PICK,none,none,올영PICK,"

올영PICK
올리브영이PICK한이 달의 브랜드
BEST 아이템 특가


",[' 올영PICK 11월 올리브영 APP과 매장에서 만나보세요! '],"['전체', '차근차근 이너뷰티 정주행', '보습 그 이상의 장벽케어 ', '데일리 기초케어 루틴', '고기능성 스킨케어 추천', '깨지지 않는 두겹 광택', 'FW 스타일링 가이드', '요즘 파우치 필수템', '올데이 케어 솔루션', '럭셔리 손상모 헤어케어', '차별화된 올리브영 W케어', '올리브 키트 특가로 만나기']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103650011&trackingCd=Home_Planshop1_1_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=올영픽_조성은&t_number=1
에스쁘아 플럼핑 볼륨특공대,24.11.11,24.11.17,에스쁘아,"

에스쁘아
탱글 입체광책임지는볼륨특공대 런칭
단독 기획 키링 증정 & 할인


",[],"['전체', '에스쁘아 3D 플럼핑 볼륨특공대!', '에스쁘아 립 BEST', '에스쁘아 베이스 BEST', '에스쁘아 아이 BEST', '\xa0', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000100010374&trackingCd=Home_Planshop1_2_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=색조-1102-1_신상로그온_박여경/이민경&t_number=2
"케라스타즈, 손 끝의 부드러움",24.11.01,24.11.30,케라스타즈,"

케라스타즈
모발 고민별맞춤 솔루션으로케어하세요
베스트셀러 할인 & 증정 기획


",[],"['전체', '올리브영 단독 기획', '손상모 케어', '두피 케어', '볼륨 케어', '염색모 케어', '영양 케어', '홈살롱 케어']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000100010254&trackingCd=Home_Planshop1_3_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=프리미엄-1102-1_브랜드위크_이유연/최주희&t_number=3
"세럼 맛집 메디힐, 네모세럼 특가",24.11.11,24.11.17,메디힐,"

메디힐
수분 모공 흔적손쉽게 해결하는네모세럼 만나요
더블기획 출시 한정 특가


",[],"['전체', '고민 별 네모세럼 맞춤 솔루션', '한 장으로 손쉽게 해결!', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000100010411&trackingCd=Home_Planshop1_4_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=스킨케어-1102-1_메인A_김소현/이시은&t_number=4
"유시몰X헬로키티, 보랏빛 화이트닝",24.11.11,24.11.18,유시몰,"

유시몰
헬로키티와 함께깨끗하고환하게 웃어요
콜라보 스페셜 아이템 3종 증정


",[],"['전체', '유시몰 X 헬로키티 ', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000100010351&trackingCd=Home_Planshop1_5_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=구강-1102-1_메인B_이보미/오상균/주현선&t_number=5
Young K PICK! 로이비 롤온 향수,24.11.11,24.11.18,로이비,"

로이비
어디서나함께하는우아한 향기
Young K 포토카드 증정


",[],"['전체', 'YoungK PICK', '더욱 향기롭게', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000100010381&trackingCd=Home_Planshop1_6_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=프리미엄-1102-2_이유연/최주희&t_number=6
수분천재 에스네이처 한정 특가!,24.11.11,24.11.18,에스네이처,"

에스네이처
피부 속에서완성하는빛나는 수분광
NEW & BEST 할인


",[],"['전체', '모공쫀쫀! 화잘먹 수분천재크림', '속촉촉 데일리 BEST템', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000100010413&trackingCd=Home_Planshop1_7_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=스킨케어-1102-3_김소현/이시은&t_number=7
"브러쉬 명가 화홍이 만든, 화홍엠!",24.11.11,24.11.18,화홍엠,"

화홍엠
딱 필요한 만큼예쁘게 더하는영롱한 빛
글리터 브러쉬 출시 이벤트


",['영롱하게 반짝이는 트윙클 아이 메이크업! 화홍엠 270 글리터 브러쉬 출시 '],"['전체', '화홍NEW', '화홍BEST', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103830099&trackingCd=Home_Planshop1_8_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=미용소품-1102-1_홍지현/이민영&t_number=8
"스킨코어의 힘, 세노비스",24.11.11,24.11.18,세노비스,"

세노비스
이너뷰티부터체력까지꼼꼼히 채워요
BEST 아이템 보러가기


",[],"['전체', '세노비스 올영PICK!', '세노비스 BEST', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000100010347&trackingCd=Home_Planshop1_9_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=건강식품-1102-2_김진주/윤혜정/박진희&t_number=9
Early Holiday with 힐링버드-!,24.11.11,24.11.18,힐링버드,"

힐링버드
뿌리고빗질만 해도결이 달라져요
빗거울 키링 증정 이벤트


",[],"['전체', '간편영양케어', '고밀도손상케어', '쫀쫀단백질샴푸', '힐링버드 BEST 더보기', '\xa0', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000100010392&trackingCd=Home_Planshop1_10_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=헤어-1102-3_김수진/김보은&t_number=10
