promo_title,promo_start_dt,promo_end_dt,banner_title,banner_desc,promo_contents,promo_catgs,banner_link
가을에도 선물하기에서!,24.09.23,24.09.30,선물하기,"

선물하기
풍성한가을 담은마음 표현하기
2천원 선물 쿠폰 증정


","[' 가을맞이 선물하기로 놀러와요 09.23 - 09.30', 'COUPON 쿠폰 받고 선물하자! 선물하기 전용 쿠폰 2,000원 APP 2만원 이상 선물하기 시 사용기간 : 24.09.23 - 09.30 APP에서 발급 가능해요! ']","['전체', '메이크업템', '환절기템', '건강템']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000104110044&trackingCd=Home_Planshop1_1_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=선물하기 활성화_권서희&t_number=1
9월 올영픽,none,none,올영PICK,"

올영PICK
올리브영이PICK한이 달의 브랜드
BEST 아이템 특가


",[' 올영PICK 9월 올리브영 APP과 매장에서 만나보세요! '],"['전체', '우리가 사랑한 서울 뷰티', '환절기 시즌 더모', '환절기 피부 고민 케어', '화잘먹 시즌 패드', '우리가 사랑한 서울의 컬러', '헤어케어 BEST 큐레이션', '환절기 보습&립케어', '마음 가득 건강 선물', '에브리데이 습관 관리', '오랫동안 윤기있게', '올리브 키트 상품 특가로 만나기']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103650009&trackingCd=Home_Planshop1_2_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=올영픽&t_number=2
에뛰드 NOT BAD 컬렉션 출시,24.09.26,24.09.30,에뛰드,"

에뛰드
긱시크감성 담은가을 메이크업
Not Bad 컬렉션 5일 특가


",[],"['전체', '긱 시크 감성 EYE', '맑은 광택&시크 무드 LIP', 'Y2K 사이버 빔 BASE', '에뛰드 BEST템 모아보기', '\xa0', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103810270&trackingCd=Home_Planshop1_3_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=색조-904-4_도지현/박희수&t_number=3
컴포트웨어 FW,none,none,컴포트웨어,"

컴포트웨어
편안한하루를 위한작은 변화
F/W BEST&NEW 특가


",['가을 겨울에도 COMFORT WEAR '],"['전체', '사각팬티 & 팬티', '나시 & 이너웨어', '파자마', '스타킹', '\xa0', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000104220066&trackingCd=Home_Planshop1_4_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=잡화-805-1_박은수/김서영&t_number=4
"톤, 결, 광 개선 아로셀 콜라겐마스크",24.09.23,24.09.30,아로셀,"

아로셀
피부를변화시키는콜라겐의 힘
콜라겐 마스크 최대할인


","[' 콜라겐으로 채워 완성하는 톤, 결, 광 ']","['전체', '콜라겐으로 채워 완성하는 톤, 결, 광!', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103900132&trackingCd=Home_Planshop1_5_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=마스크팩-904-1_정유빈/김진영&t_number=5
향기맛집 트리헛 스크럽,24.09.23,24.09.30,트리헛,"

트리헛
기분까지 좋아지는살결 관리
바디스크럽 & 립케어 할인


",[' 올리브영 7년연속 1위 트리헛 바디스크럽 '],"['전체', '살냄새인 듯 은은한 향기', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103760119&trackingCd=Home_Planshop1_6_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=바디-904-3_이수형/박수민&t_number=6
"건강한 다이어트,푸드올로지",none,none,푸드올로지,"

푸드올로지
가을옷입기 전실루엣 관리
최대할인, 장바구니쿠폰 증정


",['09.23 - 09.30 서현이 선택한 콜레올로지 컷팅젤리 '],"['전체', '건강한 다이어트,푸드올로지', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103750147&trackingCd=Home_Planshop1_7_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=건강식품-904-3_김진주/박진희&t_number=7
부시시한 머릿결엔 모로칸오일!,none,none,모로칸오일,"

모로칸오일
내 모발에최적화된 트리트먼트
9월 한정 단독 특가


",[' 모로칸오일 트리트먼트 올리브영 단독 할인 '],"['전체', '나에게 맞는 트리트먼트 찾기', '함께 쓰면 좋은 제품', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103880084&trackingCd=Home_Planshop1_8_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=프리미엄-904-1_이유연/최주희&t_number=8
