promo_title,promo_start_dt,promo_end_dt,banner_title,banner_desc,promo_contents,promo_catgs,banner_link
5월 올리브 데이,24.05.25,24.05.27,올리브 데이,"

올리브 데이
단 3일간만나는올리브 멤버스
등급별 쿠폰 혜택을 만나보세요


","[' 올리브 멤버스를 위한 OLIVE DAY 5.25(토)~5.27(월)', ' 올리브 멤버스 등급별 혜택! 4만원 이상 구매시, 최대 2만원 할인 GOLD OLIVE 15% BLACK OLIVE 12% 3만원 이상 구매시 GREEN OLIVE 10%, 최대 2만원 할인 PINK OLIVE 3천원 할인 BABY OLIVE 2천원 할인 BABY OLIVE 등급의 경우 5/23(목)까지 신규 가입한 고객 한정 쿠폰 발급 쿠폰은 자동발급 되었어요 ']","['전체', 'Luxe Edit 숨37✨', 'W CARE DAY🌷', '올리브 특가🎁']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000104140001&trackingCd=Home_Planshop1_1_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=올리브 데이&t_number=1
선물하기 With 프리미엄🧡,24.05.20,24.05.27,선물하기 좋은날,"

선물하기 좋은날
선물 쿠폰으로 소중한마음을 전해요
추천 기프트까지 만나보기


","[' 올영세일 선물하기 with premium 5월 20일(월) ~ 5월 27일(월)', ' 특별함의 시작, 럭셔리 선물하기 3천원 할인선물쿠폰 선물하기 쿠폰 3,000원 APP 4만원 이상 선물하기 전용 행사기간 : 24년 5월 20일 ~ 24년 5월 27일 tip장바구니에서 묶음 선물 해보세요! APP에서 발급 받으세요! ']","['전체', '프리미엄 BEST 💙', '정성 넘치는 선물 포장 💕', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000104110019&trackingCd=Home_Planshop1_2_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=프리미엄 선물하기&t_number=2
5월 올영픽,none,none,올영PICK,"

올영PICK
올리브영이PICK한이 달의 브랜드
베스트 아이템 한정특가


",[' 올영PICK 5월 올리브영 APP과 매장에서 만나보세요! '],"['전체', '데일리 헬시 라이프💪', '올리브영 슬로우에이징✨', '당신의 건강선물 PICK💙', '스타일링의 완벽한 정석🎀', '색조 에디션 모음ZIP❤️', '확실한 표적케어, 바이오힐보💜', 'New Scent, New Me🍃', '맨즈뷰티 Trend&New🖤', '여름 바디 피부 진정💚', '숨37 슬로우에이징 기프트💛', 'BE MY ROSE 무지개멘션🌷', '올리브 키트 상품 특가로 만나기👑', '\xa0', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103650005&trackingCd=Home_Planshop1_3_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=올영픽&t_number=3
"그럼 해봐, 셔터브리티!✨",24.05.13,24.06.06,#셔터브리티,"

#셔터브리티
코덕이라면?올영 인플루언서지원하기!
키링 증정 이벤트까지


","[' 올리브영 인플루언서에 지원해보세요 ', '셔터브리티 지원하기', '챌린지하고 키링 받기', '    셔터에서 활동하는 올리브영의 인플루언서예요    SNS에서 나의 매력을 드러내고    좋아요, 댓글로 소통하는 걸 즐긴다면    셔터브리티에 지원해보세요!   ', ' 주요 혜택 뷰티 인플루언서 초청 네트워킹 파티 진행 헬스 & 뷰티 행사 초대 올영티비 등 미디어 출연 기회 +50만원 상당 기프트까지! ', '혜택 자세히 보기', ' 셔터브리티 모집 상세 모집 인원 300명 모집 기간 24년 5월 13일 - 6월 6일 대상자 발표 24년 6월 17일 ~ 6월 21일 이내 (문자 및 온라인몰 공지 발표) 활동 기간 24년 7월 1일 ~ 12월 31일, 6개월 간 활동 내용 월별 미션 수행 (셔터 및 SNS 게시물 업로드) 지원 필수 조건 1.프로필 공개 2.셔터 게시물 1건 업로드 ', '프로필 설정하기', '셔터브리티 지원하기', '수정하기', ' 셔터브리티 3기 지원서 1. 인스타그램 계정명 (공개 계정에 한하여 기재)     ※ 셔터브리티 선정 시, 실제 활동할 계정을 입력해주세요. 2. 이메일주소 ※ 제출해주신 이메일 주소를 통해, 셔터브리티 초대장이 발송될 예정이에요. 3. 휴대폰 번호     ※ 셔터브리티로 선정 시 문자로 안내할 예정이니, 정확하게 입력해주세요 지원해주셔서 감사합니다.    이벤트 기간 내에,    - 프로필 공개 설정 후    - 셔터 게시물을 1건 이상 올려주세요!    ', '제출하기', ' EVENT    #그럼해봐셔터브리티 챌린지    SUTTERBRITY 2기 @yoonz 틴트없이 외출하면 불안한 사람? SUTTERBRITY 2기 @팔틴 눈썹관리 포기 못 하는 사람? SUTTERBRITY 2기 @깅규응 버정 앞 올영 못 참는 사람? SUTTERBRITY 2기 @요현 자차없이 못 나가는 사람? SUTTERBRITY 2기 @김규응 @병아리뿅 친구 영업에 진심인 사람? SUTTERBRITY 2기 @Chako차코 시향지로 부채 만들어 본 사람? SUTTERBRITY 2기 @병아리뿅 @yoonz 점심 먹고 올영 온 사람? SUTTERBRITY 2기 @nnyungin 옆머리 좀 눌러본 사람? 올리브영 전국 매장에 지금 활동중인 셔터브리티 포스터가 붙어 있어요! 전국 매장 윈도우에 부착된 포스터를 찍어 공유해주세요 포스터 부착기간 : 5/13 ~ 5/24 STEP 1. 다양한 버전의 #그럼해봐셔터브리티 포스터를 찾고 STEP 2. “어? 이거 난데?” 혹은 “이거 내 친군데?” 공감되는 포스터 찰칵! STEP 3. 인스타그램에, 포스터 문구와 딱 맞는 친구를 태그하고 게시물을 올려주세요! 필수 해시태그: #그럼해봐셔터브리티 총 200명에게 모어쥬드 키링을 선물로 드려요 (랜덤증정) ', '응모하기', '수정하기', '꼭 알아두세요', ' #그럼해봐셔터브리티 챌린지 #그럼해봐셔터브리티 해시태그를 포함하여 게시물을 올리고 인스타그램 링크를 남겨주세요(공개 계정에 한하여 기재) ', '제출하기', '    셔터를 통해, 여러분들의 뷰티 노하우를 알려주고    건강한 헬스 라이프를 보여주세요!    나만의 꿀팁을 알려주며 매력을 뽐내면    좋아요와 댓글을 받아 포인트도 받을수있어요!   모바일에서 셔터를 구경해보세요 ', '닫기', '닫기']",[],"https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102970017&trackingCd=Home_Planshop1_4_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=그럼 해봐, 셔터브리티_고영은&t_number=4"
딘토 NEW 컬러 올리브영 선공개💖,24.05.20,24.05.26,딘토,"

딘토
맑은 광택에도이토록가벼우니까
글로이 립틴트 NEW컬러


",[' 딘토 글로이 립 틴트 NEW COLOR 선공개 #유리알 광택 #물광 틴트'],"['전체', '독보적인 분위기, 딘토💗', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103810130&trackingCd=Home_Planshop1_5_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=색조-504-1_신상로그온_황하영/이민경&t_number=5
"답이 되는 마그네슘, 마그랩💜",none,none,마그랩,"

마그랩
지친일상에웃음을 되찾아요
마시는 마그네슘 최대 38%할인


","[' BRAND WEEK PLUS MgLAB for STRESS CREATED BY OLIVEYOUNG MAGAZINE ', "" FOR STRESS & FOR ENERGY      에너지 넘치는 하루의      답이 되는 마그네슘 브랜드 '마그렵'.      간편하게 마시는 마그네슘으로 스트레스로 인한      피로는 풀고 운동하기 전 에너지를 충전해요.      웃음을 되찾아줄 '포 스트레스'와      일상의 활력을 줄 '포 에너지'를 소개합니다.     "", ' BENEFIT1 COUPON       브랜드 위크 기간 중       마그랩 제품 구매 시 사용 가능한       10%。 장바구니 쿠폰을 드립니다.      BENEFIT2 FREE GIFT1       행사 기간 중 마그랩 제품       3만원 이상 구매 시 파우치 1개 증정      BENEFIT3 FREE GIFT2       행사 기간 중 포 스트레스 기프트팩 구매 시       마그랩 포 스트레스 1입 4개 증정      BENEFIT4 FREE GIFT3       행사 기간 중 포 스트레스, 포 에너지 구매 시       젤리푸푸 1포 슬림피치 1포 증정      ', '꼭 알아두세요', "" BRANDWEEK PLUS FOR STRESS      오늘도 일과 사람에 시달려 지쳤다면      스트레스로 인한 피로는 풀고 내 안에 스마일 세포를 깨울 시간.          마그랩 '포 스트레스'와 함께 스트레스로 인한 피로는 풀고 활력을 채워요.      흡수 빠른 액상 타입 '글루콘산 마그네슘'에 스트레스로 인한 피로 개선에 도움을 주는 '홍경천추출물'을 더했어요.          하루 1샷이면 충분.      마시는 액상 앰플 타입이라      신체 흡수율도 높아요.      자몽 허니 맛으로 부담 없이 상큼하게 즐겨요.          지친 하루 속 간편하게 활력충전해요.     "", '마그랩 포 스트레스 글루콘산마그네슘', '마그랩 포 스트레스 글루콘산마그네슘', '장바구니 담기', "" BRANDWEEK PLUS FOR ENERGY      이렇게 맑은 날씨엔      마그랩 '포 에너지,와 함께      내가 좋아하는 운동을      마음껏 즐겨 볼까요?          운동하기 전 '포 에너지' 한 샷이면      쉽게 지지지 않아요.          에너지를 충전해 줄 마그네슘에      프리미엄 비타민B군, 아르기닌(부원료)이 만나      근육 건강까지 한 번에 케어해요,          기분 좋아지는 상큼한 레몬 라임 맛 덕분에 에너지가 더 넘쳐요.      무기력한 일상을 활기차게 바꿔봐요.     "", '마그랩 포 에너지 글루콘산마그네슘', '마그랩 포 에너지 글루콘산마그네슘', '장바구니 담기', ' 상큼하게 에너지 UP FOR STRESS 마시는 프리미엄 마그네슘 FOR ENERGY ', '닫기']","['전체', '답이 되는 마그네슘, 마그랩💜', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103110019&trackingCd=Home_Planshop1_6_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=건강식품-504-1_브랜드위크_김진주/박진희&t_number=6
세노비스 기획💚,none,none,세노비스,"

세노비스
오늘의건강을 완성하는나만의 루틴
온라인몰 단독추가할인, 증정


",['05.20-05.26 올영픽 기념 세노비스 브랜드 기획전 온라인몰 단독 추가할인 + 증정 혜택까지!'],"['전체', '간편하게 챙기는 건강💚', '속부터 채우는 이너케어💕', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103750094&trackingCd=Home_Planshop1_7_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=건강식품-504-2_메인A_김진주/박진희&t_number=7
더 선명하고 강렬해진 무지개맨션🌹,24.05.20,24.05.26,무지개맨션,"

무지개맨션
오브제 틴트로더 그윽해지는분위기
립틴트 리뉴얼 기념 할인


",[' 무지개맨션 립틴트 리뉴얼 업그레이드 출시 사용감은 가볍게 지속력은 강렬하게'],"['전체', '더 완벽해진 무지개맨션🤍', '무지개맨션 섀도우 런칭🤍', '얇고 가벼운 무지개맨션 베이스🤍']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103810131&trackingCd=Home_Planshop1_8_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=색조-504-2_메인B_황하영/이민경&t_number=8
레오제이 PICK! 에그시카패드 런칭,24.05.20,24.05.30,투쿨포스쿨,"

투쿨포스쿨
패드 하나로피부 진정부터영양까지
에그시카 앰플 패드 할인, 증정


",[' 레오제이 PICK! 극적 부활템 촉촉밀착 자석패드 올리브영 기프트카드 100% 증정'],"['전체', '자석처럼 착! 투쿨포스쿨 에그 시리즈', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103900066&trackingCd=Home_Planshop1_9_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=마스크팩-504-6_정유빈/김진영&t_number=9
어뮤즈 # 듀파워쿠션 선런칭,24.05.20,24.05.27,어뮤즈,"

어뮤즈
비건이라가능한맑은빛 결광
듀파워 쿠션 단독 선런칭


",[' 무너짐 없는 매끈한 피부 어뮤즈 #듀파워쿠션 #듀틴트미니증정 #추가할인쿠폰'],"['전체', '어뮤즈 NEW✨', 'BEST 베이스 구경하기✨', 'BEST 립 구경하기✨', 'BEST 아이 구경하기✨', '\xa0', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103810135&trackingCd=Home_Planshop1_10_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=색조-504-6_하주영/김예은&t_number=10
