promo_title,promo_start_dt,promo_end_dt,banner_title,banner_desc,promo_contents,promo_catgs,banner_link
2월 올리브 데이,24.02.25,24.02.27,올리브 데이,"

올리브 데이
단 3일간만나는올리브 멤버스
등급별 쿠폰 혜택을 만나보세요


","[' 올리브 멤버스를 위한 OLIVE DAY 2.25(일)~2.27(화) ', ' 올리브 멤버스 등급별 혜택! 4만원 이상 구매시, 최대 2만원 할인 GOLD OLIVE 15% BLACK OLIVE 12% 3만원 이상 구매시 GREEN OLIVE 10%, 최대 2만원 할인 PINK OLIVE 3천원 할인 BABY OLIVE 2천원 할인 BABY OLIVE 등급의 경우 2/22(목)까지 신규 가입한 고객 한정 쿠폰 발급 쿠폰은 자동발급 되었어요 ']","['전체', '올리브 특가🎁', '구강케어 데이\U0001fa75', 'Luxe Edit day 프리메라✨']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000104140001&trackingCd=Home_Planshop1_1_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=올리브데이&t_number=1
선물하기 완전 정복!💪,24.02.19,24.02.25,선물하기,"

선물하기
클릭만 해도선물을드려요
선물하기 전용 쿠폰 증정


","[' 선물하기관 둘러보고, 선물하기 쿠폰받자! 선물하기 완전정복 2.19 ~ 2.25 ', ""     선물하기 관 둘러보고 선물하기 쿠폰받자     빠르고 간단한 '선물하기' 아직 생소하다면?    "", ' event     선물하기 쿠폰 GET     선물하기 전용 쿠폰     2,000원     APP 2만원 이상 구매시     사용기간 24.2.19 ~ 24.2.25     APP에서 참여해보세요!    ']","['전체', '지금 인기템🏆', '이번주 특가템✔', '숨겨진 꿀템💛']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000104110006&trackingCd=Home_Planshop1_2_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=선물하기 기획전&t_number=2
"겔마스크 신흥강자, 바이오던스💙",24.02.19,24.02.29,바이오던스,"

바이오던스
하이드로겔로빈틈없이진정해요
최대 24%할인


",[' 마스크팩 한 장에 강력 진정을 담다 NEW 속보습 진정 마스크 출시 기념 단독 혜택'],"['전체', 'NEW 하이드로 세라놀, 속보습 완충💙', 'BEST 바이오 콜라겐, 탄력 초밀착💘', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103900020&trackingCd=Home_Planshop1_3_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=0204-0301_신상로그온_정유빈&t_number=3
"뉴 실루엣, 푸드올로지",none,none,브랜드위크플러스,"

브랜드위크플러스
특별한나만의 멋뉴 실루엣
푸드올로지 최대 24% 할인


","[' FOODOLOGY BRAND WEEK PLUS NEW SILHOUETTE ', ' CREATED BY OLIVE YOUNG MAGAZINE 뉴 실루엣 나만의 멋, 나만의 실루엣 ', ' COLEOLOGY DUO 슬기로운 체지방 관리를 돕는 ‘푸드올로지’의 베스트셀러 두 가지를 소개합니다. ‘빨간 통’으로 더 유명한 콜레올로지 정과 간편하게 먹기 좋은 콜레올로지 컷팅 젤리로 건강한 다이어트를 시작해 보세요. ', ' 01. BRAND COUPON 브랜드 위크 기간 중 푸드올로지 제품 2만 원 이상 구매 시 사용 가능한 15% 쿠폰을 드립니다. 푸드올로지 15% 장바구니 쿠폰 APP 2만 원 이상 구매 시 최대 8천 원 할인 행사기간 : 2024. 2. 19 ~ 2. 25 ', '쿠폰 다운 받기', '꼭 알아두세요', ' 02. SPECIAL GIFT 행사 기간 중 푸드올로지 제품 4만 5천 원 이상 구매 시 파인올로지 효소 14포(2주분)을 증정합니다. ', ' 잠자리에 들기 전 두 알! 하루에 한 번, 2알 섭취로 간편하게. ', ' NEW SILHOUETTE ITEM 1. Coleology 콜레올로지의 주원료는 ‘콜레우스포스콜리 추출물’. 100% 식물성 원료로 체지방 감소에 도움을 줄 수 있어요. *콜레우스포스콜리 추출물의 인체적용시험결과 ', '푸드올로지 콜레올로지 정 상품보기', ' Vitamin & Mineral 콜레올로지에는 에너지를 생성하는데 필요한 필수 영양소인 비타민 B1, B2, B6판토텐산을 담아 다이어트로 인해 부족한 영양소를 보충해 줄 수 있습니다. ', ' 카페인에 예민한 사람들을 위해 카페인 불검출 테스트까지 완료했어요. 자기 전 두 알을 충분한 물과 함께 섭취하면 끝! CAFFEINE FREE ', ' COLEOLOGY 체지방 감소를 집중 관리하는 빨간통 다이어트 케어로 간편하게 관리해 보세요. ', '푸드올로지 콜레올로지 정 상품보기', ' 푸드올로지 콜레올로지 정 22,900원 24%할인 17,400원 ', '푸드올로지 콜레올로지 정 상품보기', '장바구니 담기', ' AFTER LUNCH NEW ITEM 2 SILHOUETTE 점심 먹고 한 개! 점심 식사 후, 맛있게 한 포! ', ' NEW SILHOUETTE ITEM 2. COLEOLOGY CUTTING JELLY 콜레올로지 컷팅 젤리는 가르시니아 캄보지아 추출물이 함유되어 있어 탄수화물이 지방으로 합성되는 것을 억제해 주는 데 도움을 줍니다. 그래서 공복에 섭취하는 것보다는 식후 섭취가 좋아요. 배변활동을 원활하게 도와주고 식후 혈당 상승을 억제에 도움을 주는 난소화성말토덱스트린이 함유되어 있는 것도 장점! *적절한 운동, 식이조절과 함께 본 제품을 섭취해주세요. ', ' COLEOLOGY CUTTING JELLY 석류맛의 콜레올로지 컷팅 젤리는 부원료 치아씨드가 톡톡 씹히는 풍부한 식감이 특징이에요. 살짝 얼려서 더욱 맛있게 즐겨보세요. ', '푸드올로지 콜레올로지 컷팅 젤리 상품보기', ' 푸드올로지 콜레올로지 컷팅 젤리 (12포) 23,900원 23%할인 18,400원 ', '푸드올로지 콜레올로지 컷팅 젤리 (12포) 상품보기', '장바구니 담기', ' 푸드올로지 콜레올로지 컷팅 젤리 12포x3(36일분) 64,500원 18%할인 52,900원 ', '푸드올로지 콜레올로지 컷팅 젤리 12포x3(36일분) 상품보기', '장바구니 담기', ' COLEOLOGY DUO FOODOLOGY NEW SILHOUETTE ', 'BRAND SHOP 보러가기', ' CREATED BY OLIVEYOUNG MAGAZINE Editor 이주은 Model 이예리 Makeup 박이화 Designer 현승환 Photographer 이승재 Hair 안형규 Stylist 박이화 ', '닫기']","['전체', '콜레올로지 듀오', '푸드올로지 베스트', '\xa0']","https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103110016&trackingCd=Home_Planshop1_4_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=0204-4001_브랜드위크_김진주, 이주은&t_number=4"
💜신상품 런칭 기념 특가💜,24.02.19,24.02.25,유한킴벌리 연합,"

유한킴벌리 연합
순면으로걱정 없는오늘 밤
신상품 런칭 기념 특가


",[''],"['전체', '💜따끈따끈 신상품💜', '👍생리대 BEST👍', '🙌대용량 쟁이기🙌']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103710022&trackingCd=Home_Planshop1_5_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=0204-5001_메인A_임진희&t_number=5
"💗립 메이크업의 강자, 하트퍼센트💗",24.02.19,24.02.25,하트퍼센트,"

하트퍼센트
한 콧으로완성한탕후루 립
최대 20%할인


","['립메이크업의 완성도 up! 하트퍼센트 립 플럼퍼 한 콧의 탑코팅으로 플럼핑, 글로우, 무드체인지까지 ']","['전체', '정교하게 완성하는 오버립💖', '하트퍼센트 글로우 립💖', '하트퍼센트 블러셔💖']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103810047&trackingCd=Home_Planshop1_6_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=0204-1008_메인B_하주영&t_number=6
토리든 셀메이징 비타 앰플 런칭,24.02.19,24.02.29,토리든,"

토리든
낮에도비타민을발라요
최대 40%할인


",['근본 브라이트닝 케어 셀메이징 비타 앰플 출시 추가 10ML 증정 '],"['전체', 'NEW 3중 브라이트닝 비타C 앰플', '#감탄의 탄력, 셀메이징', '#수분강자, 다이브인']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103890021&trackingCd=Home_Planshop1_7_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=0204-0103_최아형&t_number=7
케이트 리미티드 에디션 출시✨,24.02.19,24.02.29,케이트,"

케이트
입술에사르르 녹아드는글로우 립
립몬스터 리미티드 선런칭


",[' KATE 립몬스터 리미티드 올리브영 단독 선런칭 #혜림쌤PICK #몬스터파우치 증정'],"['전체', '케이트 립 몬스터❤', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=	 500000103810048&trackingCd=Home_Planshop1_8_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=0204-1009_하주영&t_number=8
"여성 유산균, 엘레나 런칭💖",24.02.19,24.02.26,엘레나,"

엘레나
특화된 유산균을캡슐 하나에담았어요
런칭기념 최대 28%할인


",['02.19-02.28 질 좋은 습관의 시작 유한양행 엘레나 런칭 기획전 엘레나 15캡슐 28%할인'],"['전체', '질 건강 유산균 엘레나 런칭✨', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103750038&trackingCd=Home_Planshop1_9_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=0204-4003_김진주&t_number=9
"아옳이 P!CK, 하루 3번 글루타치카 ",24.02.19,24.02.29,글루타치카,"

글루타치카
아침이상쾌해지는숨치약
점보 칫솔 증정, 할인


",['02.19-02.29 아옳이 PICK 치카치카 하루 3번 글루차티카! #구강케어 모음.ZIP #전용 첨보칫솔 증정'],"['전체', '글루타치카 치약 & 가글 ', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000104090023&trackingCd=Home_Planshop1_10_PROD&t_page=홈&t_click=메인롤링배너&t_banner_name=0204-5101_이보미&t_number=10
