promo_title,promo_start_dt,promo_end_dt,banner_title,banner_desc,promo_contents,promo_catgs,banner_link
"6월1일, 올영세일 커밍순!",23.05.29,23.05.31,올영세일 커밍쑨,"

올영세일 커밍쑨
세일 소식공유하면천만원 경품증정
세일 미리보기→


","[' 올영세일 2023.06.01 coming soon ', ' 단 7일, 최대 70% 할인 6월 1/5/7일 인기상품이 100원 부터 선착순 특가 단 7일, 올리브영이 엄선한 100개 특가 첫 만남 강력 혜택 신상 특가 오직 온라인몰에서만 베스트키워드 ', ' 매일 00시 오픈 데일리 래플 6월 1일 커밍순 ', ' 올영세일 공유 이벤트 톡하면? 총 천만원! 올리브영 십만원 상품권 100명 추첨, 스타벅스 아메리카노 쿠폰 100명 추첨 APP에서 참여하세요 ']",[],https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102920010&trackingCd=Home_Planshop1_1_PROD
💙아랑 PICK 토코보 썬💙,23.05.22,23.05.31,토코보,"

토코보
백탁 없이공기처럼가벼워요
선 케어 3종 최대 35%할인


",[' 아랑 PICK! 자외선을 완벽하게 선 케어 3종 35% 할인 및 증정'],"['전체', '💙아랑PICK💙', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102740037&trackingCd=Home_Planshop1_2_PROD
어뮤즈 NEW 아이 컬러 팔레트 런칭,23.05.22,23.05.31,어뮤즈,"

어뮤즈
내 피부 톤에핏한 컬러만 모았어요
아이 팔레트 최대 15%할인


",[' 어뮤즈 NEW 아이 팔레트 단독 선런칭 기획전 아이 브러쉬 + 장바구니 쿠폰 증정'],"['전체', '어뮤즈 NEW 아이 컬러 팔레트 런칭', '🍑어뮤즈 색조 BEST🍑', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102750115&trackingCd=Home_Planshop1_3_PROD
✅하드왁싱의 모든 것✅,23.05.22,23.05.31,알롱&바나다,"

알롱&바나다
집에서쉽게왁싱해요
셀프왁싱 아이템 최대 40%할인


",[' 하드왁싱의 모든 것 '],"['전체', '💜바나다왁싱', '💙알롱', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102800059&trackingCd=Home_Planshop1_4_PROD
쫀득한 구미로 건강챙기기,23.05.22,23.05.31,건강구미 연합,"

건강구미 연합
맛있게건강챙겨요
최대 52%할인


","['입이 심심할 땐, 맛있는 헬시푸드로! ""쫀득 탱탱"" 건강 구미 골라담기 건강구미 최대 52% 할인']","['전체', '💛비타민 구미💛', '💚이너뷰티 구미💚', '💙기타&키즈 구미💙']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102830050&trackingCd=Home_Planshop1_5_PROD
걱정없는 치약🍀티타드,23.05.22,23.05.31,티타드,"

티타드
입속 건강을위한비건 치약
단독특가, 장바구니 쿠폰


","['05.22-05.28 화제의 초록치약, 티타드 단독 최저가 혜택 단독 최저가 할인 + 추가 장바구니 쿠폰']","['전체', '입냄새 걱정될 땐 티타드', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102870065&trackingCd=Home_Planshop1_6_PROD
정샘물 단독기획 최대 20% 할인💛,23.05.22,23.05.31,정샘물,"

정샘물
30년 메이크업노하우를담았어요
최대 20%할인


","['2023.5.22(월) ~ 5.31(수) 정샘물 패밀리 데이 키즈, 색조 제품 최대 20% 할인 ']","['전체', '정샘물 BEST 최대 20% 할인 🤍', '키즈', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102780056&trackingCd=Home_Planshop1_7_PROD
